suite,method,seed,run_name,metric,source_file,row_count,non_null_count,null_fraction,all_observed_finite,first_value,last_value,min_value,max_value
wikitext12l_100m,diag_cproj_k,2026,mainconf_reference_lr001_wikitext12l_100m_diag_cproj_k_seed2026,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T12_22_56.085+08_00.csv,611,611,0.0,True,8818.36572265625,9742.3935546875,8818.36572265625,9742.3935546875
owt18l_3k,diag_cproj_k,2026,mainconf_reference_lr001_owt18l_3k_diag_cproj_k_seed2026,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T12_29_51.213+08_00.csv,150,150,0.0,True,5861.28173828125,7091.53759765625,5861.28173828125,7091.53759765625
owt18l_3k,diag_cproj_k,2025,mainconf_reference_lr001_owt18l_3k_diag_cproj_k_seed2025,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T12_29_51.213+08_00.csv,150,150,0.0,True,5860.53173828125,7093.9169921875,5860.53173828125,7093.9169921875
owt18l_3k,diag_cproj_k,2024,mainconf_reference_lr001_owt18l_3k_diag_cproj_k_seed2024,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T12_37_55.545+08_00.csv,150,150,0.0,True,5860.15673828125,7092.17822265625,5860.15673828125,7092.17822265625
wikitext24l_12k_lr001,diag_cproj_k,2026,mainconf_reference_lr001_wikitext24l_12k_lr001_diag_cproj_k_seed2026,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_16_54.210+08_00.csv,600,600,0.0,True,5790.95556640625,6204.640625,5790.95556640625,6204.640625
wikitext24l_12k_lr001,diag_cproj_k,2025,mainconf_reference_lr001_wikitext24l_12k_lr001_diag_cproj_k_seed2025,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_16_54.210+08_00.csv,600,600,0.0,True,5790.95556640625,6204.482421875,5790.95556640625,6204.482421875
wikitext24l_12k_lr001,diag_cproj_k,2024,mainconf_reference_lr001_wikitext24l_12k_lr001_diag_cproj_k_seed2024,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_16_54.210+08_00.csv,600,600,0.0,True,5790.95556640625,6204.482421875,5790.95556640625,6204.482421875
owt24l_12k,diag_cproj_k,2026,mainconf_reference_lr001_owt24l_12k_diag_cproj_k_seed2026,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_16_54.210+08_00.csv,600,600,0.0,True,5790.95556640625,6204.482421875,5790.95556640625,6204.482421875
owt24l_12k,diag_cproj_k,2025,mainconf_reference_lr001_owt24l_12k_diag_cproj_k_seed2025,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_16_54.210+08_00.csv,600,600,0.0,True,5790.95556640625,6204.640625,5790.95556640625,6204.640625
owt24l_12k,diag_cproj_k,2024,mainconf_reference_lr001_owt24l_12k_diag_cproj_k_seed2024,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_16_54.210+08_00.csv,600,600,0.0,True,5790.95556640625,6204.482421875,5790.95556640625,6204.482421875
wikitext12l_100m,diag_cproj_k,2025,mainconf_reference_lr001_wikitext12l_100m_diag_cproj_k_seed2025,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_41_33.205+08_00.csv,611,611,0.0,True,8819.99072265625,9750.38720703125,8819.99072265625,9750.38720703125
wikitext12l_100m,diag_cproj_k,2024,mainconf_reference_lr001_wikitext12l_100m_diag_cproj_k_seed2024,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_41_33.205+08_00.csv,611,611,0.0,True,8820.99072265625,9740.76513671875,8820.99072265625,9740.76513671875
owt12l_100m,diag_cproj_k,2026,mainconf_reference_lr001_owt12l_100m_diag_cproj_k_seed2026,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_41_33.205+08_00.csv,611,611,0.0,True,8820.99072265625,9744.39013671875,8820.99072265625,9744.39013671875
owt12l_100m,diag_cproj_k,2025,mainconf_reference_lr001_owt12l_100m_diag_cproj_k_seed2025,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_41_33.205+08_00.csv,611,611,0.0,True,8820.11572265625,9743.39013671875,8820.11572265625,9743.39013671875
owt12l_100m,diag_cproj_k,2024,mainconf_reference_lr001_owt12l_100m_diag_cproj_k_seed2024,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_41_33.205+08_00.csv,611,611,0.0,True,8819.36572265625,9743.00244140625,8819.36572265625,9743.00244140625
wikitext12l_100m,muon_blog,2026,mainconf_reference_lr001_wikitext12l_100m_muon_blog_seed2026,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T12_22_56.085+08_00.csv,611,611,0.0,True,8248.11572265625,8903.87451171875,8248.11572265625,8903.87451171875
owt18l_3k,muon_blog,2026,mainconf_reference_lr001_owt18l_3k_muon_blog_seed2026,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T12_29_51.213+08_00.csv,150,150,0.0,True,5426.67236328125,6251.38134765625,5426.67236328125,6251.38134765625
owt18l_3k,muon_blog,2025,mainconf_reference_lr001_owt18l_3k_muon_blog_seed2025,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T12_29_51.213+08_00.csv,150,150,0.0,True,5426.67236328125,6251.38134765625,5426.67236328125,6251.38134765625
owt18l_3k,muon_blog,2024,mainconf_reference_lr001_owt18l_3k_muon_blog_seed2024,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T12_37_55.545+08_00.csv,150,150,0.0,True,5426.67236328125,6251.38134765625,5426.67236328125,6251.38134765625
wikitext24l_12k_lr001,muon_blog,2026,mainconf_reference_lr001_wikitext24l_12k_lr001_muon_blog_seed2026,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_16_54.210+08_00.csv,600,600,0.0,True,4478.20556640625,5147.57421875,4478.20556640625,5147.57421875
wikitext24l_12k_lr001,muon_blog,2025,mainconf_reference_lr001_wikitext24l_12k_lr001_muon_blog_seed2025,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_16_54.210+08_00.csv,600,600,0.0,True,4478.20556640625,5147.57421875,4478.20556640625,5147.57421875
wikitext24l_12k_lr001,muon_blog,2024,mainconf_reference_lr001_wikitext24l_12k_lr001_muon_blog_seed2024,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_16_54.210+08_00.csv,600,600,0.0,True,4478.20556640625,5147.57421875,4478.20556640625,5147.57421875
owt24l_12k,muon_blog,2026,mainconf_reference_lr001_owt24l_12k_muon_blog_seed2026,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_16_54.210+08_00.csv,600,600,0.0,True,4478.20556640625,5147.57421875,4478.20556640625,5147.57421875
owt24l_12k,muon_blog,2025,mainconf_reference_lr001_owt24l_12k_muon_blog_seed2025,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_16_54.210+08_00.csv,600,600,0.0,True,4478.20556640625,5147.57421875,4478.20556640625,5147.57421875
owt24l_12k,muon_blog,2024,mainconf_reference_lr001_owt24l_12k_muon_blog_seed2024,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_16_54.210+08_00.csv,600,600,0.0,True,4478.20556640625,5147.57421875,4478.20556640625,5147.57421875
wikitext12l_100m,muon_blog,2025,mainconf_reference_lr001_wikitext12l_100m_muon_blog_seed2025,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_41_33.205+08_00.csv,611,611,0.0,True,8248.11572265625,8903.87451171875,8248.11572265625,8903.87451171875
wikitext12l_100m,muon_blog,2024,mainconf_reference_lr001_wikitext12l_100m_muon_blog_seed2024,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_41_33.205+08_00.csv,611,611,0.0,True,8248.11572265625,8903.87451171875,8248.11572265625,8903.87451171875
owt12l_100m,muon_blog,2026,mainconf_reference_lr001_owt12l_100m_muon_blog_seed2026,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_41_33.205+08_00.csv,611,611,0.0,True,8248.11572265625,8903.87451171875,8248.11572265625,8903.87451171875
owt12l_100m,muon_blog,2025,mainconf_reference_lr001_owt12l_100m_muon_blog_seed2025,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_41_33.205+08_00.csv,611,611,0.0,True,8248.11572265625,8903.87451171875,8248.11572265625,8903.87451171875
owt12l_100m,muon_blog,2024,mainconf_reference_lr001_owt12l_100m_muon_blog_seed2024,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_41_33.205+08_00.csv,611,611,0.0,True,8248.11572265625,8903.87451171875,8248.11572265625,8903.87451171875
wikitext12l_100m,no_cproj_k,2026,mainconf_reference_lr001_wikitext12l_100m_no_cproj_k_seed2026,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T12_22_56.085+08_00.csv,611,611,0.0,True,8818.86572265625,9737.12158203125,8818.86572265625,9737.12158203125
owt18l_3k,no_cproj_k,2026,mainconf_reference_lr001_owt18l_3k_no_cproj_k_seed2026,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T12_29_51.213+08_00.csv,150,150,0.0,True,5860.54736328125,7080.76123046875,5860.54736328125,7080.76123046875
owt18l_3k,no_cproj_k,2025,mainconf_reference_lr001_owt18l_3k_no_cproj_k_seed2025,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T12_29_51.213+08_00.csv,150,150,0.0,True,5859.67236328125,7080.39404296875,5859.67236328125,7080.39404296875
owt18l_3k,no_cproj_k,2024,mainconf_reference_lr001_owt18l_3k_no_cproj_k_seed2024,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T12_37_55.545+08_00.csv,150,150,0.0,True,5861.04736328125,7078.8623046875,5861.04736328125,7078.8623046875
wikitext24l_12k_lr001,no_cproj_k,2026,mainconf_reference_lr001_wikitext24l_12k_lr001_no_cproj_k_seed2026,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_16_54.210+08_00.csv,600,600,0.0,True,5582.20556640625,6203.732421875,5582.20556640625,6203.732421875
wikitext24l_12k_lr001,no_cproj_k,2025,mainconf_reference_lr001_wikitext24l_12k_lr001_no_cproj_k_seed2025,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_16_54.210+08_00.csv,600,600,0.0,True,5582.20556640625,6203.57421875,5582.20556640625,6203.57421875
wikitext24l_12k_lr001,no_cproj_k,2024,mainconf_reference_lr001_wikitext24l_12k_lr001_no_cproj_k_seed2024,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_16_54.210+08_00.csv,600,600,0.0,True,5582.20556640625,6203.732421875,5582.20556640625,6203.732421875
owt24l_12k,no_cproj_k,2026,mainconf_reference_lr001_owt24l_12k_no_cproj_k_seed2026,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_16_54.210+08_00.csv,600,600,0.0,True,5582.20556640625,6203.732421875,5582.20556640625,6203.732421875
owt24l_12k,no_cproj_k,2025,mainconf_reference_lr001_owt24l_12k_no_cproj_k_seed2025,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_16_54.210+08_00.csv,600,600,0.0,True,5582.20556640625,6203.57421875,5582.20556640625,6203.57421875
owt24l_12k,no_cproj_k,2024,mainconf_reference_lr001_owt24l_12k_no_cproj_k_seed2024,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_16_54.210+08_00.csv,600,600,0.0,True,5582.20556640625,6203.57421875,5582.20556640625,6203.57421875
wikitext12l_100m,no_cproj_k,2025,mainconf_reference_lr001_wikitext12l_100m_no_cproj_k_seed2025,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_41_33.205+08_00.csv,611,611,0.0,True,8821.74072265625,9746.38427734375,8821.74072265625,9746.38427734375
wikitext12l_100m,no_cproj_k,2024,mainconf_reference_lr001_wikitext12l_100m_no_cproj_k_seed2024,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_41_33.205+08_00.csv,611,611,0.0,True,8821.99072265625,9743.52490234375,8821.99072265625,9743.52490234375
