suite,metric,left_method,right_method,comparison,paired_seed_count,left_better_seed_count,mean_paired_delta,std_paired_delta,min_paired_delta,max_paired_delta
owt12l_100m,val/loss__last,muon_blog,paper_block4,left_minus_right,3,3,-0.03390820821126302,0.010367898986762302,-0.042928218841552734,-0.022581100463867188
owt12l_100m,val/loss__last,muon_blog,no_cproj_k,left_minus_right,3,3,-0.037527243296305336,0.007760918065743024,-0.04403972625732422,-0.02893972396850586
owt12l_100m,val/loss__last,muon_blog,diag_cproj_k,left_minus_right,3,3,-0.029230276743570965,0.008328007946287798,-0.037362098693847656,-0.020719051361083984
owt12l_100m,val/loss__last,diag_cproj_k,no_cproj_k,left_minus_right,3,3,-0.008296966552734375,0.0016588023657177172,-0.009992599487304688,-0.0066776275634765625
owt12l_100m,val/loss__last,diag_cproj_k,paper_block4,left_minus_right,3,3,-0.004677931467692058,0.002493398841651214,-0.006605625152587891,-0.0018620491027832031
owt12l_100m,val/loss__last,no_cproj_k,paper_block4,left_minus_right,3,0,0.003619035085042318,0.002631244184106343,0.0011115074157714844,0.006358623504638672
owt18l_3k,val/loss__last,muon_blog,paper_block4,left_minus_right,3,0,0.007168134053548177,0.01048666850566448,0.0011129379272460938,0.019277095794677734
owt18l_3k,val/loss__last,muon_blog,no_cproj_k,left_minus_right,3,1,0.006082216898600261,0.008786562349572709,-0.004063606262207031,0.011174678802490234
owt18l_3k,val/loss__last,muon_blog,diag_cproj_k,left_minus_right,3,0,0.015846411387125652,0.0024478564668121913,0.01352548599243164,0.018404006958007812
owt18l_3k,val/loss__last,diag_cproj_k,no_cproj_k,left_minus_right,3,3,-0.00976419448852539,0.006923060022007355,-0.017589092254638672,-0.004435062408447266
owt18l_3k,val/loss__last,diag_cproj_k,paper_block4,left_minus_right,3,2,-0.008678277333577475,0.010966196852272552,-0.01728963851928711,0.0036673545837402344
owt18l_3k,val/loss__last,no_cproj_k,paper_block4,left_minus_right,3,1,0.0010859171549479167,0.00972966512389926,-0.010021209716796875,0.0081024169921875
owt24l_12k,val/loss__last,muon_blog,paper_block4,left_minus_right,3,0,0.14443238576253256,0.039774488063409455,0.0988774299621582,0.17226648330688477
owt24l_12k,val/loss__last,muon_blog,no_cproj_k,left_minus_right,3,0,0.4224441846211751,0.029113974047927735,0.3888697624206543,0.44071197509765625
owt24l_12k,val/loss__last,muon_blog,diag_cproj_k,left_minus_right,3,0,0.46966075897216797,0.03458659777344611,0.43250370025634766,0.500917911529541
owt24l_12k,val/loss__last,diag_cproj_k,no_cproj_k,left_minus_right,3,3,-0.047216574350992836,0.011619924645531072,-0.060205936431884766,-0.03780984878540039
owt24l_12k,val/loss__last,diag_cproj_k,paper_block4,left_minus_right,3,3,-0.32522837320963544,0.05939143235622599,-0.37668323516845703,-0.2602372169494629
owt24l_12k,val/loss__last,no_cproj_k,paper_block4,left_minus_right,3,3,-0.2780117988586426,0.06113688848846559,-0.33887338638305664,-0.21660327911376953
wikitext12l_100m,val/loss__last,muon_blog,paper_block4,left_minus_right,3,3,-0.03754878044128418,0.0014472226922073997,-0.03897356986999512,-0.036080121994018555
wikitext12l_100m,val/loss__last,muon_blog,no_cproj_k,left_minus_right,3,3,-0.039450168609619286,0.0010425590297629052,-0.04065394401550293,-0.03883719444274947
wikitext12l_100m,val/loss__last,muon_blog,diag_cproj_k,left_minus_right,3,3,-0.03545427322387695,0.002637897852906017,-0.03846931457519531,-0.033571720123291016
wikitext12l_100m,val/loss__last,diag_cproj_k,no_cproj_k,left_minus_right,3,3,-0.003995895385742336,0.001610270134587968,-0.005265474319458452,-0.002184629440307617
wikitext12l_100m,val/loss__last,diag_cproj_k,paper_block4,left_minus_right,3,2,-0.0020945072174072266,0.00315272818667526,-0.0054018497467041016,0.0008766651153564453
wikitext12l_100m,val/loss__last,no_cproj_k,paper_block4,left_minus_right,3,1,0.001901388168335109,0.0017703808314767165,-0.00013637542724564966,0.0030612945556640625
wikitext24l_12k_lr001,val/loss__last,muon_blog,paper_block4,left_minus_right,3,0,0.1894399325052897,0.005815843353367441,0.18274831771850586,0.19327640533447266
wikitext24l_12k_lr001,val/loss__last,muon_blog,no_cproj_k,left_minus_right,3,0,0.46777693430582684,0.020358197617008012,0.45209693908691406,0.4907846450805664
wikitext24l_12k_lr001,val/loss__last,muon_blog,diag_cproj_k,left_minus_right,3,0,0.5163505872090658,0.030940019787589233,0.4930286407470703,0.5514497756958008
wikitext24l_12k_lr001,val/loss__last,diag_cproj_k,no_cproj_k,left_minus_right,3,3,-0.04857365290323893,0.010592486437538892,-0.060665130615234375,-0.04093170166015625
wikitext24l_12k_lr001,val/loss__last,diag_cproj_k,paper_block4,left_minus_right,3,3,-0.32691065470377606,0.029055644484469408,-0.3581733703613281,-0.3007335662841797
wikitext24l_12k_lr001,val/loss__last,no_cproj_k,paper_block4,left_minus_right,3,3,-0.2783370018005371,0.018861234035790275,-0.29750823974609375,-0.25980186462402344
owt12l_100m,val/loss__tail3_mean,muon_blog,paper_block4,left_minus_right,3,3,-0.032900545332166686,0.009757395294978367,-0.04260444641113281,-0.023090521494546934
owt12l_100m,val/loss__tail3_mean,muon_blog,no_cproj_k,left_minus_right,3,3,-0.03616656197441929,0.008429602353068671,-0.044265429178873106,-0.027441183725992246
owt12l_100m,val/loss__tail3_mean,muon_blog,diag_cproj_k,left_minus_right,3,3,-0.028925630781385436,0.008248327977768677,-0.03729311625162701,-0.02080186208089163
owt12l_100m,val/loss__tail3_mean,diag_cproj_k,no_cproj_k,left_minus_right,3,3,-0.0072409311930338545,0.0007718115925058685,-0.008111159006754853,-0.006639321645100615
owt12l_100m,val/loss__tail3_mean,diag_cproj_k,paper_block4,left_minus_right,3,3,-0.00397491455078125,0.0015414037048026013,-0.0053113301595058005,-0.002288659413655303
owt12l_100m,val/loss__tail3_mean,no_cproj_k,paper_block4,left_minus_right,3,0,0.003266016642252604,0.0014183430050564417,0.0016609827677402933,0.0043506622314453125
owt18l_3k,val/loss__tail3_mean,muon_blog,paper_block4,left_minus_right,3,1,0.005601459079318675,0.006473945457283523,-0.0008670488993329784,0.012080828348795869
owt18l_3k,val/loss__tail3_mean,muon_blog,no_cproj_k,left_minus_right,3,1,-6.251864963087901e-05,0.0058062048527181935,-0.006739616394042969,0.003799756368001894
owt18l_3k,val/loss__tail3_mean,muon_blog,diag_cproj_k,left_minus_right,3,0,0.01099750730726464,0.001828004019380513,0.009074529012043975,0.012712796529134707
owt18l_3k,val/loss__tail3_mean,diag_cproj_k,no_cproj_k,left_minus_right,3,3,-0.011060025956895517,0.004123611622790608,-0.015814145406086944,-0.008452892303466797
owt18l_3k,val/loss__tail3_mean,diag_cproj_k,paper_block4,left_minus_right,3,2,-0.005396048227945964,0.005611390566424606,-0.009941577911376953,0.0008756319681806346
owt18l_3k,val/loss__tail3_mean,no_cproj_k,paper_block4,left_minus_right,3,0,0.005663977728949554,0.0037731681593772795,0.0017908414204912404,0.009328524271647431
owt24l_12k,val/loss__tail3_mean,muon_blog,paper_block4,left_minus_right,3,0,0.15946907467312274,0.027831164089999118,0.12734285990397165,0.17624171574910452
owt24l_12k,val/loss__tail3_mean,muon_blog,no_cproj_k,left_minus_right,3,0,0.3998252550760905,0.020142908523146104,0.3771047592163086,0.4154949188232422
owt24l_12k,val/loss__tail3_mean,muon_blog,diag_cproj_k,left_minus_right,3,0,0.4439303610059951,0.019903490547928445,0.4209721883138018,0.456326325734457
owt24l_12k,val/loss__tail3_mean,diag_cproj_k,no_cproj_k,left_minus_right,3,3,-0.04410510592990461,0.003398775949465695,-0.04761648178100586,-0.040831406911214785
owt24l_12k,val/loss__tail3_mean,diag_cproj_k,paper_block4,left_minus_right,3,3,-0.2844612863328724,0.04233036271668547,-0.3289834658304853,-0.24473047256469727
owt24l_12k,val/loss__tail3_mean,no_cproj_k,paper_block4,left_minus_right,3,3,-0.24035618040296777,0.044232846313149284,-0.28815205891927054,-0.20086304346720407
wikitext12l_100m,val/loss__tail3_mean,muon_blog,paper_block4,left_minus_right,3,3,-0.038263691796196785,0.00429225798701124,-0.04258227348327637,-0.03399825096130371
wikitext12l_100m,val/loss__tail3_mean,muon_blog,no_cproj_k,left_minus_right,3,3,-0.04051311810811361,0.003399068917505697,-0.044282833735147964,-0.0376818974812827
