suite,seed,method,validation_loss_threshold,first_wandb_step_at_or_below,time_elapsed_at_first_step_s
owt12l_100m,2024,diag_cproj_k,6.2,500.0,37.44665503501892
owt12l_100m,2024,diag_cproj_k,6.1,500.0,37.44665503501892
owt12l_100m,2024,diag_cproj_k,6.0,500.0,37.44665503501892
owt12l_100m,2024,diag_cproj_k,5.8,500.0,37.44665503501892
owt12l_100m,2024,diag_cproj_k,5.7,500.0,37.44665503501892
owt12l_100m,2024,diag_cproj_k,5.6,1000.0,73.22592258453369
owt12l_100m,2024,diag_cproj_k,5.5,1000.0,73.22592258453369
owt12l_100m,2024,diag_cproj_k,5.2,1500.0,108.66750431060792
owt12l_100m,2024,diag_cproj_k,5.1,1500.0,108.66750431060792
owt12l_100m,2024,diag_cproj_k,5.0,2000.0,144.19667029380798
owt12l_100m,2024,diag_cproj_k,4.0,,
owt12l_100m,2024,diag_cproj_k,3.9,,
owt12l_100m,2024,diag_cproj_k,3.8,,
owt12l_100m,2024,diag_cproj_k,3.7,,
owt12l_100m,2024,diag_cproj_k,3.6,,
owt12l_100m,2024,diag_cproj_k,3.55,,
owt12l_100m,2024,diag_cproj_k,3.5,,
owt12l_100m,2024,muon_blog,6.2,500.0,35.628782510757446
owt12l_100m,2024,muon_blog,6.1,500.0,35.628782510757446
owt12l_100m,2024,muon_blog,6.0,500.0,35.628782510757446
owt12l_100m,2024,muon_blog,5.8,500.0,35.628782510757446
owt12l_100m,2024,muon_blog,5.7,500.0,35.628782510757446
owt12l_100m,2024,muon_blog,5.6,1000.0,69.05835461616516
owt12l_100m,2024,muon_blog,5.5,1000.0,69.05835461616516
owt12l_100m,2024,muon_blog,5.2,1500.0,102.33949160575868
owt12l_100m,2024,muon_blog,5.1,1500.0,102.33949160575868
owt12l_100m,2024,muon_blog,5.0,1500.0,102.33949160575868
owt12l_100m,2024,muon_blog,4.0,,
owt12l_100m,2024,muon_blog,3.9,,
owt12l_100m,2024,muon_blog,3.8,,
owt12l_100m,2024,muon_blog,3.7,,
owt12l_100m,2024,muon_blog,3.6,,
owt12l_100m,2024,muon_blog,3.55,,
owt12l_100m,2024,muon_blog,3.5,,
owt12l_100m,2024,no_cproj_k,6.2,500.0,37.24605655670166
owt12l_100m,2024,no_cproj_k,6.1,500.0,37.24605655670166
owt12l_100m,2024,no_cproj_k,6.0,500.0,37.24605655670166
owt12l_100m,2024,no_cproj_k,5.8,500.0,37.24605655670166
owt12l_100m,2024,no_cproj_k,5.7,500.0,37.24605655670166
owt12l_100m,2024,no_cproj_k,5.6,1000.0,72.7773756980896
owt12l_100m,2024,no_cproj_k,5.5,1000.0,72.7773756980896
owt12l_100m,2024,no_cproj_k,5.2,1500.0,108.26286697387695
owt12l_100m,2024,no_cproj_k,5.1,1500.0,108.26286697387695
owt12l_100m,2024,no_cproj_k,5.0,2000.0,143.84736466407776
owt12l_100m,2024,no_cproj_k,4.0,,
owt12l_100m,2024,no_cproj_k,3.9,,
owt12l_100m,2024,no_cproj_k,3.8,,
owt12l_100m,2024,no_cproj_k,3.7,,
owt12l_100m,2024,no_cproj_k,3.6,,
owt12l_100m,2024,no_cproj_k,3.55,,
owt12l_100m,2024,no_cproj_k,3.5,,
owt12l_100m,2024,paper_block4,6.2,500.0,40.34160876274109
owt12l_100m,2024,paper_block4,6.1,500.0,40.34160876274109
owt12l_100m,2024,paper_block4,6.0,500.0,40.34160876274109
owt12l_100m,2024,paper_block4,5.8,500.0,40.34160876274109
owt12l_100m,2024,paper_block4,5.7,500.0,40.34160876274109
owt12l_100m,2024,paper_block4,5.6,1000.0,78.69038963317871
owt12l_100m,2024,paper_block4,5.5,1000.0,78.69038963317871
owt12l_100m,2024,paper_block4,5.2,1500.0,117.26588010787964
owt12l_100m,2024,paper_block4,5.1,1500.0,117.26588010787964
owt12l_100m,2024,paper_block4,5.0,2000.0,156.70647430419922
owt12l_100m,2024,paper_block4,4.0,,
owt12l_100m,2024,paper_block4,3.9,,
owt12l_100m,2024,paper_block4,3.8,,
owt12l_100m,2024,paper_block4,3.7,,
owt12l_100m,2024,paper_block4,3.6,,
owt12l_100m,2024,paper_block4,3.55,,
owt12l_100m,2024,paper_block4,3.5,,
owt12l_100m,2025,diag_cproj_k,6.2,500.0,37.02365112304688
owt12l_100m,2025,diag_cproj_k,6.1,500.0,37.02365112304688
owt12l_100m,2025,diag_cproj_k,6.0,500.0,37.02365112304688
owt12l_100m,2025,diag_cproj_k,5.8,500.0,37.02365112304688
owt12l_100m,2025,diag_cproj_k,5.7,1000.0,72.10685539245605
owt12l_100m,2025,diag_cproj_k,5.6,1000.0,72.10685539245605
owt12l_100m,2025,diag_cproj_k,5.5,1000.0,72.10685539245605
owt12l_100m,2025,diag_cproj_k,5.2,1500.0,107.1878867149353
owt12l_100m,2025,diag_cproj_k,5.1,1500.0,107.1878867149353
owt12l_100m,2025,diag_cproj_k,5.0,1500.0,107.1878867149353
owt12l_100m,2025,diag_cproj_k,4.0,,
owt12l_100m,2025,diag_cproj_k,3.9,,
owt12l_100m,2025,diag_cproj_k,3.8,,
owt12l_100m,2025,diag_cproj_k,3.7,,
owt12l_100m,2025,diag_cproj_k,3.6,,
owt12l_100m,2025,diag_cproj_k,3.55,,
owt12l_100m,2025,diag_cproj_k,3.5,,
owt12l_100m,2025,muon_blog,6.2,500.0,34.9972722530365
owt12l_100m,2025,muon_blog,6.1,500.0,34.9972722530365
owt12l_100m,2025,muon_blog,6.0,500.0,34.9972722530365
owt12l_100m,2025,muon_blog,5.8,500.0,34.9972722530365
owt12l_100m,2025,muon_blog,5.7,500.0,34.9972722530365
owt12l_100m,2025,muon_blog,5.6,1000.0,68.46806526184082
owt12l_100m,2025,muon_blog,5.5,1000.0,68.46806526184082
owt12l_100m,2025,muon_blog,5.2,1500.0,102.3156280517578
owt12l_100m,2025,muon_blog,5.1,1500.0,102.3156280517578
owt12l_100m,2025,muon_blog,5.0,1500.0,102.3156280517578
owt12l_100m,2025,muon_blog,4.0,,
owt12l_100m,2025,muon_blog,3.9,,
owt12l_100m,2025,muon_blog,3.8,,
owt12l_100m,2025,muon_blog,3.7,,
owt12l_100m,2025,muon_blog,3.6,,
owt12l_100m,2025,muon_blog,3.55,,
owt12l_100m,2025,muon_blog,3.5,,
owt12l_100m,2025,no_cproj_k,6.2,500.0,37.0367603302002
owt12l_100m,2025,no_cproj_k,6.1,500.0,37.0367603302002
owt12l_100m,2025,no_cproj_k,6.0,500.0,37.0367603302002
owt12l_100m,2025,no_cproj_k,5.8,500.0,37.0367603302002
owt12l_100m,2025,no_cproj_k,5.7,1000.0,72.24157404899597
owt12l_100m,2025,no_cproj_k,5.6,1000.0,72.24157404899597
owt12l_100m,2025,no_cproj_k,5.5,1000.0,72.24157404899597
owt12l_100m,2025,no_cproj_k,5.2,1500.0,107.397070646286
owt12l_100m,2025,no_cproj_k,5.1,1500.0,107.397070646286
owt12l_100m,2025,no_cproj_k,5.0,2000.0,142.8449478149414
owt12l_100m,2025,no_cproj_k,4.0,,
owt12l_100m,2025,no_cproj_k,3.9,,
owt12l_100m,2025,no_cproj_k,3.8,,
owt12l_100m,2025,no_cproj_k,3.7,,
owt12l_100m,2025,no_cproj_k,3.6,,
owt12l_100m,2025,no_cproj_k,3.55,,
owt12l_100m,2025,no_cproj_k,3.5,,
owt12l_100m,2025,paper_block4,6.2,500.0,38.83459210395813
owt12l_100m,2025,paper_block4,6.1,500.0,38.83459210395813
owt12l_100m,2025,paper_block4,6.0,500.0,38.83459210395813
owt12l_100m,2025,paper_block4,5.8,500.0,38.83459210395813
owt12l_100m,2025,paper_block4,5.7,1000.0,75.9574806690216
owt12l_100m,2025,paper_block4,5.6,1000.0,75.9574806690216
owt12l_100m,2025,paper_block4,5.5,1000.0,75.9574806690216
owt12l_100m,2025,paper_block4,5.2,1500.0,113.6266598701477
owt12l_100m,2025,paper_block4,5.1,1500.0,113.6266598701477
owt12l_100m,2025,paper_block4,5.0,2000.0,151.14223051071167
owt12l_100m,2025,paper_block4,4.0,,
owt12l_100m,2025,paper_block4,3.9,,
owt12l_100m,2025,paper_block4,3.8,,
owt12l_100m,2025,paper_block4,3.7,,
owt12l_100m,2025,paper_block4,3.6,,
owt12l_100m,2025,paper_block4,3.55,,
owt12l_100m,2025,paper_block4,3.5,,
owt12l_100m,2026,diag_cproj_k,6.2,500.0,37.50042366981506
owt12l_100m,2026,diag_cproj_k,6.1,500.0,37.50042366981506
owt12l_100m,2026,diag_cproj_k,6.0,500.0,37.50042366981506
owt12l_100m,2026,diag_cproj_k,5.8,500.0,37.50042366981506
owt12l_100m,2026,diag_cproj_k,5.7,1000.0,72.99639010429382
owt12l_100m,2026,diag_cproj_k,5.6,1000.0,72.99639010429382
owt12l_100m,2026,diag_cproj_k,5.5,1000.0,72.99639010429382
owt12l_100m,2026,diag_cproj_k,5.2,1500.0,108.51329636573792
owt12l_100m,2026,diag_cproj_k,5.1,1500.0,108.51329636573792
owt12l_100m,2026,diag_cproj_k,5.0,2000.0,143.63980555534363
owt12l_100m,2026,diag_cproj_k,4.0,,
owt12l_100m,2026,diag_cproj_k,3.9,,
owt12l_100m,2026,diag_cproj_k,3.8,,
owt12l_100m,2026,diag_cproj_k,3.7,,
owt12l_100m,2026,diag_cproj_k,3.6,,
owt12l_100m,2026,diag_cproj_k,3.55,,
owt12l_100m,2026,diag_cproj_k,3.5,,
owt12l_100m,2026,muon_blog,6.2,500.0,34.638354778289795
owt12l_100m,2026,muon_blog,6.1,500.0,34.638354778289795
owt12l_100m,2026,muon_blog,6.0,500.0,34.638354778289795
owt12l_100m,2026,muon_blog,5.8,500.0,34.638354778289795
owt12l_100m,2026,muon_blog,5.7,500.0,34.638354778289795
owt12l_100m,2026,muon_blog,5.6,1000.0,68.09857368469238
owt12l_100m,2026,muon_blog,5.5,1000.0,68.09857368469238
owt12l_100m,2026,muon_blog,5.2,1500.0,101.01168870925903
owt12l_100m,2026,muon_blog,5.1,1500.0,101.01168870925903
owt12l_100m,2026,muon_blog,5.0,2000.0,133.99858021736145
owt12l_100m,2026,muon_blog,4.0,,
owt12l_100m,2026,muon_blog,3.9,,
owt12l_100m,2026,muon_blog,3.8,,
owt12l_100m,2026,muon_blog,3.7,,
owt12l_100m,2026,muon_blog,3.6,,
owt12l_100m,2026,muon_blog,3.55,,
owt12l_100m,2026,muon_blog,3.5,,
owt12l_100m,2026,no_cproj_k,6.2,500.0,38.40573477745056
owt12l_100m,2026,no_cproj_k,6.1,500.0,38.40573477745056
owt12l_100m,2026,no_cproj_k,6.0,500.0,38.40573477745056
owt12l_100m,2026,no_cproj_k,5.8,500.0,38.40573477745056
owt12l_100m,2026,no_cproj_k,5.7,1000.0,75.15364170074463
owt12l_100m,2026,no_cproj_k,5.6,1000.0,75.15364170074463
owt12l_100m,2026,no_cproj_k,5.5,1000.0,75.15364170074463
owt12l_100m,2026,no_cproj_k,5.2,1500.0,111.29253959655762
owt12l_100m,2026,no_cproj_k,5.1,1500.0,111.29253959655762
owt12l_100m,2026,no_cproj_k,5.0,2000.0,147.44711184501648
owt12l_100m,2026,no_cproj_k,4.0,,
owt12l_100m,2026,no_cproj_k,3.9,,
owt12l_100m,2026,no_cproj_k,3.8,,
owt12l_100m,2026,no_cproj_k,3.7,,
owt12l_100m,2026,no_cproj_k,3.6,,
owt12l_100m,2026,no_cproj_k,3.55,,
owt12l_100m,2026,no_cproj_k,3.5,,
owt12l_100m,2026,paper_block4,6.2,500.0,39.897239446640015
owt12l_100m,2026,paper_block4,6.1,500.0,39.897239446640015
owt12l_100m,2026,paper_block4,6.0,500.0,39.897239446640015
owt12l_100m,2026,paper_block4,5.8,500.0,39.897239446640015
owt12l_100m,2026,paper_block4,5.7,1000.0,77.92505955696106
owt12l_100m,2026,paper_block4,5.6,1000.0,77.92505955696106
owt12l_100m,2026,paper_block4,5.5,1000.0,77.92505955696106
owt12l_100m,2026,paper_block4,5.2,1500.0,115.9197962284088
owt12l_100m,2026,paper_block4,5.1,1500.0,115.9197962284088
owt12l_100m,2026,paper_block4,5.0,2000.0,154.0971794128418
owt12l_100m,2026,paper_block4,4.0,,
owt12l_100m,2026,paper_block4,3.9,,
owt12l_100m,2026,paper_block4,3.8,,
owt12l_100m,2026,paper_block4,3.7,,
owt12l_100m,2026,paper_block4,3.6,,
owt12l_100m,2026,paper_block4,3.55,,
owt12l_100m,2026,paper_block4,3.5,,
owt18l_3k,2024,diag_cproj_k,6.2,500.0,43.98640584945679
owt18l_3k,2024,diag_cproj_k,6.1,1000.0,85.23602509498596
owt18l_3k,2024,diag_cproj_k,6.0,1000.0,85.23602509498596
owt18l_3k,2024,diag_cproj_k,5.8,1000.0,85.23602509498596
owt18l_3k,2024,diag_cproj_k,5.7,1000.0,85.23602509498596
owt18l_3k,2024,diag_cproj_k,5.6,1000.0,85.23602509498596
owt18l_3k,2024,diag_cproj_k,5.5,1500.0,127.09631299972534
owt18l_3k,2024,diag_cproj_k,5.2,2500.0,210.50834369659424
owt18l_3k,2024,diag_cproj_k,5.1,,
owt18l_3k,2024,diag_cproj_k,5.0,,
owt18l_3k,2024,diag_cproj_k,4.0,,
owt18l_3k,2024,diag_cproj_k,3.9,,
owt18l_3k,2024,diag_cproj_k,3.8,,
owt18l_3k,2024,diag_cproj_k,3.7,,
owt18l_3k,2024,diag_cproj_k,3.6,,
owt18l_3k,2024,diag_cproj_k,3.55,,
owt18l_3k,2024,diag_cproj_k,3.5,,
owt18l_3k,2024,muon_blog,6.2,500.0,37.67184638977051
owt18l_3k,2024,muon_blog,6.1,500.0,37.67184638977051
owt18l_3k,2024,muon_blog,6.0,1000.0,72.89410543441772
owt18l_3k,2024,muon_blog,5.8,1000.0,72.89410543441772
owt18l_3k,2024,muon_blog,5.7,1000.0,72.89410543441772
owt18l_3k,2024,muon_blog,5.6,1000.0,72.89410543441772
owt18l_3k,2024,muon_blog,5.5,1500.0,108.11798477172852
owt18l_3k,2024,muon_blog,5.2,2500.0,178.45266222953796
owt18l_3k,2024,muon_blog,5.1,,
owt18l_3k,2024,muon_blog,5.0,,
owt18l_3k,2024,muon_blog,4.0,,
owt18l_3k,2024,muon_blog,3.9,,
owt18l_3k,2024,muon_blog,3.8,,
owt18l_3k,2024,muon_blog,3.7,,
owt18l_3k,2024,muon_blog,3.6,,
owt18l_3k,2024,muon_blog,3.55,,
owt18l_3k,2024,muon_blog,3.5,,
owt18l_3k,2024,no_cproj_k,6.2,500.0,42.09304547309876
owt18l_3k,2024,no_cproj_k,6.1,1000.0,81.32828450202942
owt18l_3k,2024,no_cproj_k,6.0,1000.0,81.32828450202942
owt18l_3k,2024,no_cproj_k,5.8,1000.0,81.32828450202942
owt18l_3k,2024,no_cproj_k,5.7,1000.0,81.32828450202942
owt18l_3k,2024,no_cproj_k,5.6,1000.0,81.32828450202942
owt18l_3k,2024,no_cproj_k,5.5,1500.0,120.38553643226624
owt18l_3k,2024,no_cproj_k,5.2,2500.0,198.92473912239075
owt18l_3k,2024,no_cproj_k,5.1,,
owt18l_3k,2024,no_cproj_k,5.0,,
owt18l_3k,2024,no_cproj_k,4.0,,
owt18l_3k,2024,no_cproj_k,3.9,,
owt18l_3k,2024,no_cproj_k,3.8,,
owt18l_3k,2024,no_cproj_k,3.7,,
owt18l_3k,2024,no_cproj_k,3.6,,
owt18l_3k,2024,no_cproj_k,3.55,,
owt18l_3k,2024,no_cproj_k,3.5,,
owt18l_3k,2024,paper_block4,6.2,500.0,43.899749755859375
owt18l_3k,2024,paper_block4,6.1,1000.0,85.30805969238281
owt18l_3k,2024,paper_block4,6.0,1000.0,85.30805969238281
owt18l_3k,2024,paper_block4,5.8,1000.0,85.30805969238281
owt18l_3k,2024,paper_block4,5.7,1000.0,85.30805969238281
owt18l_3k,2024,paper_block4,5.6,1000.0,85.30805969238281
owt18l_3k,2024,paper_block4,5.5,1500.0,126.1970512866974
owt18l_3k,2024,paper_block4,5.2,2500.0,208.87574124336243
owt18l_3k,2024,paper_block4,5.1,,
owt18l_3k,2024,paper_block4,5.0,,
owt18l_3k,2024,paper_block4,4.0,,
owt18l_3k,2024,paper_block4,3.9,,
owt18l_3k,2024,paper_block4,3.8,,
owt18l_3k,2024,paper_block4,3.7,,
owt18l_3k,2024,paper_block4,3.6,,
owt18l_3k,2024,paper_block4,3.55,,
owt18l_3k,2024,paper_block4,3.5,,
owt18l_3k,2025,diag_cproj_k,6.2,500.0,43.710426807403564
owt18l_3k,2025,diag_cproj_k,6.1,500.0,43.710426807403564
owt18l_3k,2025,diag_cproj_k,6.0,1000.0,84.1269280910492
owt18l_3k,2025,diag_cproj_k,5.8,1000.0,84.1269280910492
owt18l_3k,2025,diag_cproj_k,5.7,1000.0,84.1269280910492
owt18l_3k,2025,diag_cproj_k,5.6,1500.0,124.46322321891785
owt18l_3k,2025,diag_cproj_k,5.5,1500.0,124.46322321891785
owt18l_3k,2025,diag_cproj_k,5.2,2000.0,164.97386503219604
owt18l_3k,2025,diag_cproj_k,5.1,2500.0,205.37280893325809
owt18l_3k,2025,diag_cproj_k,5.0,,
owt18l_3k,2025,diag_cproj_k,4.0,,
owt18l_3k,2025,diag_cproj_k,3.9,,
owt18l_3k,2025,diag_cproj_k,3.8,,
owt18l_3k,2025,diag_cproj_k,3.7,,
owt18l_3k,2025,diag_cproj_k,3.6,,
owt18l_3k,2025,diag_cproj_k,3.55,,
owt18l_3k,2025,diag_cproj_k,3.5,,
owt18l_3k,2025,muon_blog,6.2,500.0,37.52841234207153
owt18l_3k,2025,muon_blog,6.1,500.0,37.52841234207153
owt18l_3k,2025,muon_blog,6.0,1000.0,73.1478865146637
owt18l_3k,2025,muon_blog,5.8,1000.0,73.1478865146637
owt18l_3k,2025,muon_blog,5.7,1000.0,73.1478865146637
owt18l_3k,2025,muon_blog,5.6,1000.0,73.1478865146637
owt18l_3k,2025,muon_blog,5.5,1500.0,108.54214143753052
owt18l_3k,2025,muon_blog,5.2,2000.0,143.87091255187988
owt18l_3k,2025,muon_blog,5.1,,
owt18l_3k,2025,muon_blog,5.0,,
owt18l_3k,2025,muon_blog,4.0,,
owt18l_3k,2025,muon_blog,3.9,,
owt18l_3k,2025,muon_blog,3.8,,
owt18l_3k,2025,muon_blog,3.7,,
owt18l_3k,2025,muon_blog,3.6,,
owt18l_3k,2025,muon_blog,3.55,,
owt18l_3k,2025,muon_blog,3.5,,
owt18l_3k,2025,no_cproj_k,6.2,500.0,42.22209930419922
owt18l_3k,2025,no_cproj_k,6.1,500.0,42.22209930419922
owt18l_3k,2025,no_cproj_k,6.0,1000.0,80.96965336799622
owt18l_3k,2025,no_cproj_k,5.8,1000.0,80.96965336799622
owt18l_3k,2025,no_cproj_k,5.7,1000.0,80.96965336799622
owt18l_3k,2025,no_cproj_k,5.6,1500.0,119.95404410362244
owt18l_3k,2025,no_cproj_k,5.5,1500.0,119.95404410362244
owt18l_3k,2025,no_cproj_k,5.2,2000.0,159.56951069831848
owt18l_3k,2025,no_cproj_k,5.1,2500.0,198.39211225509644
owt18l_3k,2025,no_cproj_k,5.0,,
owt18l_3k,2025,no_cproj_k,4.0,,
owt18l_3k,2025,no_cproj_k,3.9,,
owt18l_3k,2025,no_cproj_k,3.8,,
owt18l_3k,2025,no_cproj_k,3.7,,
owt18l_3k,2025,no_cproj_k,3.6,,
