comparison,seed,final_delta
diag_minus_block4,2024,-0.0017000000000000348
diag_minus_block4,2025,-0.0009999999999998899
diag_minus_block4,2026,-0.0005999999999999339
diag_minus_block4,aggregate_mean,-0.0010999999999999528
diag_minus_block4,aggregate_sd,0.0005567764362830605
diag_minus_none,2024,-0.005700000000000038
diag_minus_none,2025,-0.005999999999999783
diag_minus_none,2026,-0.004999999999999893
diag_minus_none,aggregate_mean,-0.005566666666666571
diag_minus_none,aggregate_sd,0.0005131601439446608
block4_minus_none,2024,-0.0040000000000000036
block4_minus_none,2025,-0.004999999999999893
block4_minus_none,2026,-0.0043999999999999595
block4_minus_none,aggregate_mean,-0.004466666666666619
block4_minus_none,aggregate_sd,0.0005033222956846612
diag_minus_muon,2024,-0.016100000000000225
diag_minus_muon,2025,-0.016999999999999904
diag_minus_muon,2026,-0.01499999999999968
diag_minus_muon,aggregate_mean,-0.01603333333333327
diag_minus_muon,aggregate_sd,0.0010016652800879074
block4_minus_muon,2024,-0.01440000000000019
block4_minus_muon,2025,-0.016000000000000014
block4_minus_muon,2026,-0.014399999999999746
block4_minus_muon,aggregate_mean,-0.014933333333333318
block4_minus_muon,aggregate_sd,0.0009237604307034277
