seed,method,target_loss,discrete_step,interpolated_step,interpolated_tokens
2024,muon,3.5,2700.0,2698.3606557377016,1414718111.475408
2024,muon,3.4,4600.0,4588.235294117648,2405556705.8823533
2024,muon,3.3,5800.0,5759.722222222224,3019753244.4444456
2024,block4,3.5,2500.0,2405.263157894736,1261050610.5263155
2024,block4,3.4,4300.0,4242.222222222225,2224146204.444446
2024,block4,3.3,5600.0,5543.835616438359,2906566487.671234
2024,none,3.5,2500.0,2475.6410256410254,1297948882.051282
2024,none,3.4,4400.0,4375.757575757578,2294157187.878789
2024,none,3.3,5700.0,5604.225352112679,2938228101.408452
2024,diag,3.5,2400.0,2368.750000000001,1241907200.0000005
2024,diag,3.4,4200.0,4174.285714285713,2188527908.571428
2024,diag,3.3,5600.0,5518.571428571429,2893320777.1428576
2025,muon,3.5,2800.0,2701.0989010989033,1416153740.6593418
2025,muon,3.4,4600.0,4576.2376237623785,2399266471.28713
2025,muon,3.3,5800.0,5753.333333333335,3016403626.6666675
2025,block4,3.5,2400.0,2345.2054794520536,1229563090.4109583
2025,block4,3.4,4200.0,4158.536585365855,2180270829.2682934
2025,block4,3.3,5600.0,5511.111111111116,2889409422.2222247
2025,none,3.5,2500.0,2443.037974683544,1280855493.6708858
2025,none,3.4,4400.0,4331.818181818186,2271120290.909093
2025,none,3.3,5600.0,5584.5070422535255,2927890028.1690164
2025,diag,3.5,2400.0,2312.162162162164,1212238875.6756766
2025,diag,3.4,4200.0,4111.428571428571,2155572662.8571424
2025,diag,3.3,5500.0,5498.529411764709,2882812988.235296
2026,muon,3.5,2800.0,2701.1904761904784,1416201752.3809536
2026,muon,3.4,4600.0,4581.372549019608,2401958650.9803925
2026,muon,3.3,5800.0,5756.756756756759,3018198486.486488
2026,block4,3.5,2500.0,2412.195121951218,1264684956.0975602
2026,block4,3.4,4300.0,4227.906976744184,2216640893.023255
2026,block4,3.3,5600.0,5539.726027397263,2904411879.4520564
2026,none,3.5,2600.0,2501.162790697677,1311329637.2093036
2026,none,3.4,4500.0,4404.477611940301,2309214758.2089567
2026,none,3.3,5700.0,5605.633802816901,2938966535.2112675
2026,diag,3.5,2400.0,2382.666666666666,1249203541.333333
2026,diag,3.4,4200.0,4197.297297297304,2200592605.405409
2026,diag,3.3,5600.0,5530.136986301373,2899384460.2739744
