method,target_val_loss,seeds_reached,interpolated_step_mean,interpolated_step_sd,interpolated_tokens_mean,interpolated_tokens_sd
down_diag,4,3,473.43475606,3.45979372371,248216161.385,1813928.33182
muon,4,3,473.609612109,1.6069761002,248307836.313,842518.28562
down_none,4,3,473.988708368,3.57158455125,248506591.933,1872538.92121
newton_full,4,3,475.757942611,3.18690686713,249434180.215,1670857.02755
adamw,4,3,935.74690763,42.0523281344,490600874.708,22047531.0129
newton_full,3.8,3,765.01109599,5.23408365152,401086137.495,2744167.24949
down_diag,3.8,3,765.02566797,5.36993339668,401093777.408,2815391.64068
down_none,3.8,3,765.634088068,6.04622516869,401412764.765,3169963.30124
muon,3.8,3,786.029500432,1.43128939071,412105834.722,750407.852076
adamw,3.8,3,1483.00225288,51.4920364945,777520285.159,26996656.8296
down_none,3.6,3,1501.10806429,17.5136804862,787012944.809,9182212.51473
down_diag,3.6,3,1511.10367587,26.7150207257,792253524.017,14006364.7863
newton_full,3.6,3,1513.35209864,27.6946089503,793432345.092,14519951.1373
muon,3.6,3,1549.72166021,7.02313598247,812500469.79,3682145.91798
adamw,3.6,3,2856.75921266,146.411286751,1497764574.09,76761680.7079
down_diag,3.5,3,2345.99611278,16.326604786,1229977609.98,8559842.97005
down_none,3.5,3,2348.85701385,34.3741365144,1231477546.08,18021947.2849
newton_full,3.5,3,2356.16003477,0.887055814197,1235306432.31,465072.718714
muon,3.5,3,2418.61265294,17.7935134506,1268049590.58,9328925.57998
adamw,3.5,3,4376.98272631,144.924849588,2294799519.61,75982359.5406
down_none,3.4,3,4134.50920728,54.0455836908,2167673563.27,28335450.9821
down_diag,3.4,3,4135.45180642,19.1246556329,2168167756.69,10026827.4525
newton_full,3.4,3,4149.43596483,16.1676896954,2175499483.13,8476525.69502
muon,3.4,3,4191.89278464,35.4970907417,2197759084.27,18610698.7108
adamw,3.4,3,5569.21468914,103.12622012,2919872430.94,54067839.6942
