comparison,left_method,right_method,seed,final_delta_left_minus_right,tail5_delta_left_minus_right,auc_delta_left_minus_right
down_diag_minus_down_none,down_diag,down_none,2024,-0.000310183,-0.0003487592,-7.58382822568e-05
down_diag_minus_down_none,down_diag,down_none,2025,-0.001187086,-0.001163101,-0.00103903004839
down_diag_minus_down_none,down_diag,down_none,2026,0.001357317,0.00131402,0.00175860816936
down_diag_minus_newton_full,down_diag,newton_full,2024,-0.0003438,-0.000408411600001,-0.00173240337097
down_diag_minus_newton_full,down_diag,newton_full,2025,-0.000223875,-0.0001629828,-0.00035920641129
down_diag_minus_newton_full,down_diag,newton_full,2026,0.000785351,0.0007154942,-0.000780840056453
down_diag_minus_muon,down_diag,muon,2024,-0.001440048,-0.0014460088,-0.00330485459677
down_diag_minus_muon,down_diag,muon,2025,-0.000698805,-0.000702715000001,-0.00224484750807
down_diag_minus_muon,down_diag,muon,2026,0.000182628,0.0001520154,-0.000596196403227
down_diag_minus_adamw,down_diag,adamw,2024,-0.103345156,-0.1043540004,-0.220705722661
down_diag_minus_adamw,down_diag,adamw,2025,-0.088384867,-0.0892407418,-0.185774632105
down_diag_minus_adamw,down_diag,adamw,2026,-0.09774065,-0.098648453,-0.204081789129
down_none_minus_newton_full,down_none,newton_full,2024,-3.36170000002e-05,-5.96524000009e-05,-0.00165656508871
down_none_minus_newton_full,down_none,newton_full,2025,0.000963211,0.0010001182,0.000679823637099
down_none_minus_newton_full,down_none,newton_full,2026,-0.000571966,-0.0005985258,-0.00253944822581
down_none_minus_muon,down_none,muon,2024,-0.001129865,-0.0010972496,-0.00322901631452
down_none_minus_muon,down_none,muon,2025,0.000488281,0.000460386,-0.00120581745968
down_none_minus_muon,down_none,muon,2026,-0.001174689,-0.0011620046,-0.00235480457258
down_none_minus_adamw,down_none,adamw,2024,-0.103034973,-0.1040052412,-0.220629884379
down_none_minus_adamw,down_none,adamw,2025,-0.087197781,-0.0880776408,-0.184735602056
down_none_minus_adamw,down_none,adamw,2026,-0.099097967,-0.099962473,-0.205840397298
newton_full_minus_muon,newton_full,muon,2024,-0.001096248,-0.0010375972,-0.00157245122581
newton_full_minus_muon,newton_full,muon,2025,-0.00047493,-0.0005397322,-0.00188564109678
newton_full_minus_muon,newton_full,muon,2026,-0.000602723,-0.0005634788,0.000184643653226
newton_full_minus_adamw,newton_full,adamw,2024,-0.103001356,-0.1039455888,-0.21897331929
newton_full_minus_adamw,newton_full,adamw,2025,-0.088160992,-0.089077759,-0.185415425694
newton_full_minus_adamw,newton_full,adamw,2026,-0.098526001,-0.0993639472,-0.203300949073
muon_minus_adamw,muon,adamw,2024,-0.101905108,-0.1029079916,-0.217400868065
muon_minus_adamw,muon,adamw,2025,-0.087686062,-0.0885380268,-0.183529784597
muon_minus_adamw,muon,adamw,2026,-0.097923278,-0.0988004684,-0.203485592726
