comparison,left_method,right_method,n_seeds,final_delta_mean,final_delta_sd,final_delta_95ci_low,final_delta_95ci_high,left_better_seeds,right_better_seeds,tail5_delta_mean,auc_delta_mean
down_diag_minus_down_none,down_diag,down_none,3,-4.66506666667e-05,0.00129251058976,-0.00325742496548,0.00316412363215,2,1,-6.59467333336e-05,0.000214579946237
down_diag_minus_newton_full,down_diag,newton_full,3,7.25586666666e-05,0.000620201728674,-0.00146810783641,0.00161322516974,2,1,4.80332666662e-05,-0.00095748327957
down_diag_minus_muon,down_diag,muon,3,-0.000652075,0.000812346674714,-0.00267005600965,0.00136590600965,2,1,-0.000665569466667,-0.00204863283602
down_diag_minus_adamw,down_diag,adamw,3,-0.0964902243333,0.00755812377524,-0.115265644633,-0.0777148040334,3,0,-0.0974143984,-0.203520714632
down_none_minus_newton_full,down_none,newton_full,3,0.000119209333333,0.000778915285158,-0.00181572350076,0.00205414216743,2,1,0.00011398,-0.00117206322581
down_none_minus_muon,down_none,muon,3,-0.000605424333333,0.000947441721092,-0.00295900004236,0.00174815137569,2,1,-0.000599622733333,-0.00226321278226
down_none_minus_adamw,down_none,adamw,3,-0.0964435736667,0.00824551487703,-0.116926568125,-0.0759605792081,3,0,-0.0973484516667,-0.203735294578
newton_full_minus_muon,newton_full,muon,3,-0.000724633666667,0.000328109238313,-0.00153970219912,9.04348657913e-05,3,0,-0.000713602733333,-0.00109114955645
newton_full_minus_adamw,newton_full,adamw,3,-0.096562783,0.00761247460421,-0.115473218244,-0.0776523477562,3,0,-0.0974624316667,-0.202563231352
muon_minus_adamw,muon,adamw,3,-0.0958381493333,0.00733526676099,-0.11405996212,-0.0776163365468,3,0,-0.0967488289333,-0.201472081796
