seed,method,target_val_loss,reached,first_discrete_step,interpolated_step,first_discrete_tokens,interpolated_tokens
2024,adamw,4,True,1000,979.39765402,524288000,513486437.231
2024,adamw,3.8,True,1600,1534.50813413,838860800,804524200.628
2024,adamw,3.6,True,3100,3012.84478465,1625292800,1579598366.46
2024,adamw,3.5,True,4600,4505.00586372,2411724800,2361920514.28
2024,adamw,3.4,True,5700,5663.14474743,2988441600,2969118833.34
2024,down_diag,4,True,500,469.572396666,262144000,246191172.703
2024,down_diag,3.8,True,800,758.837190073,419430400,397849232.709
2024,down_diag,3.6,True,1500,1487.91815073,786432000,780097631.411
2024,down_diag,3.5,True,2400,2329.79233754,1258291200,1221482165.06
2024,down_diag,3.4,True,4200,4128.35356657,2202009600,2164446234.71
2024,down_none,4,True,500,469.953647006,262144000,246391057.682
2024,down_none,3.8,True,800,759.298120727,419430400,398090893.12
2024,down_none,3.6,True,1500,1492.36838217,786432000,782430834.352
2024,down_none,3.5,True,2400,2340.63475898,1258291200,1227166716.52
2024,down_none,3.4,True,4200,4147.7886611,2202009600,2174635821.55
2024,muon,4,True,500,471.958193459,262144000,247442017.332
2024,muon,3.8,True,800,784.471893091,419430400,411289199.885
2024,muon,3.6,True,1600,1547.39717017,838860800,811281767.556
2024,muon,3.5,True,2500,2426.44061989,1310720000,1272153699.72
2024,muon,3.4,True,4200,4199.55294104,2202009600,2201775212.35
2024,newton_full,4,True,500,472.428690121,262144000,247688693.086
2024,newton_full,3.8,True,800,759.551377834,419430400,398223672.782
2024,newton_full,3.6,True,1500,1495.90276185,786432000,784283867.204
2024,newton_full,3.5,True,2400,2356.29693021,1258291200,1235378204.94
2024,newton_full,3.4,True,4200,4149.51127912,2202009600,2175538969.51
2025,adamw,4,True,900,895.499874461,471859200,469499838.181
2025,adamw,3.8,True,1500,1431.52407232,786432000,750530892.829
2025,adamw,3.6,True,2800,2722.46488847,1468006400,1427355671.44
2025,adamw,3.5,True,4300,4219.63965572,2254438400,2212306435.82
2025,adamw,3.4,True,5500,5458.86294697,2883584000,2862016336.74
2025,down_diag,4,True,500,474.48173694,262144000,248765080.897
2025,down_diag,3.8,True,800,767.7833944,419430400,402539620.283
2025,down_diag,3.6,True,1600,1505.07497709,838860800,789092749.589
2025,down_diag,3.5,True,2400,2362.44283561,1258291200,1238600429.4
2025,down_diag,3.4,True,4200,4157.11069433,2202009600,2179523251.71
2025,down_none,4,True,500,475.268047977,262144000,249177334.338
2025,down_none,3.8,True,800,771.341456936,419430400,404405069.774
2025,down_none,3.6,True,1600,1521.27165321,838860800,797584472.518
2025,down_none,3.5,True,2400,2386.59665827,1258291200,1251263988.77
2025,down_none,3.4,True,4200,4180.67731309,2202009600,2191878947.13
2025,muon,4,True,500,475.168113709,262144000,249124940
2025,muon,3.8,True,800,787.286826671,419430400,412765035.782
2025,muon,3.6,True,1600,1557.6123522,838860800,816637464.91
2025,muon,3.5,True,2500,2431.15015331,1310720000,1274622851.58
2025,muon,3.4,True,4300,4222.93439917,2254438400,2214033830.27
2025,newton_full,4,True,500,476.064837744,262144000,249595081.651
2025,newton_full,3.8,True,800,765.496129928,419430400,401340434.968
2025,newton_full,3.6,True,1500,1498.86832355,786432000,785838675.617
2025,newton_full,3.5,True,2400,2355.21248936,1258291200,1234809645.62
2025,newton_full,3.4,True,4200,4165.56586581,2202009600,2183956196.65
2026,adamw,4,True,1000,932.34319441,524288000,488816348.711
2026,adamw,3.8,True,1500,1482.9745522,786432000,777505762.021
2026,adamw,3.6,True,2900,2834.96796485,1520435200,1486339684.36
2026,adamw,3.5,True,4500,4406.30265948,2359296000,2310171608.73
2026,adamw,3.4,True,5600,5585.63637304,2936012800,2928482122.75
2026,down_diag,4,True,500,476.250134573,262144000,249692230.555
2026,down_diag,3.8,True,800,768.456419436,419430400,402892479.233
2026,down_diag,3.6,True,1600,1540.3178998,838860800,807570191.051
2026,down_diag,3.5,True,2400,2345.7531652,1258291200,1229850235.48
2026,down_diag,3.4,True,4200,4120.89115836,2202009600,2160533783.64
2026,down_none,4,True,500,476.744430122,262144000,249951383.78
2026,down_none,3.8,True,800,766.262686542,419430400,401742331.402
2026,down_none,3.6,True,1500,1489.68415748,786432000,781023527.558
2026,down_none,3.5,True,2400,2319.3396243,1258291200,1216001932.95
2026,down_none,3.4,True,4100,4075.06164766,2149580800,2136505921.13
2026,muon,4,True,500,473.70252916,262144000,248356551.608
2026,muon,3.8,True,800,786.329781534,419430400,412263268.501
2026,muon,3.6,True,1600,1544.15545827,838860800,809582176.905
2026,muon,3.5,True,2400,2398.24718561,1258291200,1257372220.45
2026,muon,3.4,True,4200,4153.1910137,2202009600,2177468210.19
2026,newton_full,4,True,500,478.780299968,262144000,251018765.909
2026,newton_full,3.8,True,800,769.985780209,419430400,403694304.734
2026,newton_full,3.6,True,1600,1545.28521052,838860800,810174492.454
2026,newton_full,3.5,True,2400,2356.97068474,1258291200,1235731446.36
2026,newton_full,3.4,True,4200,4133.23074955,2202009600,2167003283.22
