check,status,severity_if_failed,evidence
wandb_export_2026-07-27T09_58_52.645+08_00.csv: one metric,PASS,critical,{'lr/matrix'}
wandb_export_2026-07-27T09_58_52.645+08_00.csv: recognized metric,PASS,critical,lr/matrix
wandb_export_2026-07-27T09_58_52.645+08_00.csv: exact row step grid,PASS,critical,metric=lr/matrix points=311
llama_swiglu_muon_seed2024 lr/matrix: expected finite grid,PASS,critical,finite=311
llama_swiglu_muon_seed2024 lr/matrix: MIN/MAX mirrors,PASS,high,finite=311
llama_swiglu_muon_seed2025 lr/matrix: expected finite grid,PASS,critical,finite=311
llama_swiglu_muon_seed2025 lr/matrix: MIN/MAX mirrors,PASS,high,finite=311
llama_swiglu_newton_full_seed2024 lr/matrix: expected finite grid,PASS,critical,finite=311
llama_swiglu_newton_full_seed2024 lr/matrix: MIN/MAX mirrors,PASS,high,finite=311
llama_swiglu_newton_full_seed2025 lr/matrix: expected finite grid,PASS,critical,finite=311
llama_swiglu_newton_full_seed2025 lr/matrix: MIN/MAX mirrors,PASS,high,finite=311
llama_swiglu_down_diag_seed2024 lr/matrix: expected finite grid,PASS,critical,finite=311
llama_swiglu_down_diag_seed2024 lr/matrix: MIN/MAX mirrors,PASS,high,finite=311
llama_swiglu_down_diag_seed2025 lr/matrix: expected finite grid,PASS,critical,finite=311
llama_swiglu_down_diag_seed2025 lr/matrix: MIN/MAX mirrors,PASS,high,finite=311
llama_swiglu_down_none_seed2024 lr/matrix: expected finite grid,PASS,critical,finite=311
llama_swiglu_down_none_seed2024 lr/matrix: MIN/MAX mirrors,PASS,high,finite=311
llama_swiglu_down_none_seed2025 lr/matrix: expected finite grid,PASS,critical,finite=311
llama_swiglu_down_none_seed2025 lr/matrix: MIN/MAX mirrors,PASS,high,finite=311
wandb_export_2026-07-27T09_58_52.645+08_00.csv: exact run identities,PASS,critical,"[(2024, 'down_diag'), (2024, 'down_none'), (2024, 'muon'), (2024, 'newton_full'), (2025, 'down_diag'), (2025, 'down_none'), (2025, 'muon'), (2025, 'newton_full')]"
wandb_export_2026-07-27T09_58_55.813+08_00.csv: one metric,PASS,critical,{'lr/backup'}
wandb_export_2026-07-27T09_58_55.813+08_00.csv: recognized metric,PASS,critical,lr/backup
wandb_export_2026-07-27T09_58_55.813+08_00.csv: exact row step grid,PASS,critical,metric=lr/backup points=311
llama_swiglu_muon_seed2024 lr/backup: expected finite grid,PASS,critical,finite=311
llama_swiglu_muon_seed2024 lr/backup: MIN/MAX mirrors,PASS,high,finite=311
llama_swiglu_muon_seed2025 lr/backup: expected finite grid,PASS,critical,finite=311
llama_swiglu_muon_seed2025 lr/backup: MIN/MAX mirrors,PASS,high,finite=311
llama_swiglu_newton_full_seed2024 lr/backup: expected finite grid,PASS,critical,finite=311
llama_swiglu_newton_full_seed2024 lr/backup: MIN/MAX mirrors,PASS,high,finite=311
llama_swiglu_newton_full_seed2025 lr/backup: expected finite grid,PASS,critical,finite=311
llama_swiglu_newton_full_seed2025 lr/backup: MIN/MAX mirrors,PASS,high,finite=311
llama_swiglu_down_diag_seed2024 lr/backup: expected finite grid,PASS,critical,finite=311
llama_swiglu_down_diag_seed2024 lr/backup: MIN/MAX mirrors,PASS,high,finite=311
llama_swiglu_down_diag_seed2025 lr/backup: expected finite grid,PASS,critical,finite=311
llama_swiglu_down_diag_seed2025 lr/backup: MIN/MAX mirrors,PASS,high,finite=311
llama_swiglu_down_none_seed2024 lr/backup: expected finite grid,PASS,critical,finite=311
llama_swiglu_down_none_seed2024 lr/backup: MIN/MAX mirrors,PASS,high,finite=311
llama_swiglu_down_none_seed2025 lr/backup: expected finite grid,PASS,critical,finite=311
llama_swiglu_down_none_seed2025 lr/backup: MIN/MAX mirrors,PASS,high,finite=311
