seed,contrast,method,reference,final_delta,tail5_delta,auc_delta,method_lower_checkpoints_excluding_step0,reference_lower_checkpoints_excluding_step0,ties_excluding_step0,final_exceeds_positive_0p002_margin,first_sustained_discrete_step,interpolated_crossover_step,interpolated_crossover_tokens
2024,down_none-muon,down_none,muon,0.004503011000000168,0.004556226600000546,-0.0008129901209694701,22,40,0,True,2300.0,2250.4915441447097,1179905710.6965415
2024,down_diag-muon,down_diag,muon,0.00530981999999991,0.005382442599999759,-0.002089883064518183,24,38,0,True,2500.0,2413.3350850471566,1265282625.0692036
2024,newton_full-muon,newton_full,muon,0.005918740999999894,0.005896186800000258,0.0014436379435474045,16,46,0,True,2100.0,2010.1473239453496,1053896120.1766595
2024,down_none-newton_full,down_none,newton_full,-0.0014157299999997264,-0.0013399601999997124,-0.0022566280645168746,59,3,0,False,,,
2024,down_diag-newton_full,down_diag,newton_full,-0.0006089209999999845,-0.0005137442000004988,-0.0035335210080655877,61,1,0,False,,,
2024,down_diag-down_none,down_diag,down_none,0.0008068089999997419,0.0008262159999992136,-0.001276892943548713,25,37,0,False,,,
2025,down_none-muon,down_none,muon,0.003650187999999943,0.0037090775999999437,-0.0010559482903231832,19,43,0,True,2000.0,1947.529140655443,1021066158.0959609
2025,down_diag-muon,down_diag,muon,0.004875182999999783,0.004919052199999996,-0.002143759959677638,16,46,0,True,1800.0,1772.3886288890444,929242089.4629793
2025,newton_full-muon,newton_full,muon,0.005896805999999977,0.005875348800000069,-0.0006023242258073047,18,44,0,True,1900.0,1812.2558475481567,950143993.799328
2025,down_none-newton_full,down_none,newton_full,-0.0022466180000000335,-0.002166271200000125,-0.00045362406451587844,49,13,0,False,,,
2025,down_diag-newton_full,down_diag,newton_full,-0.0010216230000001936,-0.0009562966000000728,-0.0015414357338703333,58,4,0,False,,,
2025,down_diag-down_none,down_diag,down_none,0.00122499499999984,0.0012099746000000522,-0.0010878116693544548,16,46,0,False,,,
2026,down_none-muon,down_none,muon,0.005259514000000021,0.005298566800000071,0.0034370999193549245,11,51,0,True,1500.0,1409.9320269805776,739210442.561593
2026,down_diag-muon,down_diag,muon,0.006682872999999923,0.006618404400000166,0.0012221490403230284,18,44,0,True,2000.0,1922.9792568860423,1008194948.6342694
2026,newton_full-muon,newton_full,muon,0.00794482200000024,0.007873392000000479,0.004384338838710811,15,47,0,True,1800.0,1748.3292073756154,916628023.4765466
2026,down_none-newton_full,down_none,newton_full,-0.0026853080000002194,-0.002574825200000408,-0.0009472389193558861,50,12,0,False,,,
2026,down_diag-newton_full,down_diag,newton_full,-0.0012619490000003175,-0.0012549876000003124,-0.0031621897983877822,62,0,0,False,,,
2026,down_diag-down_none,down_diag,down_none,0.001423358999999902,0.0013198376000000955,-0.002214950879031896,29,33,0,False,,,
