seed,target_val_loss,target_scope,method,reached,first_discrete_step,interpolated_step,interpolated_tokens
2024,4.0,fixed,muon,True,400,348.06453134806054,182486057.01141196
2024,4.0,fixed,down_none,True,400,344.29590239861545,180510210.0767653
2024,4.0,fixed,down_diag,True,400,340.63827773149353,178592561.35528928
2024,4.0,fixed,newton_full,True,400,347.97479543128645,182439009.5470783
2024,3.8,fixed,muon,True,500,488.3420474367241,256031875.3665052
2024,3.8,fixed,down_none,True,500,480.4133337158812,251874945.90723193
2024,3.8,fixed,down_diag,True,500,475.94036428784665,249529821.71174654
2024,3.8,fixed,newton_full,True,500,480.9789643326519,252171499.2520374
2024,3.6,fixed,muon,True,800,786.9866189825389,412607640.49311733
2024,3.6,fixed,down_none,True,800,768.3622274350605,402843095.497473
2024,3.6,fixed,down_diag,True,800,762.5545332865163,399798191.14772105
2024,3.6,fixed,newton_full,True,800,767.1352271505916,402199793.9723294
2024,3.4,fixed,muon,True,1500,1462.4924469984562,766767240.0519266
2024,3.4,fixed,down_none,True,1500,1432.3677169487921,750973205.5836483
2024,3.4,fixed,down_diag,True,1500,1407.1561777468908,737755098.1185619
2024,3.4,fixed,newton_full,True,1600,1501.6823619048291,787314042.158359
2024,3.2,fixed,muon,True,3100,3029.2307283644495,1588189320.1127405
2024,3.2,fixed,down_none,True,3100,3054.0962969276447,1601226039.323601
2024,3.2,fixed,down_diag,True,3100,3062.5864165107046,1605677307.1395643
2024,3.2,fixed,newton_full,True,3100,3068.2365918706446,1608639626.2786765
2024,3.0,fixed,muon,True,5700,5669.161795065047,2972273499.2110634
2024,3.0,fixed,down_none,True,5800,5728.833073888458,3003558434.642832
2024,3.0,fixed,down_diag,True,5800,5741.080325134769,3009979521.5042577
2024,3.0,fixed,newton_full,True,5800,5746.5206210756105,3012831803.3824897
2024,2.976945162,family_common_final,muon,True,6100,6017.440371748305,3154871777.623175
2024,2.976945162,family_common_final,down_none,True,6200,6135.874707168733,3216965478.4720807
2024,2.976945162,family_common_final,down_diag,True,6200,6171.719632279657,3235758542.568637
2024,2.976945162,family_common_final,newton_full,True,6200,6200.0,3250585600.0
2025,4.0,fixed,muon,True,400,347.1939833862695,182029639.16162047
2025,4.0,fixed,down_none,True,400,341.9095177849638,179259057.2604431
2025,4.0,fixed,down_diag,True,400,339.0458652966725,177757678.62466183
2025,4.0,fixed,newton_full,True,400,342.1172951808667,179367992.45578623
2025,3.8,fixed,muon,True,500,485.4311922901227,254505748.94340384
2025,3.8,fixed,down_none,True,500,477.86192311183447,250537271.94445747
2025,3.8,fixed,down_diag,True,500,472.4290598851791,247688886.94908077
2025,3.8,fixed,newton_full,True,500,474.6591514833149,248858097.2128842
2025,3.6,fixed,muon,True,800,785.2432032666345,411693588.5542573
2025,3.6,fixed,down_none,True,800,767.1567569407913,402211081.7829736
2025,3.6,fixed,down_diag,True,800,755.9004845761247,396309553.25744724
2025,3.6,fixed,newton_full,True,800,760.0235370280177,398471220.18134534
2025,3.4,fixed,muon,True,1500,1420.2058940509382,744596907.7801783
2025,3.4,fixed,down_none,True,1500,1406.6270449522117,737477680.1439052
2025,3.4,fixed,down_diag,True,1400,1397.4520644975748,732667347.9913045
2025,3.4,fixed,newton_full,True,1500,1403.9110847152178,736053734.7831721
2025,3.2,fixed,muon,True,3100,3010.690687478659,1578468999.1568112
2025,3.2,fixed,down_none,True,3100,3038.9766375859926,1593298983.366685
2025,3.2,fixed,down_diag,True,3100,3047.11320300195,1597564886.9754863
2025,3.2,fixed,newton_full,True,3100,3060.436271093545,1604550011.6990926
2025,3.0,fixed,muon,True,5700,5658.835935496869,2966859774.9497824
2025,3.0,fixed,down_none,True,5800,5709.325009245687,2993330590.447403
2025,3.0,fixed,down_diag,True,5800,5724.457747091767,3001264503.307248
2025,3.0,fixed,newton_full,True,5800,5736.78690407573,3007728532.364056
2025,2.976119041,family_common_final,muon,True,6100,6018.291409425723,3155317966.4649935
2025,2.976119041,family_common_final,down_none,True,6100,6098.734114413221,3197493111.3774786
2025,2.976119041,family_common_final,down_diag,True,6200,6153.484614207811,3226198141.413785
2025,2.976119041,family_common_final,newton_full,True,6200,6200.0,3250585600.0
2026,4.0,fixed,muon,True,400,346.1251944129904,181469285.92839792
2026,4.0,fixed,down_none,True,400,348.92920338186076,182939394.182669
2026,4.0,fixed,down_diag,True,400,344.70116918228996,180722686.58824444
2026,4.0,fixed,newton_full,True,400,349.44991714837374,183212398.16188657
2026,3.8,fixed,muon,True,500,487.60569709825734,255645815.72025114
2026,3.8,fixed,down_none,True,500,483.55262721929785,253520839.81955123
2026,3.8,fixed,down_diag,True,500,478.4062992836154,250822681.83880815
2026,3.8,fixed,newton_full,True,500,481.70514986212095,252552229.61091167
2026,3.6,fixed,muon,True,800,784.4578302652078,411281826.91408527
2026,3.6,fixed,down_none,True,800,773.2943682492165,405428957.74064523
2026,3.6,fixed,down_diag,True,800,765.4848564031914,401334524.3939164
2026,3.6,fixed,newton_full,True,800,772.2164005122276,404863792.19175476
2026,3.4,fixed,muon,True,1500,1427.2105083018425,748269342.9765564
2026,3.4,fixed,down_none,True,1600,1508.4361243989406,790854958.7888718
2026,3.4,fixed,down_diag,True,1500,1408.2820937874606,738345402.3876401
2026,3.4,fixed,newton_full,True,1500,1419.4991694181097,744226380.5358819
2026,3.2,fixed,muon,True,3100,3007.4986847753803,1576795470.4435146
2026,3.2,fixed,down_none,True,3100,3057.7789596085468,1603156815.1752458
2026,3.2,fixed,down_diag,True,3100,3061.623256342745,1605172333.8214252
2026,3.2,fixed,newton_full,True,3100,3081.281047735723,1615478677.9552667
2026,3.0,fixed,muon,True,5700,5644.723990853723,2959461051.716717
2026,3.0,fixed,down_none,True,5800,5717.5917923377465,2997664765.6211724
2026,3.0,fixed,down_diag,True,5800,5732.144772711045,3005294718.5951285
2026,3.0,fixed,newton_full,True,5800,5749.010327614105,3014137126.644144
