check,status,severity_if_failed,evidence
compact evidence file count excluding pycache,PASS,critical,100
expected four manifests,PASS,critical,4
20260724T171841+0000_formal_seed2024: completed formal manifest,PASS,critical,status=completed stage=formal failed={}
20260724T171841+0000_formal_seed2024: W&B completed and timing ineligible,PASS,critical,wandb_complete=True timing_eligible=False
20260724T171841+0000_formal_seed2024: frozen formal config,PASS,critical,"{""adamw_matrix_lr"": 0.000576, ""backup_lr"": 0.0036, ""checkpoint_every"": 128, ""device_batch_size"": 8, ""global_batch_size"": 512, ""matrix_lr"": 0.01, ""num_iterations"": 6200, ""sequence_length"": 1024, ""val_every"": 100, ""val_tokens"": 10485760, ""warmdown_iters"": 1800}"
20260724T171841+0000_formal_seed2024: pinned 1B architecture,PASS,critical,"{""expected_backup_tensors"": 38, ""expected_matrix_tensors"": 126, ""expected_parameter_count"": 1013690368, ""expected_preconditioner_groups"": {""adamw"": 0, ""down_diag"": 72, ""down_none"": 54, ""muon"": 0, ""newton_full"": 72}, ""intermediate_size"": 5504, ""n_embd"": 2048, ""n_head"": 16, ""n_layer"": 18, ""name"": ""llama_swiglu_1b_v1""}"
seed2024 down_diag: method result completed/uploaded,PASS,critical,"{""mode"": ""online"", ""project"": ""Selective-Newton-Muon-MainConf-LLaMA-SwiGLU-1B-Formal-20260721"", ""run_id"": ""80b2f3b6aab65fe9"", ""run_name"": ""llama_swiglu_down_diag_seed2024"", ""status"": ""uploaded"", ""uploaded_at"": ""2026-07-25T21:20:40.146301+00:00""}"
seed2024 down_none: method result completed/uploaded,PASS,critical,"{""mode"": ""online"", ""project"": ""Selective-Newton-Muon-MainConf-LLaMA-SwiGLU-1B-Formal-20260721"", ""run_id"": ""606df5f2b715c9ca"", ""run_name"": ""llama_swiglu_down_none_seed2024"", ""status"": ""uploaded"", ""uploaded_at"": ""2026-07-25T07:19:24.490926+00:00""}"
seed2024 muon: method result completed/uploaded,PASS,critical,"{""mode"": ""online"", ""project"": ""Selective-Newton-Muon-MainConf-LLaMA-SwiGLU-1B-Formal-20260721"", ""run_id"": ""1569ce5008f929af"", ""run_name"": ""llama_swiglu_muon_seed2024"", ""status"": ""uploaded"", ""uploaded_at"": ""2026-07-27T01:49:05.134113+00:00""}"
seed2024 newton_full: method result completed/uploaded,PASS,critical,"{""mode"": ""online"", ""project"": ""Selective-Newton-Muon-MainConf-LLaMA-SwiGLU-1B-Formal-20260721"", ""run_id"": ""d362ce8db61a5a81"", ""run_name"": ""llama_swiglu_newton_full_seed2024"", ""status"": ""uploaded"", ""uploaded_at"": ""2026-07-26T12:02:17.882481+00:00""}"
20260724T171844+0000_formal_seed2025: completed formal manifest,PASS,critical,status=completed stage=formal failed={}
20260724T171844+0000_formal_seed2025: W&B completed and timing ineligible,PASS,critical,wandb_complete=True timing_eligible=False
20260724T171844+0000_formal_seed2025: frozen formal config,PASS,critical,"{""adamw_matrix_lr"": 0.000576, ""backup_lr"": 0.0036, ""checkpoint_every"": 128, ""device_batch_size"": 8, ""global_batch_size"": 512, ""matrix_lr"": 0.01, ""num_iterations"": 6200, ""sequence_length"": 1024, ""val_every"": 100, ""val_tokens"": 10485760, ""warmdown_iters"": 1800}"
20260724T171844+0000_formal_seed2025: pinned 1B architecture,PASS,critical,"{""expected_backup_tensors"": 38, ""expected_matrix_tensors"": 126, ""expected_parameter_count"": 1013690368, ""expected_preconditioner_groups"": {""adamw"": 0, ""down_diag"": 72, ""down_none"": 54, ""muon"": 0, ""newton_full"": 72}, ""intermediate_size"": 5504, ""n_embd"": 2048, ""n_head"": 16, ""n_layer"": 18, ""name"": ""llama_swiglu_1b_v1""}"
seed2025 down_diag: method result completed/uploaded,PASS,critical,"{""mode"": ""online"", ""project"": ""Selective-Newton-Muon-MainConf-LLaMA-SwiGLU-1B-Formal-20260721"", ""run_id"": ""8715f436386d4bd9"", ""run_name"": ""llama_swiglu_down_diag_seed2025"", ""status"": ""uploaded"", ""uploaded_at"": ""2026-07-25T21:16:06.070557+00:00""}"
seed2025 down_none: method result completed/uploaded,PASS,critical,"{""mode"": ""online"", ""project"": ""Selective-Newton-Muon-MainConf-LLaMA-SwiGLU-1B-Formal-20260721"", ""run_id"": ""3d201cdd51fab9af"", ""run_name"": ""llama_swiglu_down_none_seed2025"", ""status"": ""uploaded"", ""uploaded_at"": ""2026-07-25T07:17:46.672892+00:00""}"
seed2025 muon: method result completed/uploaded,PASS,critical,"{""mode"": ""online"", ""project"": ""Selective-Newton-Muon-MainConf-LLaMA-SwiGLU-1B-Formal-20260721"", ""run_id"": ""e3a3f09c928a9fd8"", ""run_name"": ""llama_swiglu_muon_seed2025"", ""status"": ""uploaded"", ""uploaded_at"": ""2026-07-27T01:37:45.271765+00:00""}"
seed2025 newton_full: method result completed/uploaded,PASS,critical,"{""mode"": ""online"", ""project"": ""Selective-Newton-Muon-MainConf-LLaMA-SwiGLU-1B-Formal-20260721"", ""run_id"": ""27302d3d8dcdab37"", ""run_name"": ""llama_swiglu_newton_full_seed2025"", ""status"": ""uploaded"", ""uploaded_at"": ""2026-07-26T11:54:19.116608+00:00""}"
20260723T025322+0000_formal_seed2026: completed formal manifest,PASS,critical,status=completed stage=formal failed={}
20260723T025322+0000_formal_seed2026: W&B completed and timing ineligible,PASS,critical,wandb_complete=True timing_eligible=False
20260723T025322+0000_formal_seed2026: frozen formal config,PASS,critical,"{""adamw_matrix_lr"": 0.000576, ""backup_lr"": 0.0036, ""checkpoint_every"": 128, ""device_batch_size"": 8, ""global_batch_size"": 512, ""matrix_lr"": 0.01, ""num_iterations"": 6200, ""sequence_length"": 1024, ""val_every"": 100, ""val_tokens"": 10485760, ""warmdown_iters"": 1800}"
20260723T025322+0000_formal_seed2026: pinned 1B architecture,PASS,critical,"{""expected_backup_tensors"": 38, ""expected_matrix_tensors"": 126, ""expected_parameter_count"": 1013690368, ""expected_preconditioner_groups"": {""adamw"": 0, ""down_diag"": 72, ""down_none"": 54, ""muon"": 0, ""newton_full"": 72}, ""intermediate_size"": 5504, ""n_embd"": 2048, ""n_head"": 16, ""n_layer"": 18, ""name"": ""llama_swiglu_1b_v1""}"
seed2026 down_diag: method result completed/uploaded,PASS,critical,"{""mode"": ""online"", ""project"": ""Selective-Newton-Muon-MainConf-LLaMA-SwiGLU-1B-Formal-20260721"", ""run_id"": ""433cb1e3ee1fd6f5"", ""run_name"": ""llama_swiglu_down_diag_seed2026"", ""status"": ""uploaded"", ""uploaded_at"": ""2026-07-24T07:03:45.065863+00:00""}"
seed2026 down_none: method result completed/uploaded,PASS,critical,"{""mode"": ""online"", ""project"": ""Selective-Newton-Muon-MainConf-LLaMA-SwiGLU-1B-Formal-20260721"", ""run_id"": ""4b32f442518b130f"", ""run_name"": ""llama_swiglu_down_none_seed2026"", ""status"": ""uploaded"", ""uploaded_at"": ""2026-07-23T17:01:58.506936+00:00""}"
20260723T025322+0000_formal_seed2026: completed formal manifest,PASS,critical,status=completed stage=formal failed={}
20260723T025322+0000_formal_seed2026: W&B completed and timing ineligible,PASS,critical,wandb_complete=True timing_eligible=False
20260723T025322+0000_formal_seed2026: frozen formal config,PASS,critical,"{""adamw_matrix_lr"": 0.000576, ""backup_lr"": 0.0036, ""checkpoint_every"": 128, ""device_batch_size"": 8, ""global_batch_size"": 512, ""matrix_lr"": 0.01, ""num_iterations"": 6200, ""sequence_length"": 1024, ""val_every"": 100, ""val_tokens"": 10485760, ""warmdown_iters"": 1800}"
20260723T025322+0000_formal_seed2026: pinned 1B architecture,PASS,critical,"{""expected_backup_tensors"": 38, ""expected_matrix_tensors"": 126, ""expected_parameter_count"": 1013690368, ""expected_preconditioner_groups"": {""adamw"": 0, ""down_diag"": 72, ""down_none"": 54, ""muon"": 0, ""newton_full"": 72}, ""intermediate_size"": 5504, ""n_embd"": 2048, ""n_head"": 16, ""n_layer"": 18, ""name"": ""llama_swiglu_1b_v1""}"
seed2026 muon: method result completed/uploaded,PASS,critical,"{""mode"": ""online"", ""project"": ""Selective-Newton-Muon-MainConf-LLaMA-SwiGLU-1B-Formal-20260721"", ""run_id"": ""1fec6c3334443bf6"", ""run_name"": ""llama_swiglu_muon_seed2026"", ""status"": ""uploaded"", ""uploaded_at"": ""2026-07-24T07:25:16.149554+00:00""}"
seed2026 newton_full: method result completed/uploaded,PASS,critical,"{""mode"": ""online"", ""project"": ""Selective-Newton-Muon-MainConf-LLaMA-SwiGLU-1B-Formal-20260721"", ""run_id"": ""ad236ce3f10580b5"", ""run_name"": ""llama_swiglu_newton_full_seed2026"", ""status"": ""uploaded"", ""uploaded_at"": ""2026-07-23T17:41:41.480161+00:00""}"
seed2024: exact four-method certificate coverage,PASS,critical,"['down_diag', 'down_none', 'muon', 'newton_full']"
seed2025: exact four-method certificate coverage,PASS,critical,"['down_diag', 'down_none', 'muon', 'newton_full']"
seed2026: exact four-method certificate coverage,PASS,critical,"['down_diag', 'down_none', 'muon', 'newton_full']"
