seed,method,status,completed_steps,tokens_seen,resume_count,final_train_loss,final_val_loss,model_parameter_bytes,optimizer_state_bytes,k_state_bytes,k_cov_bytes,k_inv_bytes,activation_stat_bytes,preconditioner_workspace_bytes,peak_allocated_bytes,peak_allocated_mib,checkpoint_path,summary_sha256,metrics_sha256
2024,down_diag,completed,6200,3250585600,0,2.884832859,2.976336241,4054761472,6279501976,1812731904,906365952,906365952,906366240,61865984,30996866048,29560.9150390625,PRIVATE_PATH_REDACTED,512299fc4fe1c8036736a3cfd04451563ba4bcac390fdbe6c3ca716f57870869,9ae5275cc47c3bd0f0752a3782ce39cd290a2bcbf8bea58219e4c4df7c10a397
2024,down_none,completed,6200,3250585600,0,2.888063908,2.975529432,4054761472,6278709400,1811939328,905969664,905969664,905969880,61865984,30995667968,29559.7724609375,PRIVATE_PATH_REDACTED,7fd4befc9333b5ad34a63d049fdb361e10c2cc776779a60ad83592111fd707e0,f78dcf4b99ec1221cf026e3408ec420d87831ea0f6cc90f99186aed05101665f
2024,muon,completed,6200,3250585600,0,2.877129555,2.971026421,4054761472,4466770072,0,0,0,0,0,28213768192,26906.74609375,PRIVATE_PATH_REDACTED,e7cb88e9bedcc10826cf6713e2c7d59e66ebd3b6f69c88df481804c180ff608e,05f4d604681e5e064e49d7f93e7d49e2d2bc31fa81aa5fbb0f34ed96e65485a2
2024,newton_full,completed,6200,3250585600,0,2.885131359,2.976945162,4054761472,10641047704,6174277632,3087138816,3087138816,3087139104,106954752,37730156032,35982.28076171875,PRIVATE_PATH_REDACTED,9ffb997f79ab01faa01087dc35a77964fe37f8182bb225f775b811eb8607caf7,cc611b42c6f1f1a688f6c55a249091ba8cad3c913a5f2f79ffa7c7f21832623c
2025,down_diag,completed,6200,3250585600,0,2.89043808,2.975097418,4054761472,6279501976,1812731904,906365952,906365952,906366240,61865984,30996866048,29560.9150390625,PRIVATE_PATH_REDACTED,bdea202ce1166aa1bb2c660db62a5e9144730a6866cdf45c1cb1fbb5242dfdd1,0edc7ecb4ec59bbfcacc85ef4561b96fd6253fe4e8625f1b7efb9899e70d6c1d
2025,down_none,completed,6200,3250585600,0,2.88256526,2.973872423,4054761472,6278709400,1811939328,905969664,905969664,905969880,61865984,30995667968,29559.7724609375,PRIVATE_PATH_REDACTED,197e1cd94cfd2bf3044e88a449b13ab9a55a94e3f47b1de1300073034a984917,22102b6537213a91b2d0da56e28abc0a13788c8f6c48e7752a87d58320e0ef9f
2025,muon,completed,6200,3250585600,0,2.883423805,2.970222235,4054761472,4466770072,0,0,0,0,0,28213768192,26906.74609375,PRIVATE_PATH_REDACTED,ad02a5a1cdde790924d2b00207cb48330209fb8403a04a25349a8561cf109345,a92b9af1593de47dcb73ff98f7f0388bc408a6839d905b43b745eecff3768112
2025,newton_full,completed,6200,3250585600,0,2.880159378,2.976119041,4054761472,10641047704,6174277632,3087138816,3087138816,3087139104,106954752,37730156032,35982.28076171875,PRIVATE_PATH_REDACTED,bee0555ef54f08b70dfd59f3b2924d893db86001699c69d77739ecb3c70669d7,663b6b714d0ea790df1a0cb2b6ab2009fbfbf859528bb72a7e48f906db4bdbce
2026,down_diag,completed,6200,3250585600,0,2.885752201,2.975808859,4054761472,6279501976,1812731904,906365952,906365952,906366240,61865984,30996866048,29560.9150390625,PRIVATE_PATH_REDACTED,c94098fd933e48c22f341e6cd8c85de275f5ca030d3a57d4210df4f53c564c1b,5162170f31b18373e57c4677300c89070f143952b51b85c4f132e563ba2e779c
2026,down_none,completed,6200,3250585600,0,2.882314205,2.9743855,4054761472,6278709400,1811939328,905969664,905969664,905969880,61865984,30996716544,29560.7724609375,PRIVATE_PATH_REDACTED,65102d3bb6725c8a9c33fa471dfe6443af63d484dec75aa5e9b30efd87840dc3,149d085eb31fe6f8c6b3c045dee2d876e9fc34f6bccdeed685606d1dc948ab04
2026,muon,completed,6200,3250585600,0,2.88446188,2.969125986,4054761472,4466770072,0,0,0,0,0,28213768192,26906.74609375,PRIVATE_PATH_REDACTED,18998ada5d756d427d964e856bb8ec931fc0f803b9165e21847d6a048c0cc3b2,9a679f3d1905e126301cf3f8e1a16e7ecac4689258a2c7ec3c1a538728f1135c
2026,newton_full,completed,6200,3250585600,0,2.886394262,2.977070808,4054761472,10641047704,6174277632,3087138816,3087138816,3087139104,106954752,37728861696,35981.04638671875,PRIVATE_PATH_REDACTED,c72edef2fac4add4e121d7805b6f4fc8202edbd47e0e30f52aa5a1ce54a5e00a,0518f58b3d92843c4ad12af7da1251aae9368ced3cc279ed1ff5408e69b20579
