method,metric,eligible_seeds,n_seeds,mean,sample_sd,ci95_low_t_df3,ci95_high_t_df3,negative_seeds,positive_seeds,zero_seeds,complete
muon,final_val_loss,4,4,3.277772009372711,0.0029012103777996123,3.2731555362488707,3.2823884824965517,0,4,0,True
muon,normalized_auc,4,4,3.776392757628871,0.004143680405384878,3.7697992374306732,3.782986277827069,0,4,0,True
muon,tail5_mean,4,4,3.2970595479011537,0.002932813500984655,3.2923927871560057,3.301726308646302,0,4,0,True
muon,best_val_loss,4,4,3.277772009372711,0.0029012103777996123,3.2731555362488707,3.2823884824965517,0,4,0,True
muon,steps_to_target,4,4,1581.0221110533253,12.42746595381059,1561.24723949895,1600.7969826077006,0,4,0,True
muon,tokens_to_target,4,4,621683190.4199443,4886678.45249359,613907394.5268191,629458986.3130695,0,4,0,True
muon,peak_memory_allocated_bytes,4,4,35105599488.0,0.0,35105599488.0,35105599488.0,0,4,0,True
muon,peak_memory_reserved_bytes,4,4,51026853888.0,60236105.2165626,50931004802.75442,51122702973.24558,0,4,0,True
muon,k_state_bytes,4,4,0.0,0.0,0.0,0.0,0,0,4,True
muon,optimizer_state_bytes,4,4,1257508464.0,0.0,1257508464.0,1257508464.0,0,4,0,True
original_newton_muon,final_val_loss,4,4,3.274798631668091,0.0005867056725987499,3.273865052018065,3.2757322113181164,0,4,0,True
original_newton_muon,normalized_auc,4,4,3.761563496164164,0.002872152506861748,3.756993260597327,3.7661337317310015,0,4,0,True
original_newton_muon,tail5_mean,4,4,3.2935229897499085,0.0007071903655689803,3.29239769206689,3.2946482874329273,0,4,0,True
original_newton_muon,best_val_loss,4,4,3.274798631668091,0.0005867056725987499,3.273865052018065,3.2757322113181164,0,4,0,True
original_newton_muon,steps_to_target,4,4,1564.3998718997555,3.701042160943303,1558.5106879243579,1570.289055875153,0,4,0,True
original_newton_muon,tokens_to_target,4,4,615147060.0289342,1455308.9943574485,612831338.6628643,617462781.3950042,0,4,0,True
original_newton_muon,peak_memory_allocated_bytes,4,4,36570746368.0,0.0,36570746368.0,36570746368.0,0,4,0,True
original_newton_muon,peak_memory_reserved_bytes,4,4,52452917248.0,69290697.60524762,52342660285.7078,52563174210.2922,0,4,0,True
original_newton_muon,k_state_bytes,4,4,490733568.0,0.0,490733568.0,490733568.0,0,4,0,True
original_newton_muon,optimizer_state_bytes,4,4,2323910256.0,0.0,2323910256.0,2323910256.0,0,4,0,True
selective_none,final_val_loss,4,4,3.274724304676056,0.0016741754364607354,3.272060317959975,3.277388291392137,0,4,0,True
selective_none,normalized_auc,4,4,3.7680816926435736,0.0031453575650872943,3.7630767268626686,3.7730866584244787,0,4,0,True
selective_none,tail5_mean,4,4,3.293986141681671,0.0017192202662719566,3.291250478589488,3.2967218047738545,0,4,0,True
selective_none,best_val_loss,4,4,3.274724304676056,0.0016741754364607354,3.272060317959975,3.277388291392137,0,4,0,True
selective_none,steps_to_target,4,4,1567.4180984267875,7.643279708264323,1555.2559347928775,1579.5802620606976,0,4,0,True
selective_none,tokens_to_target,4,4,616333874.9909877,3005459.8737648516,611551517.6555161,621116232.3264592,0,4,0,True
selective_none,peak_memory_allocated_bytes,4,4,35881825792.0,0.0,35881825792.0,35881825792.0,0,4,0,True
selective_none,peak_memory_reserved_bytes,4,4,51755614208.0,74638186.70134656,51636848197.24959,51874380218.75041,0,4,0,True
selective_none,k_state_bytes,4,4,264241152.0,0.0,264241152.0,264241152.0,0,4,0,True
selective_none,optimizer_state_bytes,4,4,1870925424.0,0.0,1870925424.0,1870925424.0,0,4,0,True
selective_diag,final_val_loss,4,4,3.2749634981155396,0.0022320033576913234,3.271411882696006,3.278515113535073,0,4,0,True
selective_diag,normalized_auc,4,4,3.763216357930923,0.0031459551784499486,3.758210441213799,3.768222274648047,0,4,0,True
selective_diag,tail5_mean,4,4,3.29376277923584,0.002194039559854803,3.2902715726903864,3.2972539857812935,0,4,0,True
selective_diag,best_val_loss,4,4,3.2749634981155396,0.0022320033576913234,3.271411882696006,3.278515113535073,0,4,0,True
selective_diag,steps_to_target,4,4,1565.758863308438,9.81935690938215,1550.1340752501728,1581.3836513667034,0,4,0,True
selective_diag,tokens_to_target,4,4,615681437.1946908,3861128.2464796053,609537520.533572,621825353.8558097,0,4,0,True
selective_diag,peak_memory_allocated_bytes,4,4,35995520512.0,0.0,35995520512.0,35995520512.0,0,4,0,True
selective_diag,peak_memory_reserved_bytes,4,4,51923386368.0,72647476.30389373,51807788021.72422,52038984714.27578,0,4,0,True
selective_diag,k_state_bytes,4,4,264536064.0,0.0,264536064.0,264536064.0,0,4,0,True
selective_diag,optimizer_state_bytes,4,4,1984466544.0,0.0,1984466544.0,1984466544.0,0,4,0,True
