family,contrast,metric,candidate,comparator,eligible_seeds,n_seeds,mean,sample_sd,ci95_low_t_df2,ci95_high_t_df2,negative_seeds,positive_seeds,zero_seeds,practical_margin,classification,lower_is_better
primary,selective_none_vs_muon,final_val_loss,selective_none,muon,3,3,-0.0023349920908610025,0.0001728987360471592,-0.0027644963614058696,-0.0019054878203161355,3,0,0,0.002,direction_candidate_better_but_practically_unresolved,True
primary,selective_none_vs_muon,normalized_auc,selective_none,muon,3,3,-0.006438420556268938,0.0002914128499823699,-0.0071623302066260094,-0.005714510905911867,3,0,0,,secondary_metric_no_practical_margin,True
primary,selective_none_vs_muon,tail5_mean,selective_none,muon,3,3,-0.0024227301279703775,0.00018750703370436493,-0.002888523421631348,-0.001956936834309407,3,0,0,,secondary_metric_no_practical_margin,True
primary,selective_none_vs_muon,best_val_loss,selective_none,muon,3,3,-0.0023349920908610025,0.0001728987360471592,-0.0027644963614058696,-0.0019054878203161355,3,0,0,,secondary_metric_no_practical_margin,True
primary,selective_none_vs_muon,steps_to_target,selective_none,muon,3,3,-42.78343340913367,3.5722425699776914,-51.6573758930689,-33.90949092519844,3,0,0,,secondary_metric_no_practical_margin,True
primary,selective_none_vs_muon,tokens_to_target,selective_none,muon,3,3,-22430840.735207874,1872883.9125284639,-27083342.29222531,-17778339.17819044,3,0,0,,secondary_metric_no_practical_margin,True
primary,selective_none_vs_original,final_val_loss,selective_none,original_newton_muon,3,3,-0.0008208751678466797,0.0004360982786065908,-0.0019042033478034555,0.0002624530121100961,3,0,0,0.002,quality_equivalent_within_margin,True
primary,selective_none_vs_original,normalized_auc,selective_none,original_newton_muon,3,3,0.0033239203211444432,7.269216183951248e-05,0.003143342980563461,0.0035044976617254254,0,3,0,,secondary_metric_no_practical_margin,True
primary,selective_none_vs_original,tail5_mean,selective_none,original_newton_muon,3,3,-0.0004926363627114997,0.0003445969762003193,-0.0013486627066780369,0.0003633899812550375,3,0,0,,secondary_metric_no_practical_margin,True
primary,selective_none_vs_original,best_val_loss,selective_none,original_newton_muon,3,3,-0.0008208751678466797,0.0004360982786065908,-0.0019042033478034555,0.0002624530121100961,3,0,0,,secondary_metric_no_practical_margin,True
primary,selective_none_vs_original,steps_to_target,selective_none,original_newton_muon,3,3,8.585035263837502,1.8813040118628257,3.9116170205261103,13.258453507148895,0,3,0,,secondary_metric_no_practical_margin,True
primary,selective_none_vs_original,tokens_to_target,selective_none,original_newton_muon,3,3,4501030.9684068365,986345.1177715372,2050813.8644575933,6951248.07235608,0,3,0,,secondary_metric_no_practical_margin,True
primary,selective_diag_vs_muon,final_val_loss,selective_diag,muon,3,3,-0.000900427500406901,0.00027435186861993655,-0.0015819553235604882,-0.00021889967725331391,3,0,0,0.002,quality_equivalent_within_margin,True
primary,selective_diag_vs_muon,normalized_auc,selective_diag,muon,3,3,-0.009650212206296397,0.0006405146953482329,-0.011241338916001055,-0.008059085496591739,3,0,0,,secondary_metric_no_practical_margin,True
primary,selective_diag_vs_muon,tail5_mean,selective_diag,muon,3,3,-0.001303815841674864,0.00031386228424700797,-0.0020834929782982798,-0.000524138705051448,3,0,0,,secondary_metric_no_practical_margin,True
primary,selective_diag_vs_muon,best_val_loss,selective_diag,muon,3,3,-0.000900427500406901,0.00027435186861993655,-0.0015819553235604882,-0.00021889967725331391,3,0,0,,secondary_metric_no_practical_margin,True
primary,selective_diag_vs_muon,steps_to_target,selective_diag,muon,3,3,-38.469726864129676,7.989175285337656,-58.31593847696702,-18.623515251292332,3,0,0,,secondary_metric_no_practical_margin,True
primary,selective_diag_vs_muon,tokens_to_target,selective_diag,muon,3,3,-20169216.15814082,4188628.731999109,-30574346.752212085,-9764085.564069554,3,0,0,,secondary_metric_no_practical_margin,True
primary,selective_diag_vs_original,final_val_loss,selective_diag,original_newton_muon,3,3,0.0006136894226074219,0.000755854469732148,-0.0012639571703198691,0.0024913360155347127,1,2,0,0.002,direction_candidate_worse_but_practically_unresolved,True
primary,selective_diag_vs_original,normalized_auc,selective_diag,original_newton_muon,3,3,0.00011212867111698444,0.000444701694486093,-0.0009925715786767383,0.0012168289209107072,1,2,0,,secondary_metric_no_practical_margin,True
primary,selective_diag_vs_original,tail5_mean,selective_diag,original_newton_muon,3,3,0.000626277923584014,0.0007472894929248342,-0.001230092087455162,0.00248264793462319,1,2,0,,secondary_metric_no_practical_margin,True
primary,selective_diag_vs_original,best_val_loss,selective_diag,original_newton_muon,3,3,0.0006136894226074219,0.000755854469732148,-0.0012639571703198691,0.0024913360155347127,1,2,0,,secondary_metric_no_practical_margin,True
primary,selective_diag_vs_original,steps_to_target,selective_diag,original_newton_muon,3,3,12.898741808841502,11.692832536618932,-16.147864453647237,41.94534807133024,0,3,0,,secondary_metric_no_practical_margin,True
primary,selective_diag_vs_original,tokens_to_target,selective_diag,original_newton_muon,3,3,6762655.545473893,6130411.784958866,-8466131.558673803,21991442.649621587,0,3,0,,secondary_metric_no_practical_margin,True
benchmark_anchor,original_vs_muon,final_val_loss,original_newton_muon,muon,3,3,-0.001514116923014323,0.0006085051389712831,-0.003025727486583611,-2.506359445034927e-06,3,0,0,0.002,direction_candidate_better_but_practically_unresolved,True
benchmark_anchor,original_vs_muon,normalized_auc,original_newton_muon,muon,3,3,-0.009762340877413381,0.00021992351963348098,-0.010308661186256321,-0.00921602056857044,3,0,0,,secondary_metric_no_practical_margin,True
benchmark_anchor,original_vs_muon,tail5_mean,original_newton_muon,muon,3,3,-0.0019300937652588779,0.0005252330302018789,-0.003234844943089334,-0.0006253425874284217,3,0,0,,secondary_metric_no_practical_margin,True
benchmark_anchor,original_vs_muon,best_val_loss,original_newton_muon,muon,3,3,-0.001514116923014323,0.0006085051389712831,-0.003025727486583611,-2.506359445034927e-06,3,0,0,,secondary_metric_no_practical_margin,True
benchmark_anchor,original_vs_muon,steps_to_target,original_newton_muon,muon,3,3,-51.368468672971176,4.958705276777172,-63.68657545293196,-39.05036189301039,3,0,0,,secondary_metric_no_practical_margin,True
benchmark_anchor,original_vs_muon,tokens_to_target,original_newton_muon,muon,3,3,-26931871.70361471,2599789.67215095,-33390107.271066792,-20473636.13616263,3,0,0,,secondary_metric_no_practical_margin,True
secondary_selective,diag_vs_none,final_val_loss,selective_diag,selective_none,3,3,0.0014345645904541016,0.00038266568167095115,0.0004839703395868951,0.002385158841321308,0,3,0,0.002,direction_candidate_worse_but_practically_unresolved,True
secondary_selective,diag_vs_none,normalized_auc,selective_diag,selective_none,3,3,-0.003211791650027459,0.00039663009663719,-0.004197075430736134,-0.002226507869318783,3,0,0,,secondary_metric_no_practical_margin,True
secondary_selective,diag_vs_none,tail5_mean,selective_diag,selective_none,3,3,0.0011189142862955137,0.00046796720561186826,-4.358069707106763e-05,0.002281409269662095,0,3,0,,secondary_metric_no_practical_margin,True
secondary_selective,diag_vs_none,best_val_loss,selective_diag,selective_none,3,3,0.0014345645904541016,0.00038266568167095115,0.0004839703395868951,0.002385158841321308,0,3,0,,secondary_metric_no_practical_margin,True
secondary_selective,diag_vs_none,steps_to_target,selective_diag,selective_none,3,3,4.313706545004,11.104600022949858,-23.271649146946746,31.899062236954745,1,2,0,,secondary_metric_no_practical_margin,True
secondary_selective,diag_vs_none,tokens_to_target,selective_diag,selective_none,3,3,2261624.577067057,5822008.536832335,-12201046.387954416,16724295.54208853,1,2,0,,secondary_metric_no_practical_margin,True
