family,contrast,metric,seed,candidate,comparator,candidate_value,comparator_value,delta_candidate_minus_comparator,eligible
primary,selective_none_vs_muon,final_val_loss,2024,selective_none,muon,2.916889190673828,2.919156312942505,-0.002267122268676758,True
primary,selective_none_vs_muon,final_val_loss,2025,selective_none,muon,2.9173495769500732,2.919555902481079,-0.0022063255310058594,True
primary,selective_none_vs_muon,final_val_loss,2026,selective_none,muon,2.9181888103485107,2.920720338821411,-0.0025315284729003906,True
primary,selective_none_vs_muon,normalized_auc,2024,selective_none,muon,3.253629078000984,3.259968924342386,-0.006339846341401945,True
primary,selective_none_vs_muon,normalized_auc,2025,selective_none,muon,3.2538638405951876,3.260072919846381,-0.006209079251193295,True
primary,selective_none_vs_muon,normalized_auc,2026,selective_none,muon,3.2546847341644685,3.26145107024068,-0.0067663360762115765,True
primary,selective_none_vs_muon,tail5_mean,2024,selective_none,muon,2.9238071918487547,2.9262035369873045,-0.0023963451385498047,True
primary,selective_none_vs_muon,tail5_mean,2025,selective_none,muon,2.92427921295166,2.9265290260314942,-0.002249813079834073,True
primary,selective_none_vs_muon,tail5_mean,2026,selective_none,muon,2.9251183032989503,2.9277403354644775,-0.002622032165527255,True
primary,selective_none_vs_muon,best_val_loss,2024,selective_none,muon,2.916889190673828,2.919156312942505,-0.002267122268676758,True
primary,selective_none_vs_muon,best_val_loss,2025,selective_none,muon,2.9173495769500732,2.919555902481079,-0.0022063255310058594,True
primary,selective_none_vs_muon,best_val_loss,2026,selective_none,muon,2.9181888103485107,2.920720338821411,-0.0025315284729003906,True
primary,selective_none_vs_muon,steps_to_target,2024,selective_none,muon,5214.427448380372,5256.71197411003,-42.28452572965762,True
primary,selective_none_vs_muon,steps_to_target,2025,selective_none,muon,5224.077170313613,5263.56404073733,-39.48687042371694,True
primary,selective_none_vs_muon,steps_to_target,2026,selective_none,muon,5238.276293170805,5284.855197244831,-46.57890407402647,True
primary,selective_none_vs_muon,tokens_to_target,2024,selective_none,muon,2733861738.0564485,2756031007.482199,-22169269.425750732,True
primary,selective_none_vs_muon,tokens_to_target,2025,selective_none,muon,2738920971.4693837,2759623463.7900934,-20702492.320709705,True
primary,selective_none_vs_muon,tokens_to_target,2026,selective_none,muon,2746365401.193935,2770786161.653098,-24420760.45916319,True
primary,selective_none_vs_original,final_val_loss,2024,selective_none,original_newton_muon,2.916889190673828,2.9179227352142334,-0.0010335445404052734,True
primary,selective_none_vs_original,final_val_loss,2025,selective_none,original_newton_muon,2.9173495769500732,2.918459415435791,-0.0011098384857177734,True
primary,selective_none_vs_original,final_val_loss,2026,selective_none,original_newton_muon,2.9181888103485107,2.9185080528259277,-0.0003192424774169922,True
primary,selective_none_vs_original,normalized_auc,2024,selective_none,original_newton_muon,3.253629078000984,3.2502935011714897,0.003335576829494258,True
primary,selective_none_vs_original,normalized_auc,2025,selective_none,original_newton_muon,3.2538638405951876,3.2504737607184673,0.0033900798767203533,True
primary,selective_none_vs_original,normalized_auc,2026,selective_none,original_newton_muon,3.2546847341644685,3.2514386299072497,0.003246104257218718,True
primary,selective_none_vs_original,tail5_mean,2024,selective_none,original_newton_muon,2.9238071918487547,2.924476146697998,-0.0006689548492433417,True
primary,selective_none_vs_original,tail5_mean,2025,selective_none,original_newton_muon,2.92427921295166,2.9249926090240477,-0.0007133960723875177,True
primary,selective_none_vs_original,tail5_mean,2026,selective_none,original_newton_muon,2.9251183032989503,2.925213861465454,-9.55581665036398e-05,True
primary,selective_none_vs_original,best_val_loss,2024,selective_none,original_newton_muon,2.916889190673828,2.9179227352142334,-0.0010335445404052734,True
primary,selective_none_vs_original,best_val_loss,2025,selective_none,original_newton_muon,2.9173495769500732,2.918459415435791,-0.0011098384857177734,True
primary,selective_none_vs_original,best_val_loss,2026,selective_none,original_newton_muon,2.9181888103485107,2.9185080528259277,-0.0003192424774169922,True
primary,selective_none_vs_original,steps_to_target,2024,selective_none,original_newton_muon,5214.427448380372,5207.70201203338,6.725436346991955,True
primary,selective_none_vs_original,steps_to_target,2025,selective_none,original_newton_muon,5224.077170313613,5215.534818848999,8.542351464614512,True
primary,selective_none_vs_original,steps_to_target,2026,selective_none,original_newton_muon,5238.276293170805,5227.788975190899,10.487317979906038,True
primary,selective_none_vs_original,tokens_to_target,2024,selective_none,original_newton_muon,2733861738.0564485,2730335672.4849567,3526065.5714917183,True
primary,selective_none_vs_original,tokens_to_target,2025,selective_none,original_newton_muon,2738920971.4693837,2734442319.104704,4478652.364679813,True
primary,selective_none_vs_original,tokens_to_target,2026,selective_none,original_newton_muon,2746365401.193935,2740867026.224886,5498374.969048977,True
primary,selective_diag_vs_muon,final_val_loss,2024,selective_diag,muon,2.9184772968292236,2.919156312942505,-0.00067901611328125,True
primary,selective_diag_vs_muon,final_val_loss,2025,selective_diag,muon,2.918348550796509,2.919555902481079,-0.0012073516845703125,True
primary,selective_diag_vs_muon,final_val_loss,2026,selective_diag,muon,2.919905424118042,2.920720338821411,-0.0008149147033691406,True
primary,selective_diag_vs_muon,normalized_auc,2024,selective_diag,muon,3.2508155516530044,3.259968924342386,-0.009153372689381545,True
primary,selective_diag_vs_muon,normalized_auc,2025,selective_diag,muon,3.25064875805538,3.260072919846381,-0.00942416179100114,True
primary,selective_diag_vs_muon,normalized_auc,2026,selective_diag,muon,3.2510779681021735,3.26145107024068,-0.010373102138506507,True
primary,selective_diag_vs_muon,tail5_mean,2024,selective_diag,muon,2.9251154899597167,2.9262035369873045,-0.0010880470275878018,True
primary,selective_diag_vs_muon,tail5_mean,2025,selective_diag,muon,2.92486515045166,2.9265290260314942,-0.001663875579834162,True
primary,selective_diag_vs_muon,tail5_mean,2026,selective_diag,muon,2.926580810546875,2.9277403354644775,-0.0011595249176026279,True
primary,selective_diag_vs_muon,best_val_loss,2024,selective_diag,muon,2.9184772968292236,2.919156312942505,-0.00067901611328125,True
primary,selective_diag_vs_muon,best_val_loss,2025,selective_diag,muon,2.918348550796509,2.919555902481079,-0.0012073516845703125,True
primary,selective_diag_vs_muon,best_val_loss,2026,selective_diag,muon,2.919905424118042,2.920720338821411,-0.0008149147033691406,True
primary,selective_diag_vs_muon,steps_to_target,2024,selective_diag,muon,5222.588581052072,5256.71197411003,-34.1233930579574,True
primary,selective_diag_vs_muon,steps_to_target,2025,selective_diag,muon,5215.8742356911325,5263.56404073733,-47.68980504619776,True
primary,selective_diag_vs_muon,steps_to_target,2026,selective_diag,muon,5251.259214756597,5284.855197244831,-33.59598248823386,True
primary,selective_diag_vs_muon,tokens_to_target,2024,selective_diag,muon,2738140521.982629,2756031007.482199,-17890485.49957037,True
primary,selective_diag_vs_muon,tokens_to_target,2025,selective_diag,muon,2734620271.2820325,2759623463.7900934,-25003192.508060932,True
primary,selective_diag_vs_muon,tokens_to_target,2026,selective_diag,muon,2753172191.186307,2770786161.653098,-17613970.466791153,True
primary,selective_diag_vs_original,final_val_loss,2024,selective_diag,original_newton_muon,2.9184772968292236,2.9179227352142334,0.0005545616149902344,True
primary,selective_diag_vs_original,final_val_loss,2025,selective_diag,original_newton_muon,2.918348550796509,2.918459415435791,-0.00011086463928222656,True
primary,selective_diag_vs_original,final_val_loss,2026,selective_diag,original_newton_muon,2.919905424118042,2.9185080528259277,0.0013973712921142578,True
primary,selective_diag_vs_original,normalized_auc,2024,selective_diag,original_newton_muon,3.2508155516530044,3.2502935011714897,0.0005220504815146576,True
primary,selective_diag_vs_original,normalized_auc,2025,selective_diag,original_newton_muon,3.25064875805538,3.2504737607184673,0.00017499733691250796,True
primary,selective_diag_vs_original,normalized_auc,2026,selective_diag,original_newton_muon,3.2510779681021735,3.2514386299072497,-0.00036066180507621226,True
primary,selective_diag_vs_original,tail5_mean,2024,selective_diag,original_newton_muon,2.9251154899597167,2.924476146697998,0.0006393432617186612,True
primary,selective_diag_vs_original,tail5_mean,2025,selective_diag,original_newton_muon,2.92486515045166,2.9249926090240477,-0.0001274585723876065,True
primary,selective_diag_vs_original,tail5_mean,2026,selective_diag,original_newton_muon,2.926580810546875,2.925213861465454,0.0013669490814209873,True
primary,selective_diag_vs_original,best_val_loss,2024,selective_diag,original_newton_muon,2.9184772968292236,2.9179227352142334,0.0005545616149902344,True
primary,selective_diag_vs_original,best_val_loss,2025,selective_diag,original_newton_muon,2.918348550796509,2.918459415435791,-0.00011086463928222656,True
primary,selective_diag_vs_original,best_val_loss,2026,selective_diag,original_newton_muon,2.919905424118042,2.9185080528259277,0.0013973712921142578,True
primary,selective_diag_vs_original,steps_to_target,2024,selective_diag,original_newton_muon,5222.588581052072,5207.70201203338,14.886569018692171,True
primary,selective_diag_vs_original,steps_to_target,2025,selective_diag,original_newton_muon,5215.8742356911325,5215.534818848999,0.33941684213368717,True
primary,selective_diag_vs_original,steps_to_target,2026,selective_diag,original_newton_muon,5251.259214756597,5227.788975190899,23.470239565698648,True
primary,selective_diag_vs_original,tokens_to_target,2024,selective_diag,original_newton_muon,2738140521.982629,2730335672.4849567,7804849.497672081,True
primary,selective_diag_vs_original,tokens_to_target,2025,selective_diag,original_newton_muon,2734620271.2820325,2734442319.104704,177952.17732858658,True
primary,selective_diag_vs_original,tokens_to_target,2026,selective_diag,original_newton_muon,2753172191.186307,2740867026.224886,12305164.961421013,True
benchmark_anchor,original_vs_muon,final_val_loss,2024,original_newton_muon,muon,2.9179227352142334,2.919156312942505,-0.0012335777282714844,True
benchmark_anchor,original_vs_muon,final_val_loss,2025,original_newton_muon,muon,2.918459415435791,2.919555902481079,-0.001096487045288086,True
benchmark_anchor,original_vs_muon,final_val_loss,2026,original_newton_muon,muon,2.9185080528259277,2.920720338821411,-0.0022122859954833984,True
benchmark_anchor,original_vs_muon,normalized_auc,2024,original_newton_muon,muon,3.2502935011714897,3.259968924342386,-0.009675423170896202,True
benchmark_anchor,original_vs_muon,normalized_auc,2025,original_newton_muon,muon,3.2504737607184673,3.260072919846381,-0.009599159127913648,True
benchmark_anchor,original_vs_muon,normalized_auc,2026,original_newton_muon,muon,3.2514386299072497,3.26145107024068,-0.010012440333430295,True
benchmark_anchor,original_vs_muon,tail5_mean,2024,original_newton_muon,muon,2.924476146697998,2.9262035369873045,-0.001727390289306463,True
benchmark_anchor,original_vs_muon,tail5_mean,2025,original_newton_muon,muon,2.9249926090240477,2.9265290260314942,-0.0015364170074465555,True
benchmark_anchor,original_vs_muon,tail5_mean,2026,original_newton_muon,muon,2.925213861465454,2.9277403354644775,-0.002526473999023615,True
benchmark_anchor,original_vs_muon,best_val_loss,2024,original_newton_muon,muon,2.9179227352142334,2.919156312942505,-0.0012335777282714844,True
benchmark_anchor,original_vs_muon,best_val_loss,2025,original_newton_muon,muon,2.918459415435791,2.919555902481079,-0.001096487045288086,True
benchmark_anchor,original_vs_muon,best_val_loss,2026,original_newton_muon,muon,2.9185080528259277,2.920720338821411,-0.0022122859954833984,True
benchmark_anchor,original_vs_muon,steps_to_target,2024,original_newton_muon,muon,5207.70201203338,5256.71197411003,-49.00996207664957,True
benchmark_anchor,original_vs_muon,steps_to_target,2025,original_newton_muon,muon,5215.534818848999,5263.56404073733,-48.02922188833145,True
benchmark_anchor,original_vs_muon,steps_to_target,2026,original_newton_muon,muon,5227.788975190899,5284.855197244831,-57.066222053932506,True
benchmark_anchor,original_vs_muon,tokens_to_target,2024,original_newton_muon,muon,2730335672.4849567,2756031007.482199,-25695334.99724245,True
benchmark_anchor,original_vs_muon,tokens_to_target,2025,original_newton_muon,muon,2734442319.104704,2759623463.7900934,-25181144.68538952,True
benchmark_anchor,original_vs_muon,tokens_to_target,2026,original_newton_muon,muon,2740867026.224886,2770786161.653098,-29919135.428212166,True
secondary_selective,diag_vs_none,final_val_loss,2024,selective_diag,selective_none,2.9184772968292236,2.916889190673828,0.0015881061553955078,True
secondary_selective,diag_vs_none,final_val_loss,2025,selective_diag,selective_none,2.918348550796509,2.9173495769500732,0.0009989738464355469,True
secondary_selective,diag_vs_none,final_val_loss,2026,selective_diag,selective_none,2.919905424118042,2.9181888103485107,0.00171661376953125,True
secondary_selective,diag_vs_none,normalized_auc,2024,selective_diag,selective_none,3.2508155516530044,3.253629078000984,-0.0028135263479796002,True
secondary_selective,diag_vs_none,normalized_auc,2025,selective_diag,selective_none,3.25064875805538,3.2538638405951876,-0.0032150825398078453,True
secondary_selective,diag_vs_none,normalized_auc,2026,selective_diag,selective_none,3.2510779681021735,3.2546847341644685,-0.0036067660622949305,True
secondary_selective,diag_vs_none,tail5_mean,2024,selective_diag,selective_none,2.9251154899597167,2.9238071918487547,0.0013082981109620029,True
