seed,method,cproj_k_mode,initial_val_loss,final_val_loss,best_val_loss,tail5_mean,normalized_auc,steps_to_target,tokens_to_target,first_observed_step_at_or_below_target,validation_rows,peak_memory_allocated_bytes,peak_memory_reserved_bytes,peak_memory_scope,k_state_bytes,optimizer_state_bytes,timing_eligible,contract_sha256,source_snapshot_sha256,derived_source_sha256,data_fingerprint_sha256,init_sha256,accepted_pointer,accepted_attempt,scientific_manifest
2024,muon,not_applicable,10.825837135314941,2.919156312942505,2.919156312942505,2.9262035369873045,3.259968924342386,5256.71197411003,2756031007.482199,5375,49,55271687168,57120129024,counted_run_after_warmup_reset_including_validation,0,2418295448,False,ebdec2e0196fcdf9b42fae7373f75f7f25d02e42daf4062f75075ce49f47dfef,994d9ea082f5bd7d21afc0e53f66cf03c0d091d44d23a53dd5f3fd48d2d47b7b,926b2e21d022a8867bc263b9470819cf30a4df2dd45c7b82c11412f7f729df6a,1202c308d21ea690c17b958b98cbe40c65969a21928230950401f777adda8c68,477c6d0a2e608c9ce854034f35b5f12d25b91879eeec5906b152e759120656ec,PRIVATE_PATH_REDACTED,PRIVATE_PATH_REDACTED,PRIVATE_PATH_REDACTED
2024,original_newton_muon,block4,10.825837135314941,2.9179227352142334,2.9179227352142334,2.924476146697998,3.2502935011714897,5207.70201203338,2730335672.4849567,5250,49,58748796928,60559458304,counted_run_after_warmup_reset_including_validation,1174405120,4968432280,False,ebdec2e0196fcdf9b42fae7373f75f7f25d02e42daf4062f75075ce49f47dfef,994d9ea082f5bd7d21afc0e53f66cf03c0d091d44d23a53dd5f3fd48d2d47b7b,926b2e21d022a8867bc263b9470819cf30a4df2dd45c7b82c11412f7f729df6a,1202c308d21ea690c17b958b98cbe40c65969a21928230950401f777adda8c68,477c6d0a2e608c9ce854034f35b5f12d25b91879eeec5906b152e759120656ec,PRIVATE_PATH_REDACTED,PRIVATE_PATH_REDACTED,PRIVATE_PATH_REDACTED
2024,selective_none,none,10.825837135314941,2.916889190673828,2.916889190673828,2.9238071918487547,3.253629078000984,5214.427448380372,2733861738.0564485,5250,49,57138176000,58944651264,counted_run_after_warmup_reset_including_validation,637534208,3894690456,False,ebdec2e0196fcdf9b42fae7373f75f7f25d02e42daf4062f75075ce49f47dfef,994d9ea082f5bd7d21afc0e53f66cf03c0d091d44d23a53dd5f3fd48d2d47b7b,926b2e21d022a8867bc263b9470819cf30a4df2dd45c7b82c11412f7f729df6a,1202c308d21ea690c17b958b98cbe40c65969a21928230950401f777adda8c68,477c6d0a2e608c9ce854034f35b5f12d25b91879eeec5906b152e759120656ec,PRIVATE_PATH_REDACTED,PRIVATE_PATH_REDACTED,PRIVATE_PATH_REDACTED
2024,selective_diag,diag,10.825837135314941,2.9184772968292236,2.9184772968292236,2.9251154899597167,3.2508155516530044,5222.588581052072,2738140521.982629,5250,49,57407406080,59217281024,counted_run_after_warmup_reset_including_validation,638058496,4163650200,False,ebdec2e0196fcdf9b42fae7373f75f7f25d02e42daf4062f75075ce49f47dfef,994d9ea082f5bd7d21afc0e53f66cf03c0d091d44d23a53dd5f3fd48d2d47b7b,926b2e21d022a8867bc263b9470819cf30a4df2dd45c7b82c11412f7f729df6a,1202c308d21ea690c17b958b98cbe40c65969a21928230950401f777adda8c68,477c6d0a2e608c9ce854034f35b5f12d25b91879eeec5906b152e759120656ec,PRIVATE_PATH_REDACTED,PRIVATE_PATH_REDACTED,PRIVATE_PATH_REDACTED
2025,muon,not_applicable,10.825837135314941,2.919555902481079,2.919555902481079,2.9265290260314942,3.260072919846381,5263.56404073733,2759623463.7900934,5375,49,55271687168,57078185984,counted_run_after_warmup_reset_including_validation,0,2418295448,False,ebdec2e0196fcdf9b42fae7373f75f7f25d02e42daf4062f75075ce49f47dfef,994d9ea082f5bd7d21afc0e53f66cf03c0d091d44d23a53dd5f3fd48d2d47b7b,926b2e21d022a8867bc263b9470819cf30a4df2dd45c7b82c11412f7f729df6a,1202c308d21ea690c17b958b98cbe40c65969a21928230950401f777adda8c68,733d867e403a9497a242b190a6f49f2a5d6570f4257a6bad688fdb4b9b9eaf02,PRIVATE_PATH_REDACTED,PRIVATE_PATH_REDACTED,PRIVATE_PATH_REDACTED
2025,original_newton_muon,block4,10.825837135314941,2.918459415435791,2.918459415435791,2.9249926090240477,3.2504737607184673,5215.534818848999,2734442319.104704,5250,49,58748796928,60538486784,counted_run_after_warmup_reset_including_validation,1174405120,4968432280,False,ebdec2e0196fcdf9b42fae7373f75f7f25d02e42daf4062f75075ce49f47dfef,994d9ea082f5bd7d21afc0e53f66cf03c0d091d44d23a53dd5f3fd48d2d47b7b,926b2e21d022a8867bc263b9470819cf30a4df2dd45c7b82c11412f7f729df6a,1202c308d21ea690c17b958b98cbe40c65969a21928230950401f777adda8c68,733d867e403a9497a242b190a6f49f2a5d6570f4257a6bad688fdb4b9b9eaf02,PRIVATE_PATH_REDACTED,PRIVATE_PATH_REDACTED,PRIVATE_PATH_REDACTED
2025,selective_none,none,10.825837135314941,2.9173495769500732,2.9173495769500732,2.92427921295166,3.2538638405951876,5224.077170313613,2738920971.4693837,5250,49,57138176000,58986594304,counted_run_after_warmup_reset_including_validation,637534208,3894690456,False,ebdec2e0196fcdf9b42fae7373f75f7f25d02e42daf4062f75075ce49f47dfef,994d9ea082f5bd7d21afc0e53f66cf03c0d091d44d23a53dd5f3fd48d2d47b7b,926b2e21d022a8867bc263b9470819cf30a4df2dd45c7b82c11412f7f729df6a,1202c308d21ea690c17b958b98cbe40c65969a21928230950401f777adda8c68,733d867e403a9497a242b190a6f49f2a5d6570f4257a6bad688fdb4b9b9eaf02,PRIVATE_PATH_REDACTED,PRIVATE_PATH_REDACTED,PRIVATE_PATH_REDACTED
2025,selective_diag,diag,10.825837135314941,2.918348550796509,2.918348550796509,2.92486515045166,3.25064875805538,5215.8742356911325,2734620271.2820325,5250,49,57407406080,58231619584,counted_run_after_warmup_reset_including_validation,638058496,4163650200,False,ebdec2e0196fcdf9b42fae7373f75f7f25d02e42daf4062f75075ce49f47dfef,994d9ea082f5bd7d21afc0e53f66cf03c0d091d44d23a53dd5f3fd48d2d47b7b,926b2e21d022a8867bc263b9470819cf30a4df2dd45c7b82c11412f7f729df6a,1202c308d21ea690c17b958b98cbe40c65969a21928230950401f777adda8c68,733d867e403a9497a242b190a6f49f2a5d6570f4257a6bad688fdb4b9b9eaf02,PRIVATE_PATH_REDACTED,PRIVATE_PATH_REDACTED,PRIVATE_PATH_REDACTED
2026,muon,not_applicable,10.825837135314941,2.920720338821411,2.920720338821411,2.9277403354644775,3.26145107024068,5284.855197244831,2770786161.653098,5375,49,55271687168,57078185984,counted_run_after_warmup_reset_including_validation,0,2418295448,False,ebdec2e0196fcdf9b42fae7373f75f7f25d02e42daf4062f75075ce49f47dfef,994d9ea082f5bd7d21afc0e53f66cf03c0d091d44d23a53dd5f3fd48d2d47b7b,926b2e21d022a8867bc263b9470819cf30a4df2dd45c7b82c11412f7f729df6a,1202c308d21ea690c17b958b98cbe40c65969a21928230950401f777adda8c68,7bf1622ee183733a86871df8774cfd22f3c2c436c7141b10ae299442adace606,PRIVATE_PATH_REDACTED,PRIVATE_PATH_REDACTED,PRIVATE_PATH_REDACTED
2026,original_newton_muon,block4,10.825837135314941,2.9185080528259277,2.9185080528259277,2.925213861465454,3.2514386299072497,5227.788975190899,2740867026.224886,5250,49,58748796928,60559458304,counted_run_after_warmup_reset_including_validation,1174405120,4968432280,False,ebdec2e0196fcdf9b42fae7373f75f7f25d02e42daf4062f75075ce49f47dfef,994d9ea082f5bd7d21afc0e53f66cf03c0d091d44d23a53dd5f3fd48d2d47b7b,926b2e21d022a8867bc263b9470819cf30a4df2dd45c7b82c11412f7f729df6a,1202c308d21ea690c17b958b98cbe40c65969a21928230950401f777adda8c68,7bf1622ee183733a86871df8774cfd22f3c2c436c7141b10ae299442adace606,PRIVATE_PATH_REDACTED,PRIVATE_PATH_REDACTED,PRIVATE_PATH_REDACTED
2026,selective_none,none,10.825837135314941,2.9181888103485107,2.9181888103485107,2.9251183032989503,3.2546847341644685,5238.276293170805,2746365401.193935,5250,49,57138176000,57938018304,counted_run_after_warmup_reset_including_validation,637534208,3894690456,False,ebdec2e0196fcdf9b42fae7373f75f7f25d02e42daf4062f75075ce49f47dfef,994d9ea082f5bd7d21afc0e53f66cf03c0d091d44d23a53dd5f3fd48d2d47b7b,926b2e21d022a8867bc263b9470819cf30a4df2dd45c7b82c11412f7f729df6a,1202c308d21ea690c17b958b98cbe40c65969a21928230950401f777adda8c68,7bf1622ee183733a86871df8774cfd22f3c2c436c7141b10ae299442adace606,PRIVATE_PATH_REDACTED,PRIVATE_PATH_REDACTED,PRIVATE_PATH_REDACTED
