contrast,role,left,right,seed,delta_final_val_loss
selective_diag_minus_mousse,primary,diag,mousse,2024,-0.007000000000000117
selective_diag_minus_mousse,primary,diag,mousse,2025,-0.007899999999999796
selective_diag_minus_mousse,primary,diag,mousse,2026,-0.005899999999999572
selective_none_minus_mousse,primary,none,mousse,2024,-0.0013000000000000789
selective_none_minus_mousse,primary,none,mousse,2025,-0.0019000000000000128
selective_none_minus_mousse,primary,none,mousse,2026,-0.0008999999999996788
mousse_minus_muon,anchor,mousse,muon,2024,-0.009100000000000108
mousse_minus_muon,anchor,mousse,muon,2025,-0.009100000000000108
mousse_minus_muon,anchor,mousse,muon,2026,-0.009100000000000108
mousse_minus_original_newton_muon,anchor,mousse,block4,2024,0.005300000000000082
mousse_minus_original_newton_muon,anchor,mousse,block4,2025,0.006899999999999906
mousse_minus_original_newton_muon,anchor,mousse,block4,2026,0.005299999999999638
mousse_minus_moonlight,external_background,mousse,moonlight,2024,-0.007099999999999884
mousse_minus_moonlight,external_background,mousse,moonlight,2025,-0.007200000000000095
mousse_minus_moonlight,external_background,mousse,moonlight,2026,-0.006500000000000394
mousse_minus_normuon,external_background,mousse,normuon,2024,-0.06510000000000016
mousse_minus_normuon,external_background,mousse,normuon,2025,-0.06720000000000015
mousse_minus_normuon,external_background,mousse,normuon,2026,-0.06700000000000017
mousse_minus_adamw,external_background,mousse,adamw,2024,-0.1362000000000001
mousse_minus_adamw,external_background,mousse,adamw,2025,-0.13370000000000015
mousse_minus_adamw,external_background,mousse,adamw,2026,-0.1273000000000004
