budget_id,tokens_seen,tokens_per_parameter,method,n,final_val_loss_mean,final_val_loss_sample_sd,tail5_val_loss_mean,tail5_val_loss_sample_sd,normalized_val_auc_mean,normalized_val_auc_sample_sd
tokens_3p2506b,3250585600,3.206684903610,down_none,3,2.974235773,0.000164659,2.982379611,0.000176970,3.370080902,0.001170594
tokens_3p2506b,3250585600,3.206684903610,down_diag,3,2.976023992,0.000977406,2.984127124,0.000966204,3.370218395,0.001904188
tokens_3p2506b,3250585600,3.206684903610,newton_full,3,2.976155043,0.000382170,2.984219487,0.000396950,3.371561969,0.001296390
tokens_3p2506b,3250585600,3.206684903610,muon,3,2.969889482,0.000595217,2.978004090,0.000611872,3.371773084,0.001270165
tokens_6p9694b,6969360384,6.875235874787,down_none,3,2.862803141,0.000523015,2.868125328,0.000522688,3.164583124,0.000645837
tokens_6p9694b,6969360384,6.875235874787,down_diag,3,2.863701184,0.000626218,2.869000038,0.000626598,3.165036436,0.001142570
tokens_6p9694b,6969360384,6.875235874787,newton_full,3,2.864013592,0.000107127,2.869297886,0.000093782,3.166136289,0.000695133
tokens_6p9694b,6969360384,6.875235874787,muon,3,2.858798584,0.000555648,2.863981104,0.000572800,3.162451128,0.000915091
tokens_approximately_10b,9999745024,9.864693736539,down_none,3,2.817788998,0.000465328,2.821669849,0.000469116,3.085624084,0.000451601
tokens_approximately_10b,9999745024,9.864693736539,down_diag,3,2.818115552,0.001140907,2.821990156,0.001163864,3.086004424,0.000910848
tokens_approximately_10b,9999745024,9.864693736539,newton_full,3,2.818707546,0.000229580,2.822592974,0.000234592,3.087102491,0.000480553
tokens_approximately_10b,9999745024,9.864693736539,muon,3,2.814067841,0.000179305,2.817837524,0.000177909,3.082615831,0.000669795
