budget_id,target_step,tokens_seen,tokens_per_parameter,method,seed,final_val_loss,tail5_val_loss,normalized_val_auc,final_train_loss,resume_count_total,wrap_count,checkpoint_path,checkpoint_bytes,checkpoint_sha256
tokens_3p2506b,6200,3250585600,3.206684903610,down_none,2024,2.974418879,2.982581568,3.371017754,2.885790348,0,0,PRIVATE_PATH_REDACTED,11240334543,a33ca75bcf43b3cc0c462f7e9629f34f2d773bdd1c8f2dfc9d9ac5641ada74a9
tokens_6p9694b,13293,6969360384,6.875235874787,down_none,2024,2.863306522,2.868611193,3.165257288,2.766659498,0,0,PRIVATE_PATH_REDACTED,11240334543,6ee7a983d3be9f4851ec51593d752f7289a9d6e0de655fdb0bef9b3db39cb461
tokens_approximately_10b,19073,9999745024,9.864693736539,down_none,2024,2.818157911,2.822020674,3.086142086,2.944998980,0,0,PRIVATE_PATH_REDACTED,11240334543,f1631e58ac192a69ce7df0464d5fbc25b2af603c1ca9f783e22920e9ba136f4a
tokens_3p2506b,6200,3250585600,3.206684903610,down_none,2025,2.974188566,2.982305622,3.368768663,2.885077953,0,0,PRIVATE_PATH_REDACTED,11240334479,61fb2e7465c8c0bece5a1aa61f2ba7f1f5428450d04d9c0a19bf6373ebfb5182
tokens_6p9694b,13293,6969360384,6.875235874787,down_none,2025,2.862840414,2.868192482,3.163969939,2.763570786,0,0,PRIVATE_PATH_REDACTED,11240334479,465be4dee003640395f6d66c994bb983f70da6c0837f38251489c3b7d7078948
tokens_approximately_10b,19073,9999745024,9.864693736539,down_none,2025,2.817942858,2.821851874,3.085313135,2.943773270,0,0,PRIVATE_PATH_REDACTED,11240334479,db65f1c0e55ee00201d2e873724b6e555ac94967b1c01e57e0272eee7b2ea2d0
tokens_3p2506b,6200,3250585600,3.206684903610,down_none,2026,2.974099874,2.982251644,3.370456290,2.886159897,0,0,PRIVATE_PATH_REDACTED,11240334479,c89d224f1a3f08e44c93e47530590c3b5dfb9f90bb81e0728959e5c690bdfdc7
tokens_6p9694b,13293,6969360384,6.875235874787,down_none,2026,2.862262487,2.867572308,3.164522145,2.761367559,0,0,PRIVATE_PATH_REDACTED,11240334479,0688e110e0d81f0eb97535a251b12ab08702904732c16da2777ea7180181224d
tokens_approximately_10b,19073,9999745024,9.864693736539,down_none,2026,2.817266226,2.821136999,3.085417030,2.942157269,0,0,PRIVATE_PATH_REDACTED,11240334479,1f47534dbbdcd89fb3915e54fab9e498c9238aa3321743f792bab02e14fbf3f2
tokens_3p2506b,6200,3250585600,3.206684903610,down_diag,2024,2.977047443,2.985126162,3.371123075,2.885899544,0,0,PRIVATE_PATH_REDACTED,11241549919,a8390e184653bcd5de92e00b6c34e47b58b410b27863abd696463cdb84ebf3c8
tokens_6p9694b,13293,6969360384,6.875235874787,down_diag,2024,2.864422798,2.869720125,3.165859887,2.764769316,0,0,PRIVATE_PATH_REDACTED,11241549919,7ea119899c63f428840546bfeef1e357167deb0212b4ab48352cb207bfc1a32e
tokens_approximately_10b,19073,9999745024,9.864693736539,down_diag,2024,2.819347858,2.823244047,3.086860051,2.940485001,0,0,PRIVATE_PATH_REDACTED,11241549919,eb026631ec47118c0c59748e37e75391a263e7fdf2eaf2be239050306c33f33b
tokens_3p2506b,6200,3250585600,3.206684903610,down_diag,2025,2.975100279,2.983197498,3.368030515,2.884941101,0,0,PRIVATE_PATH_REDACTED,11241549919,f427935a1302ec9ce7c63bd8d43fef6e3032493c25c48c8536fc56b82cfc6833
tokens_6p9694b,13293,6969360384,6.875235874787,down_diag,2025,2.863380432,2.868701077,3.163732011,2.768157005,0,0,PRIVATE_PATH_REDACTED,11241549919,7fdd2712f73d99894c5e29970766d15d9ca8c9e75ce9bc572f611b90f6713cf3
tokens_approximately_10b,19073,9999745024,9.864693736539,down_diag,2025,2.817902803,2.821782016,3.085046921,2.942585230,0,0,PRIVATE_PATH_REDACTED,11241549919,13d3aa342f335d3827b2223dbebf88d632cf12bc09056171f23c217c4a1650cd
tokens_3p2506b,6200,3250585600,3.206684903610,down_diag,2026,2.975924253,2.984057712,3.371501594,2.882334232,0,0,PRIVATE_PATH_REDACTED,11241549919,fcf7cdd875c8603de2c8e6965e611d02e25ebfbc682fc0d79998e1748545c616
tokens_6p9694b,13293,6969360384,6.875235874787,down_diag,2026,2.863300323,2.868578911,3.165517410,2.760179520,0,0,PRIVATE_PATH_REDACTED,11241549919,bde7af764734934803936778413ff850c16104be36f977971f1935cc2b4556b3
tokens_approximately_10b,19073,9999745024,9.864693736539,down_diag,2026,2.817095995,2.820944405,3.086106301,2.949372292,0,0,PRIVATE_PATH_REDACTED,11241549919,f863f02d330f361ecb4513a9c35255d18dd2f4bf496075757b12ef6e451f53e9
