budget_id,contrast,left,right,seed2024,seed2025,seed2026,mean_difference,sample_sd,negative_seeds,positive_seeds,practical_margin
tokens_3p2506b,down_none-minus-muon,down_none,muon,0.003842116,0.004646778,0.004549980,0.004346291,0.000439303,0,3,0.002
tokens_3p2506b,down_diag-minus-muon,down_diag,muon,0.006470680,0.005558491,0.006374359,0.006134510,0.000501166,0,3,0.002
tokens_3p2506b,newton_full-minus-muon,newton_full,muon,0.005659580,0.006196976,0.006940127,0.006265561,0.000643023,0,3,0.002
tokens_3p2506b,down_none-minus-newton_full,down_none,newton_full,-0.001817464,-0.001550198,-0.002390147,-0.001919270,0.000429129,3,0,0.002
tokens_3p2506b,down_diag-minus-newton_full,down_diag,newton_full,0.000811100,-0.000638485,-0.000565768,-0.000131051,0.000816736,2,1,0.002
tokens_3p2506b,down_none-minus-down_diag,down_none,down_diag,-0.002628564,-0.000911713,-0.001824379,-0.001788219,0.000858997,3,0,0.002
tokens_6p9694b,down_none-minus-muon,down_none,muon,0.003867864,0.004323482,0.003822326,0.004004557,0.000277134,0,3,0.002
tokens_6p9694b,down_diag-minus-muon,down_diag,muon,0.004984140,0.004863500,0.004860162,0.004902601,0.000070635,0,3,0.002
tokens_6p9694b,newton_full-minus-muon,newton_full,muon,0.004693508,0.005467891,0.005483627,0.005215009,0.000451701,0,3,0.002
tokens_6p9694b,down_none-minus-newton_full,down_none,newton_full,-0.000825644,-0.001144409,-0.001661301,-0.001210451,0.000421725,3,0,0.002
tokens_6p9694b,down_diag-minus-newton_full,down_diag,newton_full,0.000290632,-0.000604391,-0.000623465,-0.000312408,0.000522335,2,1,0.002
tokens_6p9694b,down_none-minus-down_diag,down_none,down_diag,-0.001116276,-0.000540018,-0.001037836,-0.000898043,0.000312530,3,0,0.002
tokens_approximately_10b,down_none-minus-muon,down_none,muon,0.004063844,0.004065991,0.003033638,0.003721158,0.000595410,0,3,0.002
tokens_approximately_10b,down_diag-minus-muon,down_diag,muon,0.005253791,0.004025936,0.002863407,0.004047711,0.001195341,0,3,0.002
tokens_approximately_10b,newton_full-minus-muon,newton_full,muon,0.004485607,0.004693508,0.004740000,0.004639705,0.000135462,0,3,0.002
tokens_approximately_10b,down_none-minus-newton_full,down_none,newton_full,-0.000421763,-0.000627517,-0.001706362,-0.000918547,0.000689980,3,0,0.002
tokens_approximately_10b,down_diag-minus-newton_full,down_diag,newton_full,0.000768184,-0.000667572,-0.001876593,-0.000591994,0.001324007,2,1,0.002
tokens_approximately_10b,down_none-minus-down_diag,down_none,down_diag,-0.001189947,0.000040055,0.000170231,-0.000326554,0.000750548,1,2,0.002
