run_name,budget_id,method,seed,receipt_uploaded,lr/backup_expected_points,lr/backup_observed_points,lr/backup_matched_points,lr/backup_missing_points,lr/backup_unexpected_points,lr/backup_mismatched_points,lr/backup_endpoint_observed,lr/backup_endpoint_expected,lr/backup_endpoint_match,lr/matrix_expected_points,lr/matrix_observed_points,lr/matrix_matched_points,lr/matrix_missing_points,lr/matrix_unexpected_points,lr/matrix_mismatched_points,lr/matrix_endpoint_observed,lr/matrix_endpoint_expected,lr/matrix_endpoint_match,tokens/per_parameter_expected_points,tokens/per_parameter_observed_points,tokens/per_parameter_matched_points,tokens/per_parameter_missing_points,tokens/per_parameter_unexpected_points,tokens/per_parameter_mismatched_points,tokens/per_parameter_endpoint_observed,tokens/per_parameter_endpoint_expected,tokens/per_parameter_endpoint_match,tokens/seen_expected_points,tokens/seen_observed_points,tokens/seen_matched_points,tokens/seen_missing_points,tokens/seen_unexpected_points,tokens/seen_mismatched_points,tokens/seen_endpoint_observed,tokens/seen_endpoint_expected,tokens/seen_endpoint_match,train/loss_step_expected_points,train/loss_step_observed_points,train/loss_step_matched_points,train/loss_step_missing_points,train/loss_step_unexpected_points,train/loss_step_mismatched_points,train/loss_step_endpoint_observed,train/loss_step_endpoint_expected,train/loss_step_endpoint_match,val/loss_expected_points,val/loss_observed_points,val/loss_matched_points,val/loss_missing_points,val/loss_unexpected_points,val/loss_mismatched_points,val/loss_endpoint_observed,val/loss_endpoint_expected,val/loss_endpoint_match,all_endpoint_metrics_match,all_trajectory_points_match
ex48_tokens_3p2506b_down_diag_seed2024,tokens_3p2506b,down_diag,2024,true,311,311,311,0,0,0,2e-06,2e-06,true,311,311,311,0,0,0,5.55555555556e-06,5.55555555556e-06,true,311,311,311,0,0,0,3.20668490361,3.20668490361,true,311,311,311,0,0,0,3250585600,3250585600,true,310,310,310,0,0,0,2.885899544,2.885899544,true,63,63,63,0,0,0,2.977047443,2.977047443,true,true,true
ex48_tokens_3p2506b_down_diag_seed2025,tokens_3p2506b,down_diag,2025,true,311,311,311,0,0,0,2e-06,2e-06,true,311,311,311,0,0,0,5.55555555556e-06,5.55555555556e-06,true,311,311,311,0,0,0,3.20668490361,3.20668490361,true,311,311,311,0,0,0,3250585600,3250585600,true,310,310,310,0,0,0,2.884941101,2.884941101,true,63,63,63,0,0,0,2.975100279,2.975100279,true,true,true
ex48_tokens_3p2506b_down_diag_seed2026,tokens_3p2506b,down_diag,2026,true,311,311,311,0,0,0,2e-06,2e-06,true,311,311,311,0,0,0,5.55555555556e-06,5.55555555556e-06,true,311,311,311,0,0,0,3.20668490361,3.20668490361,true,311,311,311,0,0,0,3250585600,3250585600,true,310,310,310,0,0,0,2.882334232,2.882334232,true,63,63,63,0,0,0,2.975924253,2.975924253,true,true,true
ex48_tokens_3p2506b_down_none_seed2024,tokens_3p2506b,down_none,2024,true,311,311,311,0,0,0,2e-06,2e-06,true,311,311,311,0,0,0,5.55555555556e-06,5.55555555556e-06,true,311,311,311,0,0,0,3.20668490361,3.20668490361,true,311,311,311,0,0,0,3250585600,3250585600,true,310,310,310,0,0,0,2.885790348,2.885790348,true,63,63,63,0,0,0,2.974418879,2.974418879,true,true,true
ex48_tokens_3p2506b_down_none_seed2025,tokens_3p2506b,down_none,2025,true,311,311,311,0,0,0,2e-06,2e-06,true,311,311,311,0,0,0,5.55555555556e-06,5.55555555556e-06,true,311,311,311,0,0,0,3.20668490361,3.20668490361,true,311,311,311,0,0,0,3250585600,3250585600,true,310,310,310,0,0,0,2.885077953,2.885077953,true,63,63,63,0,0,0,2.974188566,2.974188566,true,true,true
ex48_tokens_3p2506b_down_none_seed2026,tokens_3p2506b,down_none,2026,true,311,311,311,0,0,0,2e-06,2e-06,true,311,311,311,0,0,0,5.55555555556e-06,5.55555555556e-06,true,311,311,311,0,0,0,3.20668490361,3.20668490361,true,311,311,311,0,0,0,3250585600,3250585600,true,310,310,310,0,0,0,2.886159897,2.886159897,true,63,63,63,0,0,0,2.974099874,2.974099874,true,true,true
ex48_tokens_3p2506b_muon_seed2024,tokens_3p2506b,muon,2024,true,311,311,311,0,0,0,2e-06,2e-06,true,311,311,311,0,0,0,5.55555555556e-06,5.55555555556e-06,true,311,311,311,0,0,0,3.20668490361,3.20668490361,true,311,311,311,0,0,0,3250585600,3250585600,true,310,310,310,0,0,0,2.875514507,2.875514507,true,63,63,63,0,0,0,2.970576763,2.970576763,true,true,true
ex48_tokens_3p2506b_muon_seed2025,tokens_3p2506b,muon,2025,true,311,311,311,0,0,0,2e-06,2e-06,true,311,311,311,0,0,0,5.55555555556e-06,5.55555555556e-06,true,311,311,311,0,0,0,3.20668490361,3.20668490361,true,311,311,311,0,0,0,3250585600,3250585600,true,310,310,310,0,0,0,2.870415211,2.870415211,true,63,63,63,0,0,0,2.969541788,2.969541788,true,true,true
ex48_tokens_3p2506b_muon_seed2026,tokens_3p2506b,muon,2026,true,311,311,311,0,0,0,2e-06,2e-06,true,311,311,311,0,0,0,5.55555555556e-06,5.55555555556e-06,true,311,311,311,0,0,0,3.20668490361,3.20668490361,true,311,311,311,0,0,0,3250585600,3250585600,true,310,310,310,0,0,0,2.894008875,2.894008875,true,63,63,63,0,0,0,2.969549894,2.969549894,true,true,true
ex48_tokens_3p2506b_newton_full_seed2024,tokens_3p2506b,newton_full,2024,true,311,311,311,0,0,0,2e-06,2e-06,true,311,311,311,0,0,0,5.55555555556e-06,5.55555555556e-06,true,311,311,311,0,0,0,3.20668490361,3.20668490361,true,311,311,311,0,0,0,3250585600,3250585600,true,310,310,310,0,0,0,2.888659477,2.888659477,true,63,63,63,0,0,0,2.976236343,2.976236343,true,true,true
