contrast,role,left,right,seed,delta_final_val_loss
malt_minus_muon,anchor,malt,muon,2024,-0.0045999999999999375
malt_minus_muon,anchor,malt,muon,2025,-0.0032999999999998586
malt_minus_muon,anchor,malt,muon,2026,-0.005300000000000082
malt_minus_original_newton_muon,anchor,malt,block4,2024,0.009800000000000253
malt_minus_original_newton_muon,anchor,malt,block4,2025,0.012700000000000156
malt_minus_original_newton_muon,anchor,malt,block4,2026,0.009099999999999664
malt_minus_selective_none,primary,malt,none,2024,0.005800000000000249
malt_minus_selective_none,primary,malt,none,2025,0.007700000000000262
malt_minus_selective_none,primary,malt,none,2026,0.004699999999999704
malt_minus_selective_diag,primary,malt,diag,2024,0.011500000000000288
malt_minus_selective_diag,primary,malt,diag,2025,0.013700000000000045
malt_minus_selective_diag,primary,malt,diag,2026,0.009699999999999598
malt_minus_mousse,external_curvature_baseline,malt,mousse,2024,0.0045000000000001705
malt_minus_mousse,external_curvature_baseline,malt,mousse,2025,0.005800000000000249
malt_minus_mousse,external_curvature_baseline,malt,mousse,2026,0.0038000000000000256
malter_eq17_minus_muon,anchor,malter_eq17,muon,2024,0.36519999999999975
malter_eq17_minus_muon,anchor,malter_eq17,muon,2025,0.37060000000000004
malter_eq17_minus_muon,anchor,malter_eq17,muon,2026,0.37060000000000004
malter_eq17_minus_original_newton_muon,anchor,malter_eq17,block4,2024,0.37959999999999994
malter_eq17_minus_original_newton_muon,anchor,malter_eq17,block4,2025,0.38660000000000005
malter_eq17_minus_original_newton_muon,anchor,malter_eq17,block4,2026,0.3849999999999998
malter_eq17_minus_selective_none,primary,malter_eq17,none,2024,0.37559999999999993
malter_eq17_minus_selective_none,primary,malter_eq17,none,2025,0.38160000000000016
malter_eq17_minus_selective_none,primary,malter_eq17,none,2026,0.3805999999999998
malter_eq17_minus_selective_diag,primary,malter_eq17,diag,2024,0.3813
malter_eq17_minus_selective_diag,primary,malter_eq17,diag,2025,0.38759999999999994
malter_eq17_minus_selective_diag,primary,malter_eq17,diag,2026,0.3855999999999997
malter_eq17_minus_mousse,external_curvature_baseline,malter_eq17,mousse,2024,0.37429999999999986
malter_eq17_minus_mousse,external_curvature_baseline,malter_eq17,mousse,2025,0.37970000000000015
malter_eq17_minus_mousse,external_curvature_baseline,malter_eq17,mousse,2026,0.37970000000000015
malt_minus_malter_eq17,family_internal,malt,malter_eq17,2024,-0.3697999999999997
malt_minus_malter_eq17,family_internal,malt,malter_eq17,2025,-0.3738999999999999
malt_minus_malter_eq17,family_internal,malt,malter_eq17,2026,-0.3759000000000001
