experiment,scale,method,seed,step,val_loss,local_match
50,r1_124m,global_diag,2024,0,10.946199999999999,true
50,r1_124m,global_diag,2024,100,5.3714000000000004,true
50,r1_124m,global_diag,2024,200,4.7241,true
50,r1_124m,global_diag,2024,300,4.3446999999999996,true
50,r1_124m,global_diag,2024,400,4.1059000000000001,true
50,r1_124m,global_diag,2024,500,3.9817999999999998,true
50,r1_124m,global_diag,2024,600,3.9016999999999999,true
50,r1_124m,global_diag,2024,700,3.8391000000000002,true
50,r1_124m,global_diag,2024,800,3.7938999999999998,true
50,r1_124m,global_diag,2024,900,3.7572999999999999,true
50,r1_124m,global_diag,2024,1000,3.7252000000000001,true
50,r1_124m,global_diag,2024,1100,3.6964999999999999,true
50,r1_124m,global_diag,2024,1200,3.6720000000000002,true
50,r1_124m,global_diag,2024,1300,3.6528999999999998,true
50,r1_124m,global_diag,2024,1400,3.6326000000000001,true
50,r1_124m,global_diag,2024,1500,3.6124999999999998,true
50,r1_124m,global_diag,2024,1600,3.5960000000000001,true
50,r1_124m,global_diag,2024,1700,3.5813000000000001,true
50,r1_124m,global_diag,2024,1800,3.5703,true
50,r1_124m,global_diag,2024,1900,3.5571000000000002,true
50,r1_124m,global_diag,2024,2000,3.5451999999999999,true
50,r1_124m,global_diag,2024,2100,3.5360999999999998,true
50,r1_124m,global_diag,2024,2200,3.5240999999999998,true
50,r1_124m,global_diag,2024,2300,3.5158,true
50,r1_124m,global_diag,2024,2400,3.5087000000000002,true
50,r1_124m,global_diag,2024,2500,3.5019,true
50,r1_124m,global_diag,2024,2600,3.4942000000000002,true
50,r1_124m,global_diag,2024,2700,3.4872000000000001,true
50,r1_124m,global_diag,2024,2800,3.4790000000000001,true
50,r1_124m,global_diag,2024,2900,3.4750000000000001,true
50,r1_124m,global_diag,2024,3000,3.4685999999999999,true
50,r1_124m,global_diag,2024,3100,3.4603000000000002,true
50,r1_124m,global_diag,2024,3200,3.4544999999999999,true
50,r1_124m,global_diag,2024,3300,3.4481000000000002,true
50,r1_124m,global_diag,2024,3400,3.4453999999999998,true
50,r1_124m,global_diag,2024,3500,3.4390999999999998,true
50,r1_124m,global_diag,2024,3600,3.4348000000000001,true
50,r1_124m,global_diag,2024,3700,3.4302999999999999,true
50,r1_124m,global_diag,2024,3800,3.4260000000000002,true
50,r1_124m,global_diag,2024,3900,3.4222999999999999,true
50,r1_124m,global_diag,2024,4000,3.4184000000000001,true
50,r1_124m,global_diag,2024,4100,3.4142000000000001,true
50,r1_124m,global_diag,2024,4200,3.4100999999999999,true
50,r1_124m,global_diag,2024,4300,3.4060000000000001,true
50,r1_124m,global_diag,2024,4400,3.4030999999999998,true
50,r1_124m,global_diag,2024,4500,3.3972000000000002,true
50,r1_124m,global_diag,2024,4600,3.3874,true
50,r1_124m,global_diag,2024,4700,3.3792,true
50,r1_124m,global_diag,2024,4800,3.3673999999999999,true
50,r1_124m,global_diag,2024,4900,3.3584000000000001,true
50,r1_124m,global_diag,2024,5000,3.3506,true
50,r1_124m,global_diag,2024,5100,3.3426,true
50,r1_124m,global_diag,2024,5200,3.3329,true
