experiment,scale,seed,run_label,metric,exported_points,expected_points,common_points,step_set_exact,values_match,max_abs_error,status,note
50,r1_124m,2026,global_diag_seed2026,lr/matrix,311,311,311,true,true,0,passed,
50,r1_124m,2024,global_diag_seed2024,lr/matrix,311,311,311,true,true,0,passed,
50,r1_124m,2025,global_diag_seed2025,lr/matrix,311,311,311,true,true,0,passed,
50,r1_124m,2026,global_diag_seed2026,lr/adamw,311,311,311,true,true,0,passed,
50,r1_124m,2024,global_diag_seed2024,lr/adamw,311,311,311,true,true,0,passed,
50,r1_124m,2025,global_diag_seed2025,lr/adamw,311,311,311,true,true,0,passed,
50,r1_124m,2026,global_diag_seed2026,memory/peak_allocated_mib,1,1,1,true,true,0,passed,
50,r1_124m,2024,global_diag_seed2024,memory/peak_allocated_mib,1,1,1,true,true,0,passed,
50,r1_124m,2025,global_diag_seed2025,memory/peak_allocated_mib,1,1,1,true,true,0,passed,
50,r1_124m,2026,global_diag_seed2026,memory/optimizer_state_mib,1,1,1,true,true,0,passed,
50,r1_124m,2024,global_diag_seed2024,memory/optimizer_state_mib,1,1,1,true,true,0,passed,
50,r1_124m,2025,global_diag_seed2025,memory/optimizer_state_mib,1,1,1,true,true,0,passed,
50,r1_124m,2026,global_diag_seed2026,memory/k_state_mib,1,1,1,true,true,0,passed,
50,r1_124m,2024,global_diag_seed2024,memory/k_state_mib,1,1,1,true,true,0,passed,
50,r1_124m,2025,global_diag_seed2025,memory/k_state_mib,1,1,1,true,true,0,passed,
50,r1_124m,2026,global_diag_seed2026,performance/step_avg_ms,309,309,309,true,true,0,passed,
50,r1_124m,2024,global_diag_seed2024,performance/step_avg_ms,309,309,309,true,true,0,passed,
50,r1_124m,2025,global_diag_seed2025,performance/step_avg_ms,309,309,309,true,true,0,passed,
50,r1_124m,2026,global_diag_seed2026,time/train_s,311,311,311,true,true,0,passed,
50,r1_124m,2024,global_diag_seed2024,time/train_s,311,311,311,true,true,0,passed,
50,r1_124m,2025,global_diag_seed2025,time/train_s,311,311,311,true,true,0,passed,
50,r1_124m,2026,global_diag_seed2026,train/loss_step,310,310,310,true,true,0,passed,
50,r1_124m,2024,global_diag_seed2024,train/loss_step,310,310,310,true,true,0,passed,
50,r1_124m,2025,global_diag_seed2025,train/loss_step,310,310,310,true,true,0,passed,
50,r1_124m,2026,global_diag_seed2026,val/loss,63,63,63,true,true,0,passed,
50,r1_124m,2024,global_diag_seed2024,val/loss,63,63,63,true,true,0,passed,
50,r1_124m,2025,global_diag_seed2025,val/loss,63,63,63,true,true,0,passed,
51,455m,2026,global_diag_455m_seed2026,diagnostic/train_time_ms,49,49,49,true,true,0,passed,
51,455m,2025,global_diag_455m_seed2025,diagnostic/train_time_ms,49,49,49,true,true,0,passed,
51,455m,2024,global_diag_455m_seed2024,diagnostic/train_time_ms,49,49,49,true,true,0,passed,
51,275m,2027,global_diag_275m_seed2027,diagnostic/train_time_ms,35,35,35,true,true,0,passed,
51,275m,2026,global_diag_275m_seed2026,diagnostic/train_time_ms,35,35,35,true,true,0,passed,
51,275m,2025,global_diag_275m_seed2025,diagnostic/train_time_ms,35,35,35,true,true,0,passed,
51,275m,2024,global_diag_275m_seed2024,diagnostic/train_time_ms,35,35,35,true,true,0,passed,
51,455m,2026,global_diag_455m_seed2026,train/tokens,49,49,49,true,true,0,passed,
51,455m,2025,global_diag_455m_seed2025,train/tokens,49,49,49,true,true,0,passed,
51,455m,2024,global_diag_455m_seed2024,train/tokens,49,49,49,true,true,0,passed,
51,275m,2027,global_diag_275m_seed2027,train/tokens,35,35,35,true,true,0,passed,
51,275m,2026,global_diag_275m_seed2026,train/tokens,35,35,35,true,true,0,passed,
51,275m,2025,global_diag_275m_seed2025,train/tokens,35,35,35,true,true,0,passed,
51,275m,2024,global_diag_275m_seed2024,train/tokens,35,35,35,true,true,0,passed,
51,455m,2026,global_diag_455m_seed2026,validation/loss,49,49,49,true,true,0,passed,
51,455m,2025,global_diag_455m_seed2025,validation/loss,49,49,49,true,true,0,passed,
51,455m,2024,global_diag_455m_seed2024,validation/loss,49,49,49,true,true,0,passed,
51,275m,2027,global_diag_275m_seed2027,validation/loss,35,35,35,true,true,0,passed,
51,275m,2026,global_diag_275m_seed2026,validation/loss,35,35,35,true,true,0,passed,
51,275m,2025,global_diag_275m_seed2025,validation/loss,35,35,35,true,true,0,passed,
51,275m,2024,global_diag_275m_seed2024,validation/loss,35,35,35,true,true,0,passed,
52,124m_plus_1b_aggregate,2026,global_diag_seed2026,lr/matrix__mean,311,311,311,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2026,global_diag_seed2026,lr/matrix__min,311,311,311,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2026,global_diag_seed2026,lr/matrix__max,311,311,311,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2025,global_diag_seed2025,lr/matrix__mean,311,311,311,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2025,global_diag_seed2025,lr/matrix__min,311,311,311,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2025,global_diag_seed2025,lr/matrix__max,311,311,311,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2024,global_diag_seed2024,lr/matrix__mean,311,311,311,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
