comparator,seed,global_diag_final_val_loss,comparator_final_val_loss,delta_global_minus_comparator,global_diag_better
diag,2024,3.2699,3.2613,0.008599999999999941,False
diag,2025,3.2691,3.2599,0.009199999999999875,False
diag,2026,3.2699,3.2621,0.007799999999999585,False
block4,2024,3.2699,3.263,0.006899999999999906,False
block4,2025,3.2691,3.2609,0.008199999999999985,False
block4,2026,3.2699,3.2627,0.007199999999999651,False
none,2024,3.2699,3.267,0.0028999999999999027,False
none,2025,3.2691,3.2659,0.0032000000000000917,False
none,2026,3.2699,3.2671,0.0027999999999996916,False
muon,2024,3.2699,3.2774,-0.007500000000000284,True
muon,2025,3.2691,3.2769,-0.007800000000000029,True
muon,2026,3.2699,3.2771,-0.007200000000000095,True
