scale,method,n,final_val_loss_mean,final_val_loss_sd,ci95_low,ci95_high
275m,global_diag,4,3.277844548225403,0.0018692175597289906,3.2748702059670367,3.280818890483769
275m,muon,4,3.277772009372711,0.0029012103777996123,3.2731555362488707,3.2823884824965517
275m,original_newton_muon,4,3.274798631668091,0.0005867056725987499,3.273865052018065,3.2757322113181164
275m,selective_none,4,3.274724304676056,0.0016741754364607354,3.272060317959975,3.277388291392137
275m,selective_diag,4,3.2749634981155396,0.0022320033576913234,3.271411882696006,3.278515113535073
455m,global_diag,3,2.9225335915883384,0.0014275764184093654,2.9189872951708287,2.926079888005848
455m,muon,3,2.9198108514149985,0.0008125844304760254,2.917792279787196,2.921829423042801
455m,original_newton_muon,3,2.918296734491984,0.0003248045469945492,2.9174898752678162,2.9191035937161516
455m,selective_none,3,2.917475859324137,0.0006589485967850543,2.915838940264697,2.9191127783835773
455m,selective_diag,3,2.9189104239145913,0.0008640966027504601,2.9167638889570227,2.92105695887216
