scale,method,n,final_val_loss_mean,final_val_loss_sd
124m,global_diag,3,3.2659480573333335,0.0005444871999718552
124m,down_diag,3,3.266925891,0.0006424947976264555
124m,down_none,3,3.2669725416666666,0.0018987354487083213
124m,newton_full,3,3.2668533323333335,0.0011490886411279749
124m,muon,3,3.267577966,0.0011915006302552912
1b,global_diag,3,2.9710951646666666,0.0003637592648255207
1b,down_diag,3,2.975747506,0.0006216862144916829
1b,down_none,3,2.974595785,0.0008482832913827249
1b,newton_full,3,2.976711670333333,0.0005170627373678378
1b,muon,3,2.9701248806666665,0.0009539505736516852
