scale,budget_id,comparator,n,mean_delta_moonlight_minus_comparator,sample_sd,ci95_low,ci95_high,moonlight_better_seed_count,moonlight_worse_seed_count
124m,tokens_3p2506b,down_diag,3,-0.01531855233333331,0.0013500771087039361,-0.018672329792961736,-0.011964774873704884,3,0
124m,tokens_3p2506b,down_none,3,-0.015365202999999994,0.0019997551796064783,-0.020332870256115323,-0.010397535743884665,3,0
124m,tokens_3p2506b,muon,3,-0.015970627333333393,0.001054940852885225,-0.018591245689750194,-0.013350008976916593,3,0
124m,tokens_3p2506b,newton_full,3,-0.015245993666666754,0.0013101378548330848,-0.018500556519571696,-0.011991430813761812,3,0
1b,tokens_3p2506b,down_diag,3,-0.0034087496666666737,0.0016846400626421476,-0.007593627577158854,0.0007761282438255072,3,0
1b,tokens_3p2506b,down_none,3,-0.0016205310000000732,0.0008419766658833514,-0.0037121169882133737,0.00047105498821322744,3,0
1b,tokens_3p2506b,muon,3,0.0027257603333333455,0.0012769993803795193,-0.0004464819854685235,0.005898002652135215,0,3
1b,tokens_3p2506b,newton_full,3,-0.0035398006666667037,0.0009735275544721855,-0.0059581771782500825,-0.0011214241550833249,3,0
1b,tokens_6p9694b,down_diag,3,0.0017035010000000146,0.0008979840773087154,-0.0005272151110777815,0.00393421711107781,0,3
1b,tokens_6p9694b,down_none,3,0.002601544333333372,0.00067407789897092,0.0009270420037793066,0.004276046662887438,0,3
1b,tokens_6p9694b,muon,3,0.006606101666666604,0.0008308432062075948,0.004542172725497142,0.008670030607836067,0,3
1b,tokens_6p9694b,newton_full,3,0.0013910929999999173,0.00042715726839066034,0.00032997552070251467,0.00245221047929732,0,3
