scale,budget_id,seed,comparator,moonlight_final_val_loss,comparator_final_val_loss,delta_moonlight_minus_comparator
124m,tokens_3p2506b,2024,newton_full,3.252913237,3.267097235,-0.014183998000000031
124m,tokens_3p2506b,2024,down_diag,3.252913237,3.266753435,-0.013840198000000026
124m,tokens_3p2506b,2024,down_none,3.252913237,3.267063618,-0.014150380999999879
124m,tokens_3p2506b,2024,muon,3.252913237,3.268193483,-0.015280246000000108
1b,tokens_3p2506b,2024,newton_full,2.9718647,2.976236343,-0.004371643000000258
1b,tokens_3p2506b,2024,down_diag,2.9718647,2.977047443,-0.005182743000000212
1b,tokens_3p2506b,2024,down_none,2.9718647,2.974418879,-0.002554179000000101
1b,tokens_3p2506b,2024,muon,2.9718647,2.970576763,0.0012879369999998502
1b,tokens_6p9694b,2024,newton_full,2.865129709,2.864132166,0.0009975429999999896
1b,tokens_6p9694b,2024,down_diag,2.865129709,2.864422798,0.0007069109999999768
1b,tokens_6p9694b,2024,down_none,2.865129709,2.863306522,0.0018231870000002814
1b,tokens_6p9694b,2024,muon,2.865129709,2.859438658,0.0056910509999998915
124m,tokens_3p2506b,2025,newton_full,3.251150846,3.267860889,-0.01671004300000023
124m,tokens_3p2506b,2025,down_diag,3.251150846,3.267637014,-0.016486168000000134
124m,tokens_3p2506b,2025,down_none,3.251150846,3.2688241,-0.01767325399999997
124m,tokens_3p2506b,2025,muon,3.251150846,3.268335819,-0.017184972999999992
1b,tokens_3p2506b,2025,newton_full,2.973269701,2.975738764,-0.002469062999999938
1b,tokens_3p2506b,2025,down_diag,2.973269701,2.975100279,-0.0018305779999998606
1b,tokens_3p2506b,2025,down_none,2.973269701,2.974188566,-0.0009188650000000465
1b,tokens_3p2506b,2025,muon,2.973269701,2.969541788,0.0037279130000000826
1b,tokens_6p9694b,2025,newton_full,2.865830183,2.863984823,0.001845359999999907
1b,tokens_6p9694b,2025,down_diag,2.865830183,2.863380432,0.002449750999999889
1b,tokens_6p9694b,2025,down_none,2.865830183,2.862840414,0.002989769000000031
1b,tokens_6p9694b,2025,muon,2.865830183,2.858516932,0.0073132509999997986
124m,tokens_3p2506b,2026,newton_full,3.250757933,3.265601873,-0.01484394
124m,tokens_3p2506b,2026,down_diag,3.250757933,3.266387224,-0.015629290999999768
124m,tokens_3p2506b,2026,down_none,3.250757933,3.265029907,-0.014271974000000132
124m,tokens_3p2506b,2026,muon,3.250757933,3.266204596,-0.015446663000000083
1b,tokens_3p2506b,2026,newton_full,2.972711325,2.976490021,-0.003778695999999915
1b,tokens_3p2506b,2026,down_diag,2.972711325,2.975924253,-0.0032129279999999483
1b,tokens_3p2506b,2026,down_none,2.972711325,2.974099874,-0.0013885490000000722
1b,tokens_3p2506b,2026,muon,2.972711325,2.969549894,0.0031614310000001034
1b,tokens_6p9694b,2026,newton_full,2.865254164,2.863923788,0.0013303759999998555
1b,tokens_6p9694b,2026,down_diag,2.865254164,2.863300323,0.0019538410000001782
1b,tokens_6p9694b,2026,down_none,2.865254164,2.862262487,0.002991676999999804
1b,tokens_6p9694b,2026,muon,2.865254164,2.858440161,0.006814003000000124
