scale,budget_id,method,seed,final_val_loss,tail5_val_loss,normalized_val_auc,source_experiment
124m,tokens_3p2506b,down_diag,2024,3.266753435,3.274309158,3.60996717977,17
124m,tokens_3p2506b,down_none,2024,3.267063618,3.2746579172,3.61004301806,17
124m,tokens_3p2506b,newton_full,2024,3.267097235,3.2747175696,3.61169958315,17
124m,tokens_3p2506b,muon,2024,3.268193483,3.2757551668,3.61327203437,17
124m,tokens_3p2506b,down_diag,2025,3.267637014,3.2751564502,3.61290844982,17
124m,tokens_3p2506b,down_none,2025,3.2688241,3.2763195512,3.61394747987,17
124m,tokens_3p2506b,newton_full,2025,3.267860889,3.275319433,3.61326765623,17
124m,tokens_3p2506b,muon,2025,3.268335819,3.2758591652,3.61515329733,17
124m,tokens_3p2506b,down_diag,2026,3.266387224,3.2739135264,3.6114534928,17
124m,tokens_3p2506b,down_none,2026,3.265029907,3.2725995064,3.60969488463,17
124m,tokens_3p2506b,newton_full,2026,3.265601873,3.2731980322,3.61223433285,17
124m,tokens_3p2506b,muon,2026,3.266204596,3.273761511,3.6120496892,17
1b,tokens_3p2506b,down_none,2024,2.974418879,2.982581568,3.371017754,48
1b,tokens_6p9694b,down_none,2024,2.863306522,2.868611193,3.165257288,48
1b,tokens_approximately_10b,down_none,2024,2.818157911,2.822020674,3.086142086,48
1b,tokens_3p2506b,down_none,2025,2.974188566,2.982305622,3.368768663,48
1b,tokens_6p9694b,down_none,2025,2.862840414,2.868192482,3.163969939,48
1b,tokens_approximately_10b,down_none,2025,2.817942858,2.821851874,3.085313135,48
1b,tokens_3p2506b,down_none,2026,2.974099874,2.982251644,3.370456290,48
1b,tokens_6p9694b,down_none,2026,2.862262487,2.867572308,3.164522145,48
1b,tokens_approximately_10b,down_none,2026,2.817266226,2.821136999,3.085417030,48
1b,tokens_3p2506b,down_diag,2024,2.977047443,2.985126162,3.371123075,48
1b,tokens_6p9694b,down_diag,2024,2.864422798,2.869720125,3.165859887,48
1b,tokens_approximately_10b,down_diag,2024,2.819347858,2.823244047,3.086860051,48
1b,tokens_3p2506b,down_diag,2025,2.975100279,2.983197498,3.368030515,48
1b,tokens_6p9694b,down_diag,2025,2.863380432,2.868701077,3.163732011,48
1b,tokens_approximately_10b,down_diag,2025,2.817902803,2.821782016,3.085046921,48
1b,tokens_3p2506b,down_diag,2026,2.975924253,2.984057712,3.371501594,48
1b,tokens_6p9694b,down_diag,2026,2.863300323,2.868578911,3.165517410,48
1b,tokens_approximately_10b,down_diag,2026,2.817095995,2.820944405,3.086106301,48
1b,tokens_3p2506b,newton_full,2024,2.976236343,2.984320736,3.371436696,48
1b,tokens_6p9694b,newton_full,2024,2.864132166,2.869393873,3.166130055,48
1b,tokens_approximately_10b,newton_full,2024,2.818579674,2.822463560,3.087044451,48
1b,tokens_3p2506b,newton_full,2025,2.975738764,2.983781719,3.370332762,48
1b,tokens_6p9694b,newton_full,2025,2.863984823,2.869293308,3.165444294,48
1b,tokens_approximately_10b,newton_full,2025,2.818570375,2.822451592,3.086653593,48
1b,tokens_3p2506b,newton_full,2026,2.976490021,2.984556007,3.372916448,48
1b,tokens_6p9694b,newton_full,2026,2.863923788,2.869206476,3.166834519,48
1b,tokens_approximately_10b,newton_full,2026,2.818972588,2.822863769,3.087609428,48
1b,tokens_3p2506b,muon,2024,2.970576763,2.978710556,3.373218856,48
1b,tokens_6p9694b,muon,2024,2.859438658,2.864641857,3.163491626,48
1b,tokens_approximately_10b,muon,2024,2.814094067,2.817890978,3.083357689,48
1b,tokens_3p2506b,muon,2025,2.969541788,2.977659035,3.370836591,48
1b,tokens_6p9694b,muon,2025,2.858516932,2.863676310,3.161771458,48
1b,tokens_approximately_10b,muon,2025,2.813876867,2.817639017,3.082055533,48
1b,tokens_3p2506b,muon,2026,2.969549894,2.977642679,3.371263806,48
1b,tokens_6p9694b,muon,2026,2.858440161,2.863625145,3.162090300,48
1b,tokens_approximately_10b,muon,2026,2.814232588,2.817982578,3.082434270,48
