method,display_name,selected_cell,seed,seed_role,init_sha256,initial_val_loss,final_val_loss,best_val_loss,tail5_val_loss_mean,normalized_val_auc,peak_memory_mib,optimizer_state_mib,timing_eligible,formal_manifest,formal_manifest_sha256
diag,Local diag,diag,2024,independent_confirmatory_seed,,10.9462,3.2613,3.2613,3.2695999999999996,3.6157814516129028,38304.0,780.7558631896973,False,accepted_historical_panel,
none,Local none,none,2024,independent_confirmatory_seed,,10.9462,3.267,3.267,3.2752600000000003,3.624296774193548,38304.0,780.4746131896973,False,accepted_historical_panel,
mousse,Mousse,mousse_lr100,2024,independent_confirmatory_seed,,10.9462,3.2683,3.2683,3.279,3.6331846774193557,39985.0,2887.1074256896973,False,accepted_historical_panel,
muon,Muon,muon,2024,independent_confirmatory_seed,,10.9462,3.2774,3.2774,3.28604,3.6334548387096777,37703.0,618.4746131896973,False,accepted_historical_panel,
block4,Local block-4,block4,2024,independent_confirmatory_seed,,10.9462,3.263,3.263,3.2713399999999995,3.617296774193548,39168.0,996.4746131896972,False,accepted_historical_panel,
moonlight,Moonlight,moonlight_r1scale,2024,independent_confirmatory_seed,,10.9462,3.2754,3.2754,3.28722,3.652914516129033,37703.0,618.4746131896973,False,accepted_historical_panel,
normuon,NorMuon,normuon_r1scale,2024,independent_confirmatory_seed,,10.9462,3.3334,3.3334,3.3416400000000004,3.7268258064516133,37703.0,618.7910194396973,False,accepted_historical_panel,
adamw,AdamW,adamw_low,2024,independent_confirmatory_seed,,10.9462,3.4045,3.4045,3.4141400000000006,3.8767814516129024,38026.0,942.474796295166,False,accepted_historical_panel,
malt,MALT,malt_lr0125,2024,independent_confirmatory_seed,dcd2b4aaa59b03d26ca117c77e518cd588fa907991f73a386629d058431e6176,10.9462,3.2728,3.2728,3.29814,3.695079032258064,37709.0,619.1074256896973,False,accepted_historical_panel,
malter_eq17,MALTER-Eq17,malter_eq17_lr015,2024,independent_confirmatory_seed,dcd2b4aaa59b03d26ca117c77e518cd588fa907991f73a386629d058431e6176,10.9462,3.6426,3.6426,3.6791399999999994,4.0744741935483875,37708.0,619.1077003479004,False,accepted_historical_panel,
diag,Local diag,diag,2025,independent_confirmatory_seed,,10.9869,3.2599,3.2599,3.26802,3.612770967741936,38304.0,780.7558631896973,False,accepted_historical_panel,
none,Local none,none,2025,independent_confirmatory_seed,,10.9869,3.2659,3.2659,3.27424,3.622480645161291,38304.0,780.4746131896973,False,accepted_historical_panel,
mousse,Mousse,mousse_lr100,2025,independent_confirmatory_seed,,10.9869,3.2678,3.2678,3.2785200000000003,3.631842741935484,39985.0,2887.1074256896973,False,accepted_historical_panel,
muon,Muon,muon,2025,independent_confirmatory_seed,,10.9869,3.2769,3.2769,3.2854599999999996,3.633295161290323,37703.0,618.4746131896973,False,accepted_historical_panel,
block4,Local block-4,block4,2025,independent_confirmatory_seed,,10.9869,3.2609,3.2609,3.26908,3.613564516129033,39168.0,996.4746131896972,False,accepted_historical_panel,
moonlight,Moonlight,moonlight_r1scale,2025,independent_confirmatory_seed,,10.9869,3.275,3.275,3.2866799999999996,3.6514475806451623,37703.0,618.4746131896973,False,accepted_historical_panel,
normuon,NorMuon,normuon_r1scale,2025,independent_confirmatory_seed,,10.9869,3.335,3.335,3.3433,3.728457258064517,37703.0,618.7910194396973,False,accepted_historical_panel,
adamw,AdamW,adamw_low,2025,independent_confirmatory_seed,,10.9869,3.4015,3.4015,3.4112400000000003,3.868917741935484,38026.0,942.474796295166,False,accepted_historical_panel,
malt,MALT,malt_lr0125,2025,independent_confirmatory_seed,0abcd1466c19b502419173203779819e00d30996f4b235cb131d20641da3696a,10.9869,3.2736,3.2736,3.2988200000000005,3.695945967741935,37708.0,619.1074256896973,False,accepted_historical_panel,
malter_eq17,MALTER-Eq17,malter_eq17_lr015,2025,independent_confirmatory_seed,0abcd1466c19b502419173203779819e00d30996f4b235cb131d20641da3696a,10.9869,3.6475,3.6475,3.6846400000000004,4.0775999999999994,37708.0,619.1077003479004,False,accepted_historical_panel,
diag,Local diag,diag,2026,independent_confirmatory_seed,,10.979,3.2621,3.2621,3.27028,3.616925,38304.0,780.7558631896973,False,accepted_historical_panel,
none,Local none,none,2026,independent_confirmatory_seed,,10.979,3.2671,3.2671,3.2754800000000004,3.625599193548388,38304.0,780.4746131896973,False,accepted_historical_panel,
mousse,Mousse,mousse_lr100,2026,selection_linked_seed,,10.979,3.268,3.268,3.2786999999999997,3.633066129032259,39985.0,2887.1074256896973,False,accepted_historical_panel,
muon,Muon,muon,2026,independent_confirmatory_seed,,10.979,3.2771,3.2771,3.28572,3.633407258064516,37703.0,618.4746131896973,False,accepted_historical_panel,
block4,Local block-4,block4,2026,independent_confirmatory_seed,,10.979,3.2627,3.2627,3.27102,3.617042741935485,39168.0,996.4746131896972,False,accepted_historical_panel,
moonlight,Moonlight,moonlight_r1scale,2026,selection_linked_seed,,10.979,3.2745,3.2745,3.28628,3.6523830645161293,37703.0,618.4746131896973,False,accepted_historical_panel,
normuon,NorMuon,normuon_r1scale,2026,selection_linked_seed,,10.979,3.335,3.335,3.3432000000000004,3.726946774193549,37703.0,618.7910194396973,False,accepted_historical_panel,
adamw,AdamW,adamw_low,2026,selection_linked_seed,,10.979,3.3953,3.3953,3.4048799999999995,3.8367330645161295,38026.0,942.474796295166,False,accepted_historical_panel,
malt,MALT,malt_lr0125,2026,selection_linked_seed,6fc95ba25ef8a8e8cde42489aa831276600dc31de2c92f558417f5098f6b0324,10.979,3.2718,3.2718,3.2972799999999998,3.6956854838709665,37709.0,619.1074256896973,False,accepted_historical_panel,
malter_eq17,MALTER-Eq17,malter_eq17_lr015,2026,selection_linked_seed,6fc95ba25ef8a8e8cde42489aa831276600dc31de2c92f558417f5098f6b0324,10.979,3.6477,3.6477,3.68468,4.079737903225807,37708.0,619.1077003479004,False,accepted_historical_panel,
