method,display_name,selected_cell,seed,seed_role,init_sha256,initial_val_loss,final_val_loss,best_val_loss,tail5_val_loss_mean,normalized_val_auc,peak_memory_mib,optimizer_state_mib,timing_eligible,formal_manifest,formal_manifest_sha256,tail5_source,tail5_validation_steps,formal_metrics_path,formal_metrics_bytes,formal_metrics_sha256
block4,Local block-4,block4,2024,independent_confirmatory_seed,,10.9462,3.263,3.263,3.2713399999999995,3.617296774193548,39168.0,996.4746131896972,False,accepted_historical_panel,,,,,,
block4,Local block-4,block4,2025,independent_confirmatory_seed,,10.9869,3.2609,3.2609,3.26908,3.613564516129033,39168.0,996.4746131896972,False,accepted_historical_panel,,,,,,
block4,Local block-4,block4,2027,fresh_confirmatory_seed,b328c4699491699620a5979160450eac4f41f9107cd73fb42974db9d8e4ed7b4,10.9937,3.2624,3.2624,3.27066,3.6169362903225815,39168.0,996.4746131896973,False,PRIVATE_PATH_REDACTED,5c02afa946b96e1c6926bc0a0658a5d7787ca830017224ce7e31499f614cded5,accepted_formal_child_metrics_csv,5800;5900;6000;6100;6200,PRIVATE_PATH_REDACTED,586304,59018bfde0baa54394bbbed76d72b74b4472f90f6a1fa6780d950541c72bc33c
diag,Local diag,diag,2024,independent_confirmatory_seed,,10.9462,3.2613,3.2613,3.2695999999999996,3.6157814516129028,38304.0,780.7558631896973,False,accepted_historical_panel,,,,,,
diag,Local diag,diag,2025,independent_confirmatory_seed,,10.9869,3.2599,3.2599,3.26802,3.612770967741936,38304.0,780.7558631896973,False,accepted_historical_panel,,,,,,
diag,Local diag,diag,2027,fresh_confirmatory_seed,b328c4699491699620a5979160450eac4f41f9107cd73fb42974db9d8e4ed7b4,10.9937,3.2627,3.2627,3.2709,3.6174967741935475,38304.0,780.7558631896973,False,PRIVATE_PATH_REDACTED,5c02afa946b96e1c6926bc0a0658a5d7787ca830017224ce7e31499f614cded5,accepted_formal_child_metrics_csv,5800;5900;6000;6100;6200,PRIVATE_PATH_REDACTED,561271,38e3fbec0fc17b227f4a33789ac42cf7e48dcf7a9b119fae89d134faa5191c0d
none,Local none,none,2024,independent_confirmatory_seed,,10.9462,3.267,3.267,3.2752600000000003,3.624296774193548,38304.0,780.4746131896973,False,accepted_historical_panel,,,,,,
none,Local none,none,2025,independent_confirmatory_seed,,10.9869,3.2659,3.2659,3.27424,3.622480645161291,38304.0,780.4746131896973,False,accepted_historical_panel,,,,,,
none,Local none,none,2027,fresh_confirmatory_seed,b328c4699491699620a5979160450eac4f41f9107cd73fb42974db9d8e4ed7b4,10.9937,3.2676,3.2676,3.27602,3.626534677419355,38304.0,780.4746131896973,False,PRIVATE_PATH_REDACTED,5c02afa946b96e1c6926bc0a0658a5d7787ca830017224ce7e31499f614cded5,accepted_formal_child_metrics_csv,5800;5900;6000;6100;6200,PRIVATE_PATH_REDACTED,561345,41ff46a67408a795a21913299ee6a5f27a2e8cf2a49520bb91687da3d27de111
muon,Muon,muon,2024,independent_confirmatory_seed,,10.9462,3.2774,3.2774,3.28604,3.6334548387096777,37703.0,618.4746131896973,False,accepted_historical_panel,,,,,,
muon,Muon,muon,2025,independent_confirmatory_seed,,10.9869,3.2769,3.2769,3.2854599999999996,3.633295161290323,37703.0,618.4746131896973,False,accepted_historical_panel,,,,,,
muon,Muon,muon,2027,fresh_confirmatory_seed,b328c4699491699620a5979160450eac4f41f9107cd73fb42974db9d8e4ed7b4,10.9937,3.2771,3.2771,3.2857,3.634264516129031,37703.0,618.4746131896973,False,PRIVATE_PATH_REDACTED,5c02afa946b96e1c6926bc0a0658a5d7787ca830017224ce7e31499f614cded5,accepted_formal_child_metrics_csv,5800;5900;6000;6100;6200,PRIVATE_PATH_REDACTED,543972,f4e50e9e63b2482f3db86d5d6a442b30236c042bc97d49e6ca3c61c5acc6f9df
adamw,AdamW,adamw_low,2024,independent_confirmatory_seed,,10.9462,3.4045,3.4045,3.4141400000000006,3.8767814516129024,38026.0,942.474796295166,False,accepted_historical_panel,,,,,,
adamw,AdamW,adamw_low,2025,independent_confirmatory_seed,,10.9869,3.4015,3.4015,3.4112400000000003,3.868917741935484,38026.0,942.474796295166,False,accepted_historical_panel,,,,,,
adamw,AdamW,adamw_low,2027,fresh_confirmatory_seed,b328c4699491699620a5979160450eac4f41f9107cd73fb42974db9d8e4ed7b4,10.9937,3.4035,3.4035,3.41324,3.8650935483870965,38026.0,942.474796295166,False,PRIVATE_PATH_REDACTED,e00b17dfa9d3920442c3f7f0c57529b0545884183f4b7bc1825cf4e487106b23,accepted_formal_child_metrics_csv,5800;5900;6000;6100;6200,PRIVATE_PATH_REDACTED,586951,5ed6761146e2d9d77d697b90ac1221581b10dcb110b212bc7cbaf3d1407d7ef4
normuon,NorMuon,normuon_r1scale,2024,independent_confirmatory_seed,,10.9462,3.3334,3.3334,3.3416400000000004,3.7268258064516133,37703.0,618.7910194396973,False,accepted_historical_panel,,,,,,
normuon,NorMuon,normuon_r1scale,2025,independent_confirmatory_seed,,10.9869,3.335,3.335,3.3433,3.728457258064517,37703.0,618.7910194396973,False,accepted_historical_panel,,,,,,
normuon,NorMuon,normuon_r1scale,2027,fresh_confirmatory_seed,b328c4699491699620a5979160450eac4f41f9107cd73fb42974db9d8e4ed7b4,10.9937,3.3353,3.3353,3.3435,3.7286387096774196,37703.0,618.7910194396973,False,PRIVATE_PATH_REDACTED,e00b17dfa9d3920442c3f7f0c57529b0545884183f4b7bc1825cf4e487106b23,accepted_formal_child_metrics_csv,5800;5900;6000;6100;6200,PRIVATE_PATH_REDACTED,642157,5623cb2ebffee3c8295c7a4259c0b7e5a36ede4b223925ce23ed5ff877a60edc
moonlight,Moonlight,moonlight_r1scale,2024,independent_confirmatory_seed,,10.9462,3.2754,3.2754,3.28722,3.652914516129033,37703.0,618.4746131896973,False,accepted_historical_panel,,,,,,
moonlight,Moonlight,moonlight_r1scale,2025,independent_confirmatory_seed,,10.9869,3.275,3.275,3.2866799999999996,3.6514475806451623,37703.0,618.4746131896973,False,accepted_historical_panel,,,,,,
moonlight,Moonlight,moonlight_r1scale,2027,fresh_confirmatory_seed,b328c4699491699620a5979160450eac4f41f9107cd73fb42974db9d8e4ed7b4,10.9937,3.2745,3.2745,3.28628,3.651006451612903,37703.0,618.4746131896973,False,PRIVATE_PATH_REDACTED,e00b17dfa9d3920442c3f7f0c57529b0545884183f4b7bc1825cf4e487106b23,accepted_formal_child_metrics_csv,5800;5900;6000;6100;6200,PRIVATE_PATH_REDACTED,679405,995674f6e8da04b3f5cf57565b998c9f23227b3c00463f16b1ef35363532863e
mousse,Mousse,mousse_lr100,2024,independent_confirmatory_seed,,10.9462,3.2683,3.2683,3.279,3.6331846774193557,39985.0,2887.1074256896973,False,accepted_historical_panel,,,,,,
mousse,Mousse,mousse_lr100,2025,independent_confirmatory_seed,,10.9869,3.2678,3.2678,3.2785200000000003,3.631842741935484,39985.0,2887.1074256896973,False,accepted_historical_panel,,,,,,
mousse,Mousse,mousse_lr100,2027,fresh_confirmatory_seed,b328c4699491699620a5979160450eac4f41f9107cd73fb42974db9d8e4ed7b4,10.9937,3.2666,3.2666,3.2773,3.6304508064516137,39983.0,2887.1074256896973,False,PRIVATE_PATH_REDACTED,712b0917cd17a356bc0c14c0a56a7a71697d98b2903cfb79d8de65d1f56654c0,accepted_formal_child_metrics_csv,5800;5900;6000;6100;6200,PRIVATE_PATH_REDACTED,603539,82bde6da1189e7ea0ff9c066566468dc76389158a8273bb02e0cf104a701c198
malt,MALT,malt_lr0125,2024,independent_confirmatory_seed,dcd2b4aaa59b03d26ca117c77e518cd588fa907991f73a386629d058431e6176,10.9462,3.2728,3.2728,3.29814,3.695079032258064,37709.0,619.1074256896973,False,accepted_historical_panel,,,,,,
malt,MALT,malt_lr0125,2025,independent_confirmatory_seed,0abcd1466c19b502419173203779819e00d30996f4b235cb131d20641da3696a,10.9869,3.2736,3.2736,3.2988200000000005,3.695945967741935,37708.0,619.1074256896973,False,accepted_historical_panel,,,,,,
malt,MALT,malt_lr0125,2027,fresh_confirmatory_seed,b328c4699491699620a5979160450eac4f41f9107cd73fb42974db9d8e4ed7b4,10.9937,3.273,3.273,3.29848,3.6960975806451613,37709.0,619.1074256896973,False,PRIVATE_PATH_REDACTED,860ed93cc23f6b83e539ece43e0c8f8b95e7827b5f2f5b0a8a87d20ce4e957b7,accepted_formal_child_metrics_csv,5800;5900;6000;6100;6200,PRIVATE_PATH_REDACTED,593273,557b314355ca7dd3ea1dfe58956c99af52d121498fcb59bc8e4eba034580afca
