method,display_name,n,seeds,mean_final_val_loss,sample_sd_final_val_loss,mean_tail5_val_loss,mean_normalized_val_auc,mean_optimizer_state_mib,mean_peak_memory_mib,rank_by_mean_final_loss
block4,Local block-4,3,2024;2025;2027,3.2620999999999998,0.0010816653826392008,3.2703599999999997,3.615932526881721,996.4746131896972,39168.0,2
diag,Local diag,3,2024;2025;2027,3.2613,0.0014000000000000679,3.2695066666666666,3.6153497311827953,780.7558631896973,38304.0,1
none,Local none,3,2024;2025;2027,3.266833333333333,0.0008621678104251961,3.2751733333333335,3.624437365591398,780.4746131896973,38304.0,3
muon,Muon,3,2024;2025;2027,3.2771333333333335,0.0002516611478424483,3.285733333333333,3.633671505376344,618.4746131896973,37703.0,7
adamw,AdamW,3,2024;2025;2027,3.403166666666667,0.0015275252316520205,3.4128733333333336,3.8702642473118276,942.474796295166,38026.0,9
normuon,NorMuon,3,2024;2025;2027,3.334566666666667,0.001021436896402938,3.3428133333333334,3.727973924731183,618.7910194396973,37703.0,8
moonlight,Moonlight,3,2024;2025;2027,3.274966666666667,0.00045092497528212487,3.2867266666666666,3.651789516129033,618.4746131896973,37703.0,6
mousse,Mousse,3,2024;2025;2027,3.2675666666666667,0.0008736894948054075,3.2782733333333334,3.6318260752688176,2887.1074256896973,39984.333333333336,4
malt,MALT,3,2024;2025;2027,3.2731333333333335,0.0004163331998931807,3.29848,3.69570752688172,619.1074256896973,37708.666666666664,5
malter_eq17,MALTER-Eq17,3,2024;2025;2027,3.6456,0.0026286878856190735,3.6825733333333335,4.077118279569893,619.1077003479004,37708.0,10
