method,comparator,n,mean_delta_method_minus_comparator,sample_sd_delta,method_better_seed_count,method_worse_seed_count,ties
block4,diag,3,0.0007999999999999119,0.0010148891565093289,1,2,0
diag,diag,3,0.0,0.0,0,0,3
none,diag,3,0.005533333333333168,0.0005686240703078263,0,3,0
muon,diag,3,0.015833333333333293,0.0013203534880226752,0,3,0
adamw,diag,3,0.14186666666666672,0.001222020185321665,0,3,0
normuon,diag,3,0.07326666666666674,0.0016072751268320282,0,3,0
moonlight,diag,3,0.013666666666666641,0.0016921386861995435,0,3,0
mousse,diag,3,0.006266666666666569,0.002098412098071677,0,3,0
malt,diag,3,0.011833333333333437,0.0017243356208503492,0,3,0
malter_eq17,diag,3,0.3842999999999999,0.0031606961258558107,0,3,0
block4,block4,3,0.0,0.0,0,0,3
diag,block4,3,-0.0007999999999999119,0.0010148891565093289,2,1,0
none,block4,3,0.004733333333333256,0.0006429100507327929,0,3,0
muon,block4,3,0.01503333333333338,0.0008504900548114881,0,3,0
adamw,block4,3,0.1410666666666668,0.00045092497528235467,0,3,0
normuon,block4,3,0.07246666666666683,0.0018876793513022828,0,3,0
moonlight,block4,3,0.01286666666666673,0.001078579312490825,0,3,0
mousse,block4,3,0.005466666666666657,0.0013576941236277075,0,3,0
malt,block4,3,0.011033333333333525,0.0014977761292440232,0,3,0
malter_eq17,block4,3,0.3835,0.003567912554982322,0,3,0
block4,muon,3,-0.01503333333333338,0.0008504900548114881,3,0,0
diag,muon,3,-0.015833333333333293,0.0013203534880226752,3,0,0
none,muon,3,-0.010300000000000123,0.0007549834435271094,3,0,0
muon,muon,3,0.0,0.0,0,0,3
adamw,muon,3,0.12603333333333344,0.0012897028081435532,0,3,0
normuon,muon,3,0.05743333333333345,0.0012423096769056748,0,3,0
moonlight,muon,3,-0.00216666666666665,0.0003785938897198006,3,0,0
mousse,muon,3,-0.009566666666666723,0.0008082903768653871,3,0,0
malt,muon,3,-0.003999999999999855,0.0006557438524302295,3,0,0
malter_eq17,muon,3,0.36846666666666666,0.0028728615235222212,0,3,0
