seed,method,comparator,delta_method_minus_comparator,lower_is_better
2024,block4,diag,0.0017000000000000348,True
2025,block4,diag,0.0009999999999998899,True
2027,block4,diag,-0.000300000000000189,True
2024,diag,diag,0.0,True
2025,diag,diag,0.0,True
2027,diag,diag,0.0,True
2024,none,diag,0.005700000000000038,True
2025,none,diag,0.005999999999999783,True
2027,none,diag,0.004899999999999682,True
2024,muon,diag,0.016100000000000225,True
2025,muon,diag,0.016999999999999904,True
2027,muon,diag,0.014399999999999746,True
2024,adamw,diag,0.14320000000000022,True
2025,adamw,diag,0.14159999999999995,True
2027,adamw,diag,0.14080000000000004,True
2024,normuon,diag,0.07210000000000027,True
2025,normuon,diag,0.07509999999999994,True
2027,normuon,diag,0.0726,True
2024,moonlight,diag,0.014100000000000001,True
2025,moonlight,diag,0.015099999999999891,True
2027,moonlight,diag,0.011800000000000033,True
2024,mousse,diag,0.007000000000000117,True
2025,mousse,diag,0.007899999999999796,True
2027,mousse,diag,0.0038999999999997925,True
2024,malt,diag,0.011500000000000288,True
2025,malt,diag,0.013700000000000045,True
2027,malt,diag,0.010299999999999976,True
2024,malter_eq17,diag,0.3813,True
2025,malter_eq17,diag,0.38759999999999994,True
2027,malter_eq17,diag,0.3839999999999999,True
2024,block4,block4,0.0,True
2025,block4,block4,0.0,True
2027,block4,block4,0.0,True
2024,diag,block4,-0.0017000000000000348,True
2025,diag,block4,-0.0009999999999998899,True
2027,diag,block4,0.000300000000000189,True
2024,none,block4,0.0040000000000000036,True
2025,none,block4,0.004999999999999893,True
2027,none,block4,0.005199999999999871,True
2024,muon,block4,0.01440000000000019,True
2025,muon,block4,0.016000000000000014,True
2027,muon,block4,0.014699999999999935,True
2024,adamw,block4,0.14150000000000018,True
2025,adamw,block4,0.14060000000000006,True
2027,adamw,block4,0.14110000000000023,True
2024,normuon,block4,0.07040000000000024,True
2025,normuon,block4,0.07410000000000005,True
2027,normuon,block4,0.07290000000000019,True
2024,moonlight,block4,0.012399999999999967,True
2025,moonlight,block4,0.014100000000000001,True
2027,moonlight,block4,0.012100000000000222,True
2024,mousse,block4,0.005300000000000082,True
2025,mousse,block4,0.006899999999999906,True
2027,mousse,block4,0.0041999999999999815,True
2024,malt,block4,0.009800000000000253,True
2025,malt,block4,0.012700000000000156,True
2027,malt,block4,0.010600000000000165,True
2024,malter_eq17,block4,0.37959999999999994,True
2025,malter_eq17,block4,0.38660000000000005,True
2027,malter_eq17,block4,0.3843000000000001,True
2024,block4,muon,-0.01440000000000019,True
2025,block4,muon,-0.016000000000000014,True
2027,block4,muon,-0.014699999999999935,True
2024,diag,muon,-0.016100000000000225,True
2025,diag,muon,-0.016999999999999904,True
2027,diag,muon,-0.014399999999999746,True
2024,none,muon,-0.010400000000000187,True
2025,none,muon,-0.01100000000000012,True
2027,none,muon,-0.009500000000000064,True
2024,muon,muon,0.0,True
2025,muon,muon,0.0,True
2027,muon,muon,0.0,True
2024,adamw,muon,0.1271,True
2025,adamw,muon,0.12460000000000004,True
2027,adamw,muon,0.1264000000000003,True
2024,normuon,muon,0.05600000000000005,True
2025,normuon,muon,0.05810000000000004,True
2027,normuon,muon,0.05820000000000025,True
2024,moonlight,muon,-0.002000000000000224,True
2025,moonlight,muon,-0.0019000000000000128,True
2027,moonlight,muon,-0.0025999999999997137,True
2024,mousse,muon,-0.009100000000000108,True
2025,mousse,muon,-0.009100000000000108,True
2027,mousse,muon,-0.010499999999999954,True
2024,malt,muon,-0.0045999999999999375,True
2025,malt,muon,-0.0032999999999998586,True
2027,malt,muon,-0.0040999999999997705,True
2024,malter_eq17,muon,0.36519999999999975,True
2025,malter_eq17,muon,0.37060000000000004,True
2027,malter_eq17,muon,0.36960000000000015,True
