budget_id,contrast,comparator,seed2024,seed2025,seed2026,mean_difference,sample_sd,ci95_low,ci95_high,global_diag_better_seeds,global_diag_worse_seeds,practical_margin
tokens_3p2506b,global_diag-minus-down_none,down_none,-0.003002406,-0.003363609,-0.002545356,-0.002970457,0.000410061,-0.003989105,-0.001951809,3,0,0.002
tokens_3p2506b,global_diag-minus-down_diag,down_diag,-0.005630970,-0.004275322,-0.004369735,-0.004758676,0.000756903,-0.006638926,-0.002878425,3,0,0.002
tokens_3p2506b,global_diag-minus-newton_full,newton_full,-0.004819870,-0.004913807,-0.004935503,-0.004889727,0.000061463,-0.005042408,-0.004737045,3,0,0.002
tokens_3p2506b,global_diag-minus-muon,muon,0.000839710,0.001283169,0.002004624,0.001375834,0.000587959,-0.000084738,0.002836407,0,3,0.002
tokens_6p9694b,global_diag-minus-down_none,down_none,-0.003094434,-0.002968073,-0.002044677,-0.002702395,0.000573094,-0.004126038,-0.001278751,3,0,0.002
tokens_6p9694b,global_diag-minus-down_diag,down_diag,-0.004210710,-0.003508091,-0.003082513,-0.003600438,0.000569739,-0.005015749,-0.002185127,3,0,0.002
tokens_6p9694b,global_diag-minus-newton_full,newton_full,-0.003920078,-0.004112482,-0.003705978,-0.003912846,0.000203348,-0.004417992,-0.003407700,3,0,0.002
tokens_6p9694b,global_diag-minus-muon,muon,0.000773430,0.001355409,0.001777649,0.001302163,0.000504222,0.000049605,0.002554721,0,3,0.002
tokens_approximately_10b,global_diag-minus-down_none,down_none,-0.002882957,-0.003226757,-0.001840592,-0.002650102,0.000721824,-0.004443211,-0.000856993,3,0,0.002
tokens_approximately_10b,global_diag-minus-down_diag,down_diag,-0.004072904,-0.003186702,-0.001670361,-0.002976656,0.001214966,-0.005994799,0.000041488,3,0,0.002
tokens_approximately_10b,global_diag-minus-newton_full,newton_full,-0.003304720,-0.003854274,-0.003546954,-0.003568649,0.000275419,-0.004252827,-0.002884472,3,0,0.002
tokens_approximately_10b,global_diag-minus-muon,muon,0.001180887,0.000839234,0.001193046,0.001071056,0.000200855,0.000572103,0.001570008,0,3,0.002
