budget_id,seed,comparator,moonlight_final_val_loss,comparator_final_val_loss,delta_moonlight_minus_comparator
tokens_3p2506b,2024,newton_full,2.971940994,2.976236343,-0.004295348999999948
tokens_3p2506b,2024,down_diag,2.971940994,2.977047443,-0.005106448999999902
tokens_3p2506b,2024,down_none,2.971940994,2.974418879,-0.002477884999999791
tokens_3p2506b,2024,muon,2.971940994,2.970576763,0.00136423100000016
tokens_6p9694b,2024,newton_full,2.865428686,2.864132166,0.0012965199999999122
tokens_6p9694b,2024,down_diag,2.865428686,2.864422798,0.0010058879999998993
tokens_6p9694b,2024,down_none,2.865428686,2.863306522,0.002122164000000204
tokens_6p9694b,2024,muon,2.865428686,2.859438658,0.005990027999999814
tokens_approximately_10b,2024,newton_full,2.824791431,2.818579674,0.006211756999999984
tokens_approximately_10b,2024,down_diag,2.824791431,2.819347858,0.005443572999999979
tokens_approximately_10b,2024,down_none,2.824791431,2.818157911,0.006633519999999837
tokens_approximately_10b,2024,muon,2.824791431,2.814094067,0.010697363999999876
tokens_3p2506b,2025,newton_full,2.972780228,2.975738764,-0.002958535999999956
tokens_3p2506b,2025,down_diag,2.972780228,2.975100279,-0.0023200509999998786
tokens_3p2506b,2025,down_none,2.972780228,2.974188566,-0.0014083380000000645
tokens_3p2506b,2025,muon,2.972780228,2.969541788,0.0032384400000000646
tokens_6p9694b,2025,newton_full,2.865774155,2.863984823,0.0017893319999999768
tokens_6p9694b,2025,down_diag,2.865774155,2.863380432,0.0023937229999999587
tokens_6p9694b,2025,down_none,2.865774155,2.862840414,0.0029337410000001007
tokens_6p9694b,2025,muon,2.865774155,2.858516932,0.007257222999999868
tokens_approximately_10b,2025,newton_full,2.824293137,2.818570375,0.005722761999999992
tokens_approximately_10b,2025,down_diag,2.824293137,2.817902803,0.0063903340000002196
tokens_approximately_10b,2025,down_none,2.824293137,2.817942858,0.006350279000000292
tokens_approximately_10b,2025,muon,2.824293137,2.813876867,0.010416270000000338
tokens_3p2506b,2026,newton_full,2.972733021,2.976490021,-0.0037570000000002324
tokens_3p2506b,2026,down_diag,2.972733021,2.975924253,-0.003191232000000266
tokens_3p2506b,2026,down_none,2.972733021,2.974099874,-0.0013668530000003898
tokens_3p2506b,2026,muon,2.972733021,2.969549894,0.0031831269999997858
tokens_6p9694b,2026,newton_full,2.865483522,2.863923788,0.0015597339999997573
tokens_6p9694b,2026,down_diag,2.865483522,2.863300323,0.00218319900000008
tokens_6p9694b,2026,down_none,2.865483522,2.862262487,0.0032210349999997057
tokens_6p9694b,2026,muon,2.865483522,2.858440161,0.007043361000000026
tokens_approximately_10b,2026,newton_full,2.82476902,2.818972588,0.005796432000000351
tokens_approximately_10b,2026,down_diag,2.82476902,2.817095995,0.007673025000000333
tokens_approximately_10b,2026,down_none,2.82476902,2.817266226,0.00750279400000009
tokens_approximately_10b,2026,muon,2.82476902,2.814232588,0.010536432000000318
