method,endpoint_role,alpha,seed,run_name,initial_val_loss,final_val_loss,best_val_loss,tail5_val_loss_mean,normalized_val_auc,final_train_loss_step,train_time_s_descriptive_only,final_step_avg_ms_descriptive_only,max_adamw_lr,max_matrix_lr,peak_memory_mib,k_state_mib,optimizer_state_mib,quality_eligible,memory_eligible,timing_eligible,local_manifest_verified,source
alpha0,new_dense_alpha,0.0,2024,mainconf_r1_block_alpha_confirmatory_alpha0_seed2024_20260727T105514+0000,10.9462,3.2622,3.2622,3.27046,3.6160806451612904,3.3537,7564.297,1226.38,0.004,0.0004,39168.0,378.0,996.4746131896973,True,True,False,False,W&B confirmation export 2026-07-29
alpha0p25,new_dense_alpha,0.25,2024,mainconf_r1_block_alpha_confirmatory_alpha0p25_seed2024_20260727T105514+0000,10.9462,3.261,3.261,3.2692799999999997,3.6148645161290323,3.3535,7553.048,1224.55,0.004,0.0004,39168.0,378.0,996.4746131896973,True,True,False,False,W&B confirmation export 2026-07-29
alpha0p50,new_dense_alpha,0.5,2024,mainconf_r1_block_alpha_confirmatory_alpha0p50_seed2024_20260727T105514+0000,10.9462,3.2617,3.2617,3.2699399999999996,3.6148620967741936,3.3557,7569.582,1227.23,0.004,0.0004,39168.0,378.0,996.4746131896973,True,True,False,False,W&B confirmation export 2026-07-29
alpha0p75,new_dense_alpha,0.75,2024,mainconf_r1_block_alpha_confirmatory_alpha0p75_seed2024_20260727T105514+0000,10.9462,3.2615,3.2615,3.26978,3.6151701612903224,3.3524,7548.631,1223.84,0.004,0.0004,39168.0,378.0,996.4746131896973,True,True,False,False,W&B confirmation export 2026-07-29
block4,reused_dense_endpoint,1.0,2024,mainconf_official_r1_block4_seed2024_20260720T023049+0000,10.9462,3.263,3.263,3.2713399999999995,3.617296774193548,3.3521,7368.358,1194.61,0.004,0.0004,39168.0,378.0,996.4746131896972,True,True,False,True,matched official R1 multiseed analysis
alpha0,new_dense_alpha,0.0,2025,mainconf_r1_block_alpha_confirmatory_alpha0_seed2025_20260728T000933+0000,10.9869,3.2601,3.2601,3.26828,3.6131661290322583,3.3473,7552.373,1224.44,0.004,0.0004,39168.0,378.0,996.4746131896973,True,True,False,False,W&B confirmation export 2026-07-29
alpha0p25,new_dense_alpha,0.25,2025,mainconf_r1_block_alpha_confirmatory_alpha0p25_seed2025_20260728T000933+0000,10.9869,3.2598,3.2598,3.26802,3.6116008064516127,3.3523,7529.123,1220.67,0.004,0.0004,39168.0,378.0,996.4746131896973,True,True,False,False,W&B confirmation export 2026-07-29
alpha0p50,new_dense_alpha,0.5,2025,mainconf_r1_block_alpha_confirmatory_alpha0p50_seed2025_20260728T000933+0000,10.9869,3.2588,3.2588,3.26706,3.6108120967741937,3.3477,7543.468,1223.0,0.004,0.0004,39168.0,378.0,996.4746131896973,True,True,False,False,W&B confirmation export 2026-07-29
alpha0p75,new_dense_alpha,0.75,2025,mainconf_r1_block_alpha_confirmatory_alpha0p75_seed2025_20260728T000933+0000,10.9869,3.259,3.259,3.2672199999999996,3.6114540322580644,3.3492,7545.243,1223.29,0.004,0.0004,39168.0,378.0,996.4746131896973,True,True,False,False,W&B confirmation export 2026-07-29
block4,reused_dense_endpoint,1.0,2025,mainconf_official_r1_block4_seed2025_20260720T152121+0000,10.9869,3.2609,3.2609,3.26908,3.613564516129033,3.3498,7337.476,1189.6,0.004,0.0004,39168.0,378.0,996.4746131896972,True,True,False,True,matched official R1 multiseed analysis
alpha0,new_dense_alpha,0.0,2026,seed2026_existing_alpha0,10.979,3.2619,3.2619,3.2700400000000003,3.6162411290322583,3.3557,7536.337,1221.84,0.004,0.0004,39168.0,378.0,996.4746131896972,True,True,False,False,W&B export bundle 2026-07-23
alpha0p25,new_dense_alpha,0.25,2026,seed2026_existing_alpha0p25,10.979,3.2612,3.2612,3.26946,3.615074193548387,3.3521,7525.949,1220.16,0.004,0.0004,39168.0,378.0,996.4746131896972,True,True,False,False,W&B export bundle 2026-07-23
alpha0p50,new_dense_alpha,0.5,2026,seed2026_existing_alpha0p50,10.979,3.2611,3.2611,3.2694400000000003,3.615092741935485,3.3515,7533.499,1221.38,0.004,0.0004,39168.0,378.0,996.4746131896972,True,True,False,False,W&B export bundle 2026-07-23
alpha0p75,new_dense_alpha,0.75,2026,seed2026_existing_alpha0p75,10.979,3.2619,3.2619,3.27012,3.615616935483871,3.3522,7515.407,1218.45,0.004,0.0004,39168.0,378.0,996.4746131896972,True,True,False,False,W&B export bundle 2026-07-23
block4,reused_dense_endpoint,1.0,2026,seed2026_existing_block4,10.979,3.2627,3.2627,3.27102,3.617042741935485,3.3526,7442.325,1206.6,0.004,0.0004,39168.0,378.0,996.4746131896972,True,True,False,False,matched R1 seed2026 analysis snapshot
