check,passed,detail
wandb_export_2026-07-29T09_47_05.472+08_00.csv:nonempty,True,rows=311
wandb_export_2026-07-29T09_47_05.472+08_00.csv:headers,True,base_headers=8
wandb_export_2026-07-29T09_47_05.472+08_00.csv:one_metric,True,metrics=['lr/matrix']
wandb_export_2026-07-29T09_47_05.472+08_00.csv:known_metric,True,lr/matrix
wandb_export_2026-07-29T09_47_05.472+08_00.csv:2025:alpha0p75:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p75_seed2025_20260728T000933+0000
lr/matrix:2025:alpha0p75:finite,True,points=311
lr/matrix:2025:alpha0p75:min_max_mirror,True,points=311
lr/matrix:2025:alpha0p75:step_grid,True,observed=311;expected=311
wandb_export_2026-07-29T09_47_05.472+08_00.csv:2025:alpha0p50:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p50_seed2025_20260728T000933+0000
lr/matrix:2025:alpha0p50:finite,True,points=311
lr/matrix:2025:alpha0p50:min_max_mirror,True,points=311
lr/matrix:2025:alpha0p50:step_grid,True,observed=311;expected=311
wandb_export_2026-07-29T09_47_05.472+08_00.csv:2025:alpha0p25:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p25_seed2025_20260728T000933+0000
lr/matrix:2025:alpha0p25:finite,True,points=311
lr/matrix:2025:alpha0p25:min_max_mirror,True,points=311
lr/matrix:2025:alpha0p25:step_grid,True,observed=311;expected=311
wandb_export_2026-07-29T09_47_05.472+08_00.csv:2025:alpha0:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0_seed2025_20260728T000933+0000
lr/matrix:2025:alpha0:finite,True,points=311
lr/matrix:2025:alpha0:min_max_mirror,True,points=311
lr/matrix:2025:alpha0:step_grid,True,observed=311;expected=311
wandb_export_2026-07-29T09_47_05.472+08_00.csv:2024:alpha0p75:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p75_seed2024_20260727T105514+0000
lr/matrix:2024:alpha0p75:finite,True,points=311
lr/matrix:2024:alpha0p75:min_max_mirror,True,points=311
lr/matrix:2024:alpha0p75:step_grid,True,observed=311;expected=311
wandb_export_2026-07-29T09_47_05.472+08_00.csv:2024:alpha0p50:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p50_seed2024_20260727T105514+0000
lr/matrix:2024:alpha0p50:finite,True,points=311
lr/matrix:2024:alpha0p50:min_max_mirror,True,points=311
lr/matrix:2024:alpha0p50:step_grid,True,observed=311;expected=311
wandb_export_2026-07-29T09_47_05.472+08_00.csv:2024:alpha0p25:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p25_seed2024_20260727T105514+0000
lr/matrix:2024:alpha0p25:finite,True,points=311
lr/matrix:2024:alpha0p25:min_max_mirror,True,points=311
lr/matrix:2024:alpha0p25:step_grid,True,observed=311;expected=311
wandb_export_2026-07-29T09_47_05.472+08_00.csv:2024:alpha0:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0_seed2024_20260727T105514+0000
lr/matrix:2024:alpha0:finite,True,points=311
lr/matrix:2024:alpha0:min_max_mirror,True,points=311
lr/matrix:2024:alpha0:step_grid,True,observed=311;expected=311
lr/matrix:identity_grid,True,"observed=[(2024, 'alpha0'), (2024, 'alpha0p25'), (2024, 'alpha0p50'), (2024, 'alpha0p75'), (2025, 'alpha0'), (2025, 'alpha0p25'), (2025, 'alpha0p50'), (2025, 'alpha0p75')]"
wandb_export_2026-07-29T09_47_09.447+08_00.csv:nonempty,True,rows=311
wandb_export_2026-07-29T09_47_09.447+08_00.csv:headers,True,base_headers=8
wandb_export_2026-07-29T09_47_09.447+08_00.csv:one_metric,True,metrics=['lr/adamw']
wandb_export_2026-07-29T09_47_09.447+08_00.csv:known_metric,True,lr/adamw
wandb_export_2026-07-29T09_47_09.447+08_00.csv:2025:alpha0p75:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p75_seed2025_20260728T000933+0000
lr/adamw:2025:alpha0p75:finite,True,points=311
lr/adamw:2025:alpha0p75:min_max_mirror,True,points=311
lr/adamw:2025:alpha0p75:step_grid,True,observed=311;expected=311
wandb_export_2026-07-29T09_47_09.447+08_00.csv:2025:alpha0p50:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p50_seed2025_20260728T000933+0000
lr/adamw:2025:alpha0p50:finite,True,points=311
lr/adamw:2025:alpha0p50:min_max_mirror,True,points=311
lr/adamw:2025:alpha0p50:step_grid,True,observed=311;expected=311
wandb_export_2026-07-29T09_47_09.447+08_00.csv:2025:alpha0p25:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p25_seed2025_20260728T000933+0000
lr/adamw:2025:alpha0p25:finite,True,points=311
lr/adamw:2025:alpha0p25:min_max_mirror,True,points=311
lr/adamw:2025:alpha0p25:step_grid,True,observed=311;expected=311
wandb_export_2026-07-29T09_47_09.447+08_00.csv:2025:alpha0:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0_seed2025_20260728T000933+0000
lr/adamw:2025:alpha0:finite,True,points=311
lr/adamw:2025:alpha0:min_max_mirror,True,points=311
lr/adamw:2025:alpha0:step_grid,True,observed=311;expected=311
wandb_export_2026-07-29T09_47_09.447+08_00.csv:2024:alpha0p75:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p75_seed2024_20260727T105514+0000
lr/adamw:2024:alpha0p75:finite,True,points=311
lr/adamw:2024:alpha0p75:min_max_mirror,True,points=311
lr/adamw:2024:alpha0p75:step_grid,True,observed=311;expected=311
wandb_export_2026-07-29T09_47_09.447+08_00.csv:2024:alpha0p50:run_name_consistent,True,mainconf_r1_block_alpha_confirmatory_alpha0p50_seed2024_20260727T105514+0000
lr/adamw:2024:alpha0p50:finite,True,points=311
lr/adamw:2024:alpha0p50:min_max_mirror,True,points=311
