method,alpha,seed,run_name,run_stamp,initial_val_loss,final_val_loss,best_val_loss,best_val_step,tail5_val_loss_mean,normalized_val_auc,final_train_loss_step,train_time_s_descriptive_only,final_step_avg_ms_descriptive_only,max_adamw_lr,max_matrix_lr,peak_memory_mib,k_state_mib,optimizer_state_mib,quality_eligible,memory_eligible,timing_eligible,local_manifest_verified,source
fullalpha0,0.0,2024,mainconf_r1_dense_full_alpha_confirmatory_fullalpha0_seed2024_20260727T110129+0000,20260727T110129+0000,10.9462,3.2616,3.2616,6200,3.26984,3.615701612903227,3.3553,7903.261,1281.33,0.004,0.0004,40788.0,1026.0,1644.4746131896973,True,True,False,False,W&B confirmation export 2026-07-29
fullalpha0p25,0.25,2024,mainconf_r1_dense_full_alpha_confirmatory_fullalpha0p25_seed2024_20260727T110129+0000,20260727T110129+0000,10.9462,3.261,3.261,6200,3.26924,3.614016129032259,3.3543,7884.03,1278.22,0.004,0.0004,40788.0,1026.0,1644.4746131896973,True,True,False,False,W&B confirmation export 2026-07-29
fullalpha0p50,0.5,2024,mainconf_r1_dense_full_alpha_confirmatory_fullalpha0p50_seed2024_20260727T110129+0000,20260727T110129+0000,10.9462,3.2605,3.2605,6200,3.2688800000000002,3.6137653225806448,3.3487,7915.544,1283.32,0.004,0.0004,40788.0,1026.0,1644.4746131896973,True,True,False,False,W&B confirmation export 2026-07-29
fullalpha0p75,0.75,2024,mainconf_r1_dense_full_alpha_confirmatory_fullalpha0p75_seed2024_20260727T110129+0000,20260727T110129+0000,10.9462,3.2613,3.2613,6200,3.2696199999999997,3.614908870967742,3.3513,7892.709,1279.62,0.004,0.0004,40788.0,1026.0,1644.4746131896973,True,True,False,False,W&B confirmation export 2026-07-29
fullalpha1,1.0,2024,mainconf_r1_dense_full_alpha_confirmatory_fullalpha1_seed2024_20260727T110129+0000,20260727T110129+0000,10.9462,3.2627,3.2627,6200,3.27104,3.617270161290323,3.3527,7892.391,1279.57,0.004,0.0004,40788.0,1026.0,1644.4746131896973,True,True,False,False,W&B confirmation export 2026-07-29
fullalpha0,0.0,2025,mainconf_r1_dense_full_alpha_confirmatory_fullalpha0_seed2025_20260728T040112+0000,20260728T040112+0000,10.9869,3.26,3.26,6200,3.2682199999999995,3.613036290322581,3.3495,7896.753,1280.28,0.004,0.0004,40788.0,1026.0,1644.4746131896973,True,True,False,False,W&B confirmation export 2026-07-29
fullalpha0p25,0.25,2025,mainconf_r1_dense_full_alpha_confirmatory_fullalpha0p25_seed2025_20260728T040112+0000,20260728T040112+0000,10.9869,3.2583,3.2583,6200,3.2665800000000003,3.6101258064516135,3.3477,7903.308,1281.34,0.004,0.0004,40788.0,1026.0,1644.4746131896973,True,True,False,False,W&B confirmation export 2026-07-29
fullalpha0p50,0.5,2025,mainconf_r1_dense_full_alpha_confirmatory_fullalpha0p50_seed2025_20260728T040112+0000,20260728T040112+0000,10.9869,3.2585,3.2585,6200,3.26678,3.6106451612903228,3.3487,7903.018,1281.29,0.004,0.0004,40788.0,1026.0,1644.4746131896973,True,True,False,False,W&B confirmation export 2026-07-29
fullalpha0p75,0.75,2025,mainconf_r1_dense_full_alpha_confirmatory_fullalpha0p75_seed2025_20260728T040112+0000,20260728T040112+0000,10.9869,3.2593,3.2593,6200,3.26758,3.6114887096774186,3.3464,7899.847,1280.78,0.004,0.0004,40788.0,1026.0,1644.4746131896973,True,True,False,False,W&B confirmation export 2026-07-29
fullalpha1,1.0,2025,mainconf_r1_dense_full_alpha_confirmatory_fullalpha1_seed2025_20260728T040112+0000,20260728T040112+0000,10.9869,3.2608,3.2608,6200,3.2691000000000003,3.6135427419354844,3.3491,7857.468,1273.91,0.004,0.0004,40788.0,1026.0,1644.4746131896973,True,True,False,False,W&B confirmation export 2026-07-29
fullalpha0,0.0,2026,mainconf_r1_dense_full_alpha_fullalpha0_seed2026_20260723T023331+0000,20260723T023331+0000,10.979,3.2621,3.2621,6200,3.27038,3.616820161290324,3.3502,7925.601,1284.95,0.004,0.0004,40788.0,1026.0,1644.4746131896973,True,True,False,False,Previously audited seed2026 W&B export
fullalpha0p25,0.25,2026,mainconf_r1_dense_full_alpha_fullalpha0p25_seed2026_20260723T023331+0000,20260723T023331+0000,10.979,3.261,3.261,6200,3.26932,3.614425806451614,3.3527,7938.512,1287.05,0.004,0.0004,40788.0,1026.0,1644.4746131896973,True,True,False,False,Previously audited seed2026 W&B export
fullalpha0p50,0.5,2026,mainconf_r1_dense_full_alpha_fullalpha0p50_seed2026_20260723T023331+0000,20260723T023331+0000,10.979,3.2602,3.2602,6200,3.26858,3.613733870967742,3.3552,7937.098,1286.82,0.004,0.0004,40788.0,1026.0,1644.4746131896973,True,True,False,False,Previously audited seed2026 W&B export
fullalpha0p75,0.75,2026,mainconf_r1_dense_full_alpha_fullalpha0p75_seed2026_20260723T023331+0000,20260723T023331+0000,10.979,3.2612,3.2612,6200,3.26948,3.614740322580645,3.3553,7930.708,1285.78,0.004,0.0004,40788.0,1026.0,1644.4746131896973,True,True,False,False,Previously audited seed2026 W&B export
fullalpha1,1.0,2026,mainconf_r1_dense_full_alpha_fullalpha1_seed2026_20260723T023331+0000,20260723T023331+0000,10.979,3.263,3.263,6200,3.27124,3.617106451612903,3.3555,7923.587,1284.63,0.004,0.0004,40788.0,1026.0,1644.4746131896973,True,True,False,False,Previously audited seed2026 W&B export
