seed,method,alpha,refresh_count,norm_ratio_min,norm_ratio_max,norm_ratio_final_step6143,cosine_min,cosine_max,cosine_final_step6143
2024,fullalpha0,0.0,7,1.0,1.0,1.0,0.999999881,1.00000012,1.0
2024,fullalpha0p25,0.25,7,0.202853888,0.26568535,0.202853888,0.222117767,0.385764301,0.223127469
2024,fullalpha0p50,0.5,7,0.189335689,0.319997996,0.189335689,0.177688241,0.311639428,0.177688241
2024,fullalpha0p75,0.75,7,0.213531822,0.317409366,0.213531822,0.168085992,0.266248345,0.168085992
2024,fullalpha1,1.0,7,0.298095465,0.458880693,0.340092063,0.166242138,0.288759649,0.166242138
2025,fullalpha0,0.0,7,1.0,1.0,1.0,0.99999994,1.00000012,0.99999994
2025,fullalpha0p25,0.25,7,0.167042628,0.243353099,0.178192243,0.178952634,0.364381909,0.199529752
2025,fullalpha0p50,0.5,7,0.189245388,0.316246033,0.199979544,0.174216032,0.304061413,0.193005115
2025,fullalpha0p75,0.75,7,0.20605424,0.352842927,0.227728665,0.169837669,0.287388355,0.176337078
2025,fullalpha1,1.0,7,0.255492926,0.428004742,0.292582154,0.144725248,0.268085927,0.144725248
