seed,tier,method,alpha,run_name,status,returncode,final_val_step,final_val_loss,validation_points,train_points,diagnostic_rows,cholesky_failures,derived_script_sha256,wandb_status,wandb_run_id,quality_usable,memory_usable,timing_usable
2024,smoke,fullalpha0,0.0,mainconf_r1_dense_full_alpha_confirmatory_fullalpha0_exact_shape_smoke34_20260727T104352+0000,completed_valid_smoke,0,34,6.0883,2,34,2,0,c6c0bdb83b10ef7236e884e63e35ee1f7b0124436cf8d61daba9c616b8ce8dd0,disabled_for_numerical_smoke,,True,True,False
2024,smoke,fullalpha0p25,0.25,mainconf_r1_dense_full_alpha_confirmatory_fullalpha0p25_exact_shape_smoke34_20260727T104352+0000,completed_valid_smoke,0,34,6.0823,2,34,2,0,3101e9163e419e42fecb88170950299db1ec529785b5b2fb2bb422aa00a70a03,disabled_for_numerical_smoke,,True,True,False
2024,smoke,fullalpha0p50,0.5,mainconf_r1_dense_full_alpha_confirmatory_fullalpha0p50_exact_shape_smoke34_20260727T104352+0000,completed_valid_smoke,0,34,6.0812,2,34,2,0,5fb6da3556d0ad8c135f5e63b818aeeb11ca62f5ab863b3906951b8ec8e30461,disabled_for_numerical_smoke,,True,True,False
2024,smoke,fullalpha0p75,0.75,mainconf_r1_dense_full_alpha_confirmatory_fullalpha0p75_exact_shape_smoke34_20260727T104352+0000,completed_valid_smoke,0,34,6.0813,2,34,2,0,b905b109ef63599c8002c1dcf6816ca9ee8dc752eea57f7821705697dbfdc5fb,disabled_for_numerical_smoke,,True,True,False
2024,smoke,fullalpha1,1.0,mainconf_r1_dense_full_alpha_confirmatory_fullalpha1_exact_shape_smoke34_20260727T104352+0000,completed_valid_smoke,0,34,6.0813,2,34,2,0,acfa2668151d7d85493f1b5e533ec4777b6fb92d01dd508df468942548808522,disabled_for_numerical_smoke,,True,True,False
2024,formal,fullalpha0,0.0,mainconf_r1_dense_full_alpha_confirmatory_fullalpha0_seed2024_20260727T110129+0000,completed_valid,0,6200,3.2616,63,6200,14,0,c6c0bdb83b10ef7236e884e63e35ee1f7b0124436cf8d61daba9c616b8ce8dd0,uploaded,9a2c75f63a25,True,True,False
2024,formal,fullalpha0p25,0.25,mainconf_r1_dense_full_alpha_confirmatory_fullalpha0p25_seed2024_20260727T110129+0000,completed_valid,0,6200,3.261,63,6200,14,0,3101e9163e419e42fecb88170950299db1ec529785b5b2fb2bb422aa00a70a03,uploaded,8f7969359d88,True,True,False
2024,formal,fullalpha0p50,0.5,mainconf_r1_dense_full_alpha_confirmatory_fullalpha0p50_seed2024_20260727T110129+0000,completed_valid,0,6200,3.2605,63,6200,14,0,5fb6da3556d0ad8c135f5e63b818aeeb11ca62f5ab863b3906951b8ec8e30461,uploaded,defc6890b5fe,True,True,False
2024,formal,fullalpha0p75,0.75,mainconf_r1_dense_full_alpha_confirmatory_fullalpha0p75_seed2024_20260727T110129+0000,completed_valid,0,6200,3.2613,63,6200,14,0,b905b109ef63599c8002c1dcf6816ca9ee8dc752eea57f7821705697dbfdc5fb,uploaded,ad6a715aa0b1,True,True,False
2024,formal,fullalpha1,1.0,mainconf_r1_dense_full_alpha_confirmatory_fullalpha1_seed2024_20260727T110129+0000,completed_valid,0,6200,3.2627,63,6200,14,0,acfa2668151d7d85493f1b5e533ec4777b6fb92d01dd508df468942548808522,uploaded,8b0ef54d0a4e,True,True,False
