seed,alpha,dense_full_method,block_method,dense_full_minus_block_final,dense_full_minus_block_tail5,dense_full_minus_block_auc,sign_concordant_across_final_tail5_auc,absolute_final_delta_ge_0p002,material_topology_effect
2024,0.0,fullalpha0,alpha0,-0.0005999999999999339,-0.0006200000000000649,-0.0003790322580625727,True,False,False
2024,0.25,fullalpha0p25,alpha0p25,0.0,-4.000000000026205e-05,-0.000848387096772818,True,False,False
2024,0.5,fullalpha0p50,alpha0p50,-0.0011999999999998678,-0.0010599999999998388,-0.0010967741935488107,True,False,False
2024,0.75,fullalpha0p75,alpha0p75,-0.00019999999999997797,-0.00016000000000016001,-0.00026129032257937723,True,False,False
2025,0.0,fullalpha0,alpha0,-0.00010000000000021103,-6.000000000039307e-05,-0.00012983870967664402,True,False,False
2025,0.25,fullalpha0p25,alpha0p25,-0.0014999999999996128,-0.0014399999999996638,-0.001474999999999227,True,False,False
2025,0.5,fullalpha0p50,alpha0p50,-0.0002999999999997449,-0.000280000000000058,-0.0001669354838709225,True,False,False
2025,0.75,fullalpha0p75,alpha0p75,0.000300000000000189,0.000360000000000138,3.467741935470059e-05,True,False,False
2026,0.0,fullalpha0,alpha0,0.00020000000000042206,0.0003399999999995629,0.0005790322580661034,True,False,False
2026,0.25,fullalpha0p25,alpha0p25,-0.00019999999999997797,-0.000140000000000029,-0.00064838709677284,True,False,False
2026,0.5,fullalpha0p50,alpha0p50,-0.0008999999999996788,-0.000860000000000305,-0.0013588709677430089,True,False,False
2026,0.75,fullalpha0p75,alpha0p75,-0.0006999999999997009,-0.0006399999999997519,-0.0008766129032258263,True,False,False
