role,original_path,retained_path,sha256,bytes
wandb_export:lr/adamw,PRIVATE_PATH_REDACTED,raw_wandb_exports\wandb_export_2026-07-29T10_05_12.280+08_00.csv,faf1f3625fa06f0dba2c6ffd34f2d8cfd760b5307b54ce42b4e4dcfc222bf614,118351
wandb_export:lr/matrix,PRIVATE_PATH_REDACTED,raw_wandb_exports\wandb_export_2026-07-29T10_05_07.020+08_00.csv,5f566100e2b2e6ac8e562ebbd9dbfa810ae98968d42df39cf168e89c187eb9ae,127081
wandb_export:memory/k_state_mib,PRIVATE_PATH_REDACTED,raw_wandb_exports\wandb_export_2026-07-29T10_05_26.342+08_00.csv,7b7bd42770547aaf28e9880f83af80688894eb71d9064deff765b71dd1543f44,3557
wandb_export:memory/optimizer_state_mib,PRIVATE_PATH_REDACTED,raw_wandb_exports\wandb_export_2026-07-29T10_05_22.023+08_00.csv,522acb776c0784bdfed80ae6a373ef4297a0fd0694b650498f08fd5e71bfa370,4217
wandb_export:memory/peak_allocated_mib,PRIVATE_PATH_REDACTED,raw_wandb_exports\wandb_export_2026-07-29T10_05_17.432+08_00.csv,2627dd5047cb0158863392c3e037963dbead0b59f9dc20622ea0d309bc5cd4b7,3797
wandb_export:performance/step_avg_ms,PRIVATE_PATH_REDACTED,raw_wandb_exports\wandb_export_2026-07-29T10_05_30.956+08_00.csv,394e121da2f3f4a0e09fce287c842f93574edf520c6c4454e3632836befaf287,97267
wandb_export:time/train_s,PRIVATE_PATH_REDACTED,raw_wandb_exports\wandb_export_2026-07-29T10_05_37.966+08_00.csv,7bfa37574fe47724b5e1c1bea159835a2cae15b9f355270bae2a084e9ea12f2f,105469
wandb_export:train/loss_step,PRIVATE_PATH_REDACTED,raw_wandb_exports\wandb_export_2026-07-29T10_05_41.810+08_00.csv,2fd68b42b9d6f62f4285544fe216530669ef1d2bf2bce59f2215997788245c1c,88134
wandb_export:val/loss,PRIVATE_PATH_REDACTED,raw_wandb_exports\wandb_export_2026-07-29T10_05_48.837+08_00.csv,ab1147b88a4f6c6be64c9689b62ef39040d534a3c519decb467b56462c25540b,20323
seed2026_summary,PRIVATE_PATH_REDACTED,matched_sources\seed2026_summary.csv,9b95238436901c915e3322926e9372f08cd87418431d1d54e5eed35693c53f3b,1753
seed2026_checks,PRIVATE_PATH_REDACTED,matched_sources\seed2026_checks.csv,0c422bdb8d7aab60762bfdc4325ec564038efefc598bf6ae76894ce82f44079a,1942
block_alpha_curve,PRIVATE_PATH_REDACTED,matched_sources\block_alpha_curve.csv,b65a0c0511d1fff6b184e80de7e352cd0f071d5be492e993eb2ff05c38ed3a03,4431
official_diag_summary,PRIVATE_PATH_REDACTED,matched_sources\official_diag_summary.csv,ab91afd37db5559c031ed1ffac5441b57856386e62175d94f3f55b3f2568dcc3,3086
