environment,endpoint,rule,mean_diag_minus_none,sd_diag_minus_none,negative_seed_count,mean_interaction_vs_all
OWT,step4500,early,-0.0136550267537434,0.007213578350459,3,0.0002749760945635
OWT,step4500,center,-0.006827513376872,0.0042996740063148,3,0.0071024894714349
OWT,step4500,late,-0.0096255938212076,0.0023602246886935,3,0.0043044090270993
OWT,step4500,edge,-0.0185077985127769,0.0017213882391589,3,-0.0045777956644699
OWT,step4500,all,-0.0139300028483069,0.00105672862973,3,0.0
WikiText-103,step4500,early,-0.0181617736816409,0.0066182492570168,3,-0.002813339233399
WikiText-103,step4500,center,-0.0114720662434895,0.0092358168757968,3,0.0038763682047523
WikiText-103,step4500,late,-0.0086398919423422,0.0095012146477348,2,0.0067085425058996
WikiText-103,step4500,edge,-0.020360072453817,0.0058979844126093,3,-0.0050116380055751
WikiText-103,step4500,all,-0.0153484344482418,0.0061563751296787,3,0.0
official R1,step6200,early,-0.004866666666666723,0.0004163331998932518,3,0.000500000000000019
official R1,step6200,center,-0.0038333333333334294,0.00011547005383778424,3,0.0015333333333333126
official R1,step6200,late,-0.0025000000000000946,0.000264575131106346,3,0.002866666666666647
official R1,step6200,edge,-0.0032999999999998586,0.0005291502622128599,3,0.002066666666666883
official R1,step6200,all,-0.005366666666666742,0.0002886751345947811,3,0.0
