check,passed,detail
batch_completed,True,completed
batch_failures_empty,True,[]
exact_six_jobs,True,6
exact_seed_shard_grid,True,"[(2024, 0, 'completed'), (2024, 1, 'completed'), (2025, 0, 'completed'), (2025, 1, 'completed'), (2026, 0, 'completed'), (2026, 1, 'completed')]"
controller_training_split,True,"{'controller_python': 'PRIVATE_PATH_REDACTED', 'training_python': 'PRIVATE_PATH_REDACTED', 'interpreters_separate': True, 'wandb_mode': 'online', 'wandb_version': '0.28.0'}"
exact_36_formal_runs,True,"{'observed': 36, 'missing': [], 'extra': []}"
six_smoke_manifests_passed,True,"[{'seed': 2024, 'shard': 0, 'smoke_status': 'completed_valid_smoke', 'formal_status': 'completed_valid', 'formal_runs': 6, 'formal_failures': 0, 'wandb_complete': True, 'init_identical': True}, {'seed': 2024, 'shard': 1, 'smoke_status': 'completed_valid_smoke', 'formal_status': 'completed_valid', 'formal_runs': 6, 'formal_failures': 0, 'wandb_complete': True, 'init_identical': True}, {'seed': 2025, 'shard': 0, 'smoke_status': 'completed_valid_smoke', 'formal_status': 'completed_valid', 'formal_runs': 6, 'formal_failures': 0, 'wandb_complete': True, 'init_identical': True}, {'seed': 2025, 'shard': 1, 'smoke_status': 'completed_valid_smoke', 'formal_status': 'completed_valid', 'formal_runs': 6, 'formal_failures': 0, 'wandb_complete': True, 'init_identical': True}, {'seed': 2026, 'shard': 0, 'smoke_status': 'completed_valid_smoke', 'formal_status': 'completed_valid', 'formal_runs': 6, 'formal_failures': 0, 'wandb_complete': True, 'init_identical': True}, {'seed': 2026, 'shard': 1, 'smoke_status': 'completed_valid_smoke', 'formal_status': 'completed_valid', 'formal_runs': 6, 'formal_failures': 0, 'wandb_complete': True, 'init_identical': True}]"
six_formal_manifests_passed,True,"[{'seed': 2024, 'shard': 0, 'smoke_status': 'completed_valid_smoke', 'formal_status': 'completed_valid', 'formal_runs': 6, 'formal_failures': 0, 'wandb_complete': True, 'init_identical': True}, {'seed': 2024, 'shard': 1, 'smoke_status': 'completed_valid_smoke', 'formal_status': 'completed_valid', 'formal_runs': 6, 'formal_failures': 0, 'wandb_complete': True, 'init_identical': True}, {'seed': 2025, 'shard': 0, 'smoke_status': 'completed_valid_smoke', 'formal_status': 'completed_valid', 'formal_runs': 6, 'formal_failures': 0, 'wandb_complete': True, 'init_identical': True}, {'seed': 2025, 'shard': 1, 'smoke_status': 'completed_valid_smoke', 'formal_status': 'completed_valid', 'formal_runs': 6, 'formal_failures': 0, 'wandb_complete': True, 'init_identical': True}, {'seed': 2026, 'shard': 0, 'smoke_status': 'completed_valid_smoke', 'formal_status': 'completed_valid', 'formal_runs': 6, 'formal_failures': 0, 'wandb_complete': True, 'init_identical': True}, {'seed': 2026, 'shard': 1, 'smoke_status': 'completed_valid_smoke', 'formal_status': 'completed_valid', 'formal_runs': 6, 'formal_failures': 0, 'wandb_complete': True, 'init_identical': True}]"
six_formal_wandb_complete,True,"[{'seed': 2024, 'shard': 0, 'smoke_status': 'completed_valid_smoke', 'formal_status': 'completed_valid', 'formal_runs': 6, 'formal_failures': 0, 'wandb_complete': True, 'init_identical': True}, {'seed': 2024, 'shard': 1, 'smoke_status': 'completed_valid_smoke', 'formal_status': 'completed_valid', 'formal_runs': 6, 'formal_failures': 0, 'wandb_complete': True, 'init_identical': True}, {'seed': 2025, 'shard': 0, 'smoke_status': 'completed_valid_smoke', 'formal_status': 'completed_valid', 'formal_runs': 6, 'formal_failures': 0, 'wandb_complete': True, 'init_identical': True}, {'seed': 2025, 'shard': 1, 'smoke_status': 'completed_valid_smoke', 'formal_status': 'completed_valid', 'formal_runs': 6, 'formal_failures': 0, 'wandb_complete': True, 'init_identical': True}, {'seed': 2026, 'shard': 0, 'smoke_status': 'completed_valid_smoke', 'formal_status': 'completed_valid', 'formal_runs': 6, 'formal_failures': 0, 'wandb_complete': True, 'init_identical': True}, {'seed': 2026, 'shard': 1, 'smoke_status': 'completed_valid_smoke', 'formal_status': 'completed_valid', 'formal_runs': 6, 'formal_failures': 0, 'wandb_complete': True, 'init_identical': True}]"
formal_init_fingerprints_identical,True,"[{'seed': 2024, 'shard': 0, 'smoke_status': 'completed_valid_smoke', 'formal_status': 'completed_valid', 'formal_runs': 6, 'formal_failures': 0, 'wandb_complete': True, 'init_identical': True}, {'seed': 2024, 'shard': 1, 'smoke_status': 'completed_valid_smoke', 'formal_status': 'completed_valid', 'formal_runs': 6, 'formal_failures': 0, 'wandb_complete': True, 'init_identical': True}, {'seed': 2025, 'shard': 0, 'smoke_status': 'completed_valid_smoke', 'formal_status': 'completed_valid', 'formal_runs': 6, 'formal_failures': 0, 'wandb_complete': True, 'init_identical': True}, {'seed': 2025, 'shard': 1, 'smoke_status': 'completed_valid_smoke', 'formal_status': 'completed_valid', 'formal_runs': 6, 'formal_failures': 0, 'wandb_complete': True, 'init_identical': True}, {'seed': 2026, 'shard': 0, 'smoke_status': 'completed_valid_smoke', 'formal_status': 'completed_valid', 'formal_runs': 6, 'formal_failures': 0, 'wandb_complete': True, 'init_identical': True}, {'seed': 2026, 'shard': 1, 'smoke_status': 'completed_valid_smoke', 'formal_status': 'completed_valid', 'formal_runs': 6, 'formal_failures': 0, 'wandb_complete': True, 'init_identical': True}]"
