method,method_role,cproj_k_mode,controlled_seed,init_sha256,base_learning_rate,matrix_learning_rate,final_val_step,final_val_loss,best_val_step,best_val_loss,final_train_step,final_train_loss,val_curve_mean,official_train_time_s,timed_updates,timed_tokens,timed_tokens_per_s,peak_memory_allocated_mib,k_cov_bytes,k_inv_bytes,k_state_bytes,activation_stat_bytes,precond_workspace_bytes,total_precond_bytes,optimizer_state_bytes,model_parameter_bytes,checkpoint_bytes,validation_points,train_points,evidence_profile,formal_evidence,evidence_valid,val_loss_step_1000,val_loss_step_3000,val_loss_step_4400,val_loss_step_6200,step_to_val_loss_3p6,tokens_to_val_loss_3p6,train_time_s_to_val_loss_3p6,step_to_val_loss_3p5,tokens_to_val_loss_3p5,train_time_s_to_val_loss_3p5,step_to_val_loss_3p4,tokens_to_val_loss_3p4,train_time_s_to_val_loss_3p4,step_to_val_loss_3p3,tokens_to_val_loss_3p3,train_time_s_to_val_loss_3p3,quality_usable,memory_usable,timing_usable,reason,run_name,wrapper_wall_elapsed_s,official_log_path,checkpoint_path,derived_script_sha256,r1_depth_contract,depth_rule,selected_cproj_k_mode,selected_cproj_layers,unselected_cproj_k_mode,seed,tail5_val_loss,normalized_val_auc,run_manifest_path,metrics_path,kind,rule,mode
block4,matched_official_block4_anchor,block4,2024,dcd2b4aaa59b03d26ca117c77e518cd588fa907991f73a386629d058431e6176,0.004,0.0004,6200,3.2625,6200,3.2625,6200,3.352,3.6170524193548395,7427.154,6168,3233808384,435403.4377097876,39168,198180864,198180864,396361728,198181056,1274019840,1868562624,1044879364,494128128,0,63,6200,formal_no_checkpoint,True,True,3.7235,3.4597,3.3948,3.2625,1600,838860800,1887.528,2500,1310720000,2971.517,4300,2254438400,5139.009,5600,2936012800,6704.483,True,True,False,R1 depth is a quality/mechanism experiment; multiple physical GPUs may train concurrently on the same node,mainconf_r1_depth_kmode_block4_seed2024_20260806T104711+0000,11555.979738919064,PRIVATE_PATH_REDACTED,,d4368715bb64d6ad89509876c4d7f28773fa4dd567accca09405ff34e74220f5,"{'rules': {'early': [0, 1, 2, 3, 4, 5, 6, 7], 'center': [2, 3, 4, 5, 6, 7, 8, 9], 'late': [4, 5, 6, 7, 8, 9, 10, 11], 'edge': [0, 1, 2, 3, 8, 9, 10, 11], 'all': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]}, 'selected_modes': ['none', 'diag'], 'unselected_cproj_mode': 'block4', 'anchors': ['block4', 'muon'], 'seeds': [2024, 2025, 2026], 'primary_endpoint': 'validation loss at step 6200', 'primary_contrast': 'within-seed, within-rule diag minus none', 'secondary_endpoints': ['tail-5 validation mean', 'normalized validation AUC', 'K-state bytes', 'optimizer-state bytes', 'peak allocated memory'], 'checkpoint_policy': 'disabled; approximately 10 GiB per run avoided', 'timing_usable': False}",,,,,2024,3.2708199999999996,3.617052419354839,results\seed2024_shard1\20260806T104711+0000_formal_seed2024\mainconf_r1_depth_kmode_block4_seed2024_20260806T104711+0000\run_manifest.json,results\seed2024_shard1\20260806T104711+0000_formal_seed2024\mainconf_r1_depth_kmode_block4_seed2024_20260806T104711+0000\r1_metrics.csv,anchor,anchor,block4
muon,matched_official_muon_anchor,muon,2024,dcd2b4aaa59b03d26ca117c77e518cd588fa907991f73a386629d058431e6176,0.0036,0.00036,6200,3.2776,6200,3.2776,6200,3.3701,3.6335177419354836,7292.378,6168,3233808384,443450.46074133844,37703,0,0,0,0,0,0,648517636,494128128,0,63,6200,formal_no_checkpoint,True,True,3.7429,3.4799,3.4152,3.2776,1700,891289600,1975.657,2700,1415577600,3161.19,4600,2411724800,5409.193,5800,3040870400,6821.39,True,True,False,R1 depth is a quality/mechanism experiment; multiple physical GPUs may train concurrently on the same node,mainconf_r1_depth_kmode_muon_seed2024_20260806T104711+0000,11427.164913123474,PRIVATE_PATH_REDACTED,,4ceb0c921e9ed1bfd992aa141f7c7b1c447fde753c7f00e8a3ebe3a1165788ea,"{'rules': {'early': [0, 1, 2, 3, 4, 5, 6, 7], 'center': [2, 3, 4, 5, 6, 7, 8, 9], 'late': [4, 5, 6, 7, 8, 9, 10, 11], 'edge': [0, 1, 2, 3, 8, 9, 10, 11], 'all': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]}, 'selected_modes': ['none', 'diag'], 'unselected_cproj_mode': 'block4', 'anchors': ['block4', 'muon'], 'seeds': [2024, 2025, 2026], 'primary_endpoint': 'validation loss at step 6200', 'primary_contrast': 'within-seed, within-rule diag minus none', 'secondary_endpoints': ['tail-5 validation mean', 'normalized validation AUC', 'K-state bytes', 'optimizer-state bytes', 'peak allocated memory'], 'checkpoint_policy': 'disabled; approximately 10 GiB per run avoided', 'timing_usable': False}",,,,,2024,3.2862,3.6335177419354845,results\seed2024_shard1\20260806T104711+0000_formal_seed2024\mainconf_r1_depth_kmode_muon_seed2024_20260806T104711+0000\run_manifest.json,results\seed2024_shard1\20260806T104711+0000_formal_seed2024\mainconf_r1_depth_kmode_muon_seed2024_20260806T104711+0000\r1_metrics.csv,anchor,anchor,muon
all_diag,"depth_rule=all;selected_layers=0,1,2,3,4,5,6,7,8,9,10,11;selected_mode=diag;unselected_mode=block4",diag,2024,dcd2b4aaa59b03d26ca117c77e518cd588fa907991f73a386629d058431e6176,0.004,0.0004,6200,3.2617,6200,3.2617,6200,3.3533,3.6157298387096772,7410.583,6168,3233808384,436377.0548147157,38304,85082112,85082112,170164224,85082304,707788800,963035328,818681860,494128128,0,63,6200,formal_no_checkpoint,True,True,3.7215,3.4577,3.3922,3.2617,1600,838860800,1883.87,2400,1258291200,2845.144,4200,2202009600,5008.273,5600,2936012800,6690.266,True,True,False,R1 depth is a quality/mechanism experiment; multiple physical GPUs may train concurrently on the same node,mainconf_r1_depth_kmode_all_diag_seed2024_20260806T104711+0000,11536.087085822597,PRIVATE_PATH_REDACTED,,99f649d7e859362cde29a7ea73b15b77550ebf17fe7a14ae1ae4c6397e11df67,"{'rules': {'early': [0, 1, 2, 3, 4, 5, 6, 7], 'center': [2, 3, 4, 5, 6, 7, 8, 9], 'late': [4, 5, 6, 7, 8, 9, 10, 11], 'edge': [0, 1, 2, 3, 8, 9, 10, 11], 'all': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]}, 'selected_modes': ['none', 'diag'], 'unselected_cproj_mode': 'block4', 'anchors': ['block4', 'muon'], 'seeds': [2024, 2025, 2026], 'primary_endpoint': 'validation loss at step 6200', 'primary_contrast': 'within-seed, within-rule diag minus none', 'secondary_endpoints': ['tail-5 validation mean', 'normalized validation AUC', 'K-state bytes', 'optimizer-state bytes', 'peak allocated memory'], 'checkpoint_policy': 'disabled; approximately 10 GiB per run avoided', 'timing_usable': False}",all,diag,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",block4,2024,3.2698800000000006,3.6157298387096777,results\seed2024_shard1\20260806T104711+0000_formal_seed2024\mainconf_r1_depth_kmode_all_diag_seed2024_20260806T104711+0000\run_manifest.json,results\seed2024_shard1\20260806T104711+0000_formal_seed2024\mainconf_r1_depth_kmode_all_diag_seed2024_20260806T104711+0000\r1_metrics.csv,depth_rule,all,diag
all_none,"depth_rule=all;selected_layers=0,1,2,3,4,5,6,7,8,9,10,11;selected_mode=none;unselected_mode=block4",none,2024,dcd2b4aaa59b03d26ca117c77e518cd588fa907991f73a386629d058431e6176,0.004,0.0004,6200,3.2669,6200,3.2669,6200,3.3587,3.624449193548387,7395.846,6168,3233808384,437246.5819326146,38304,84934656,84934656,169869312,84934800,594542592,849346704,818386948,494128128,0,63,6200,formal_no_checkpoint,True,True,3.7325,3.4652,3.3993,3.2669,1600,838860800,1878.285,2500,1310720000,2954.17,4400,2306867200,5234.961,5700,2988441600,6795.738,True,True,False,R1 depth is a quality/mechanism experiment; multiple physical GPUs may train concurrently on the same node,mainconf_r1_depth_kmode_all_none_seed2024_20260806T104711+0000,11538.015570260584,PRIVATE_PATH_REDACTED,,ed6a89f2b7dda8727a4105d3bd3c58ff219787c94f0463fd8e1eb79dda3f7375,"{'rules': {'early': [0, 1, 2, 3, 4, 5, 6, 7], 'center': [2, 3, 4, 5, 6, 7, 8, 9], 'late': [4, 5, 6, 7, 8, 9, 10, 11], 'edge': [0, 1, 2, 3, 8, 9, 10, 11], 'all': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]}, 'selected_modes': ['none', 'diag'], 'unselected_cproj_mode': 'block4', 'anchors': ['block4', 'muon'], 'seeds': [2024, 2025, 2026], 'primary_endpoint': 'validation loss at step 6200', 'primary_contrast': 'within-seed, within-rule diag minus none', 'secondary_endpoints': ['tail-5 validation mean', 'normalized validation AUC', 'K-state bytes', 'optimizer-state bytes', 'peak allocated memory'], 'checkpoint_policy': 'disabled; approximately 10 GiB per run avoided', 'timing_usable': False}",all,none,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",block4,2024,3.27518,3.6244491935483865,results\seed2024_shard1\20260806T104711+0000_formal_seed2024\mainconf_r1_depth_kmode_all_none_seed2024_20260806T104711+0000\run_manifest.json,results\seed2024_shard1\20260806T104711+0000_formal_seed2024\mainconf_r1_depth_kmode_all_none_seed2024_20260806T104711+0000\r1_metrics.csv,depth_rule,all,none
center_diag,"depth_rule=center;selected_layers=2,3,4,5,6,7,8,9;selected_mode=diag;unselected_mode=block4",diag,2024,dcd2b4aaa59b03d26ca117c77e518cd588fa907991f73a386629d058431e6176,0.004,0.0004,6200,3.2615,6200,3.2615,6200,3.3503,3.615636290322582,7404.215,6168,3233808384,436752.36118886335,38592,122781696,122781696,245563392,122781888,896532480,1264877760,894081028,494128128,0,63,6200,formal_no_checkpoint,True,True,3.7224,3.4583,3.3932,3.2615,1600,838860800,1882.039,2400,1258291200,2842.938,4200,2202009600,5005.063,5600,2936012800,6685.112,True,True,False,R1 depth is a quality/mechanism experiment; multiple physical GPUs may train concurrently on the same node,mainconf_r1_depth_kmode_center_diag_seed2024_20260806T104711+0000,11542.616952886805,PRIVATE_PATH_REDACTED,,00fcabeda94e1ba8aa9b4be765786f5f9f4a340ad588c95184efbf4fbb5129c1,"{'rules': {'early': [0, 1, 2, 3, 4, 5, 6, 7], 'center': [2, 3, 4, 5, 6, 7, 8, 9], 'late': [4, 5, 6, 7, 8, 9, 10, 11], 'edge': [0, 1, 2, 3, 8, 9, 10, 11], 'all': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]}, 'selected_modes': ['none', 'diag'], 'unselected_cproj_mode': 'block4', 'anchors': ['block4', 'muon'], 'seeds': [2024, 2025, 2026], 'primary_endpoint': 'validation loss at step 6200', 'primary_contrast': 'within-seed, within-rule diag minus none', 'secondary_endpoints': ['tail-5 validation mean', 'normalized validation AUC', 'K-state bytes', 'optimizer-state bytes', 'peak allocated memory'], 'checkpoint_policy': 'disabled; approximately 10 GiB per run avoided', 'timing_usable': False}",center,diag,"[2, 3, 4, 5, 6, 7, 8, 9]",block4,2024,3.269799999999999,3.6156362903225805,results\seed2024_shard1\20260806T104711+0000_formal_seed2024\mainconf_r1_depth_kmode_center_diag_seed2024_20260806T104711+0000\run_manifest.json,results\seed2024_shard1\20260806T104711+0000_formal_seed2024\mainconf_r1_depth_kmode_center_diag_seed2024_20260806T104711+0000\r1_metrics.csv,depth_rule,center,diag
center_none,"depth_rule=center;selected_layers=2,3,4,5,6,7,8,9;selected_mode=none;unselected_mode=block4",none,2024,dcd2b4aaa59b03d26ca117c77e518cd588fa907991f73a386629d058431e6176,0.004,0.0004,6200,3.2652,6200,3.2652,6200,3.3602,3.620496774193548,7421.382,6168,3233808384,435742.07391561306,38592,122683392,122683392,245366784,122683552,821035008,1189085344,893884420,494128128,0,63,6200,formal_no_checkpoint,True,True,3.728,3.4626,3.3971,3.2652,1600,838860800,1888.359,2500,1310720000,2972.275,4300,2254438400,5137.495,5600,2936012800,6700.669,True,True,False,R1 depth is a quality/mechanism experiment; multiple physical GPUs may train concurrently on the same node,mainconf_r1_depth_kmode_center_none_seed2024_20260806T104711+0000,11558.6597281266,PRIVATE_PATH_REDACTED,,4fc159909505de20aebe3bc3bd45e50b96156a23dcdebd7451d7a5d25f4139db,"{'rules': {'early': [0, 1, 2, 3, 4, 5, 6, 7], 'center': [2, 3, 4, 5, 6, 7, 8, 9], 'late': [4, 5, 6, 7, 8, 9, 10, 11], 'edge': [0, 1, 2, 3, 8, 9, 10, 11], 'all': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]}, 'selected_modes': ['none', 'diag'], 'unselected_cproj_mode': 'block4', 'anchors': ['block4', 'muon'], 'seeds': [2024, 2025, 2026], 'primary_endpoint': 'validation loss at step 6200', 'primary_contrast': 'within-seed, within-rule diag minus none', 'secondary_endpoints': ['tail-5 validation mean', 'normalized validation AUC', 'K-state bytes', 'optimizer-state bytes', 'peak allocated memory'], 'checkpoint_policy': 'disabled; approximately 10 GiB per run avoided', 'timing_usable': False}",center,none,"[2, 3, 4, 5, 6, 7, 8, 9]",block4,2024,3.27346,3.620496774193548,results\seed2024_shard1\20260806T104711+0000_formal_seed2024\mainconf_r1_depth_kmode_center_none_seed2024_20260806T104711+0000\run_manifest.json,results\seed2024_shard1\20260806T104711+0000_formal_seed2024\mainconf_r1_depth_kmode_center_none_seed2024_20260806T104711+0000\r1_metrics.csv,depth_rule,center,none
early_diag,"depth_rule=early;selected_layers=0,1,2,3,4,5,6,7;selected_mode=diag;unselected_mode=block4",diag,2024,dcd2b4aaa59b03d26ca117c77e518cd588fa907991f73a386629d058431e6176,0.004,0.0004,6200,3.2615,6200,3.2615,6200,3.3466,3.616747580645162,7414.57,6168,3233808384,436142.4039425078,38592,122781696,122781696,245563392,122781888,896532480,1264877760,894081028,494128128,0,63,6200,formal_no_checkpoint,True,True,3.7253,3.4581,3.3925,3.2615,1600,838860800,1884.538,2400,1258291200,2846.791,4200,2202009600,5011.54,5600,2936012800,6694.084,True,True,False,R1 depth is a quality/mechanism experiment; multiple physical GPUs may train concurrently on the same node,mainconf_r1_depth_kmode_early_diag_seed2024_20260806T104711+0000,11542.706325829029,PRIVATE_PATH_REDACTED,,3f7f27a18cd858cb3e3fc570bcb24120d8a1cbdd33e82d234c20655ae007c20e,"{'rules': {'early': [0, 1, 2, 3, 4, 5, 6, 7], 'center': [2, 3, 4, 5, 6, 7, 8, 9], 'late': [4, 5, 6, 7, 8, 9, 10, 11], 'edge': [0, 1, 2, 3, 8, 9, 10, 11], 'all': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]}, 'selected_modes': ['none', 'diag'], 'unselected_cproj_mode': 'block4', 'anchors': ['block4', 'muon'], 'seeds': [2024, 2025, 2026], 'primary_endpoint': 'validation loss at step 6200', 'primary_contrast': 'within-seed, within-rule diag minus none', 'secondary_endpoints': ['tail-5 validation mean', 'normalized validation AUC', 'K-state bytes', 'optimizer-state bytes', 'peak allocated memory'], 'checkpoint_policy': 'disabled; approximately 10 GiB per run avoided', 'timing_usable': False}",early,diag,"[0, 1, 2, 3, 4, 5, 6, 7]",block4,2024,3.2697199999999995,3.616747580645161,results\seed2024_shard0\20260806T104711+0000_formal_seed2024\mainconf_r1_depth_kmode_early_diag_seed2024_20260806T104711+0000\run_manifest.json,results\seed2024_shard0\20260806T104711+0000_formal_seed2024\mainconf_r1_depth_kmode_early_diag_seed2024_20260806T104711+0000\r1_metrics.csv,depth_rule,early,diag
early_none,"depth_rule=early;selected_layers=0,1,2,3,4,5,6,7;selected_mode=none;unselected_mode=block4",none,2024,dcd2b4aaa59b03d26ca117c77e518cd588fa907991f73a386629d058431e6176,0.004,0.0004,6200,3.2665,6200,3.2665,6200,3.357,3.6223298387096774,7427.976,6168,3233808384,435355.25478272955,38592,122683392,122683392,245366784,122683552,821035008,1189085344,893884420,494128128,0,63,6200,formal_no_checkpoint,True,True,3.7292,3.4644,3.3981,3.2665,1600,838860800,1889.142,2500,1310720000,2973.748,4400,2306867200,5261.667,5600,2936012800,6706.332,True,True,False,R1 depth is a quality/mechanism experiment; multiple physical GPUs may train concurrently on the same node,mainconf_r1_depth_kmode_early_none_seed2024_20260806T104711+0000,11558.832699568942,PRIVATE_PATH_REDACTED,,a2042f3eaf5d06d7ea10a10c27923adf0762c61fc6cffb2d9cda94a184eb8e37,"{'rules': {'early': [0, 1, 2, 3, 4, 5, 6, 7], 'center': [2, 3, 4, 5, 6, 7, 8, 9], 'late': [4, 5, 6, 7, 8, 9, 10, 11], 'edge': [0, 1, 2, 3, 8, 9, 10, 11], 'all': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]}, 'selected_modes': ['none', 'diag'], 'unselected_cproj_mode': 'block4', 'anchors': ['block4', 'muon'], 'seeds': [2024, 2025, 2026], 'primary_endpoint': 'validation loss at step 6200', 'primary_contrast': 'within-seed, within-rule diag minus none', 'secondary_endpoints': ['tail-5 validation mean', 'normalized validation AUC', 'K-state bytes', 'optimizer-state bytes', 'peak allocated memory'], 'checkpoint_policy': 'disabled; approximately 10 GiB per run avoided', 'timing_usable': False}",early,none,"[0, 1, 2, 3, 4, 5, 6, 7]",block4,2024,3.2747,3.622329838709677,results\seed2024_shard0\20260806T104711+0000_formal_seed2024\mainconf_r1_depth_kmode_early_none_seed2024_20260806T104711+0000\run_manifest.json,results\seed2024_shard0\20260806T104711+0000_formal_seed2024\mainconf_r1_depth_kmode_early_none_seed2024_20260806T104711+0000\r1_metrics.csv,depth_rule,early,none
edge_diag,"depth_rule=edge;selected_layers=0,1,2,3,8,9,10,11;selected_mode=diag;unselected_mode=block4",diag,2024,dcd2b4aaa59b03d26ca117c77e518cd588fa907991f73a386629d058431e6176,0.004,0.0004,6200,3.2625,6200,3.2625,6200,3.3528,3.617220161290321,7409.735,6168,3233808384,436426.9955673179,38592,122781696,122781696,245563392,122781888,896532480,1264877760,894081028,494128128,0,63,6200,formal_no_checkpoint,True,True,3.7241,3.4591,3.3932,3.2625,1600,838860800,1886.139,2400,1258291200,2849.865,4300,2254438400,5132.889,5600,2936012800,6692.397,True,True,False,R1 depth is a quality/mechanism experiment; multiple physical GPUs may train concurrently on the same node,mainconf_r1_depth_kmode_edge_diag_seed2024_20260806T104711+0000,11523.178635580465,PRIVATE_PATH_REDACTED,,3d44f091f5746b47fc51eb60917e4e5e7c636bc0db65d57cc9d925ada49705ae,"{'rules': {'early': [0, 1, 2, 3, 4, 5, 6, 7], 'center': [2, 3, 4, 5, 6, 7, 8, 9], 'late': [4, 5, 6, 7, 8, 9, 10, 11], 'edge': [0, 1, 2, 3, 8, 9, 10, 11], 'all': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]}, 'selected_modes': ['none', 'diag'], 'unselected_cproj_mode': 'block4', 'anchors': ['block4', 'muon'], 'seeds': [2024, 2025, 2026], 'primary_endpoint': 'validation loss at step 6200', 'primary_contrast': 'within-seed, within-rule diag minus none', 'secondary_endpoints': ['tail-5 validation mean', 'normalized validation AUC', 'K-state bytes', 'optimizer-state bytes', 'peak allocated memory'], 'checkpoint_policy': 'disabled; approximately 10 GiB per run avoided', 'timing_usable': False}",edge,diag,"[0, 1, 2, 3, 8, 9, 10, 11]",block4,2024,3.2707,3.617220161290322,results\seed2024_shard0\20260806T104711+0000_formal_seed2024\mainconf_r1_depth_kmode_edge_diag_seed2024_20260806T104711+0000\run_manifest.json,results\seed2024_shard0\20260806T104711+0000_formal_seed2024\mainconf_r1_depth_kmode_edge_diag_seed2024_20260806T104711+0000\r1_metrics.csv,depth_rule,edge,diag
edge_none,"depth_rule=edge;selected_layers=0,1,2,3,8,9,10,11;selected_mode=none;unselected_mode=block4",none,2024,dcd2b4aaa59b03d26ca117c77e518cd588fa907991f73a386629d058431e6176,0.004,0.0004,6200,3.2656,6200,3.2656,6200,3.3561,3.6220451612903233,7395.33,6168,3233808384,437277.0902718337,38592,122683392,122683392,245366784,122683552,821035008,1189085344,893884420,494128128,0,63,6200,formal_no_checkpoint,True,True,3.7291,3.4634,3.3977,3.2656,1600,838860800,1879.008,2500,1310720000,2960.492,4400,2306867200,5238.461,5600,2936012800,6676.852,True,True,False,R1 depth is a quality/mechanism experiment; multiple physical GPUs may train concurrently on the same node,mainconf_r1_depth_kmode_edge_none_seed2024_20260806T104711+0000,11501.005205200985,PRIVATE_PATH_REDACTED,,1bfa2ebda0724eb8adc470c421e9aee7ffda4a304746a9ab6150ab9ab733a10b,"{'rules': {'early': [0, 1, 2, 3, 4, 5, 6, 7], 'center': [2, 3, 4, 5, 6, 7, 8, 9], 'late': [4, 5, 6, 7, 8, 9, 10, 11], 'edge': [0, 1, 2, 3, 8, 9, 10, 11], 'all': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]}, 'selected_modes': ['none', 'diag'], 'unselected_cproj_mode': 'block4', 'anchors': ['block4', 'muon'], 'seeds': [2024, 2025, 2026], 'primary_endpoint': 'validation loss at step 6200', 'primary_contrast': 'within-seed, within-rule diag minus none', 'secondary_endpoints': ['tail-5 validation mean', 'normalized validation AUC', 'K-state bytes', 'optimizer-state bytes', 'peak allocated memory'], 'checkpoint_policy': 'disabled; approximately 10 GiB per run avoided', 'timing_usable': False}",edge,none,"[0, 1, 2, 3, 8, 9, 10, 11]",block4,2024,3.27396,3.622045161290323,results\seed2024_shard0\20260806T104711+0000_formal_seed2024\mainconf_r1_depth_kmode_edge_none_seed2024_20260806T104711+0000\run_manifest.json,results\seed2024_shard0\20260806T104711+0000_formal_seed2024\mainconf_r1_depth_kmode_edge_none_seed2024_20260806T104711+0000\r1_metrics.csv,depth_rule,edge,none
