metric,comparison,seed,left_method,right_method,delta,negative_means
final_val_loss,diag_minus_none,2024,diag,none,-0.005700000000000038,left method lowers the metric
final_val_loss,diag_minus_none,2025,diag,none,-0.005999999999999783,left method lowers the metric
final_val_loss,diag_minus_none,2026,diag,none,-0.004999999999999893,left method lowers the metric
final_val_loss,diag_minus_block4,2024,diag,block4,-0.0017000000000000348,left method lowers the metric
final_val_loss,diag_minus_block4,2025,diag,block4,-0.0009999999999998899,left method lowers the metric
final_val_loss,diag_minus_block4,2026,diag,block4,-0.0005999999999999339,left method lowers the metric
final_val_loss,block4_minus_none,2024,block4,none,-0.0040000000000000036,left method lowers the metric
final_val_loss,block4_minus_none,2025,block4,none,-0.004999999999999893,left method lowers the metric
final_val_loss,block4_minus_none,2026,block4,none,-0.0043999999999999595,left method lowers the metric
tail5_val_loss_mean,diag_minus_none,2024,diag,none,-0.0056600000000006645,left method lowers the metric
tail5_val_loss_mean,diag_minus_none,2025,diag,none,-0.006219999999999892,left method lowers the metric
tail5_val_loss_mean,diag_minus_none,2026,diag,none,-0.0052000000000003155,left method lowers the metric
tail5_val_loss_mean,diag_minus_block4,2024,diag,block4,-0.0017399999999998528,left method lowers the metric
tail5_val_loss_mean,diag_minus_block4,2025,diag,block4,-0.001060000000000283,left method lowers the metric
tail5_val_loss_mean,diag_minus_block4,2026,diag,block4,-0.0007399999999999629,left method lowers the metric
tail5_val_loss_mean,block4_minus_none,2024,block4,none,-0.003920000000000812,left method lowers the metric
tail5_val_loss_mean,block4_minus_none,2025,block4,none,-0.005159999999999609,left method lowers the metric
tail5_val_loss_mean,block4_minus_none,2026,block4,none,-0.004460000000000353,left method lowers the metric
normalized_val_auc,diag_minus_none,2024,diag,none,-0.008515322580645357,left method lowers the metric
normalized_val_auc,diag_minus_none,2025,diag,none,-0.0097096774193548,left method lowers the metric
normalized_val_auc,diag_minus_none,2026,diag,none,-0.008674193548388054,left method lowers the metric
normalized_val_auc,diag_minus_block4,2024,diag,block4,-0.0015153225806452397,left method lowers the metric
normalized_val_auc,diag_minus_block4,2025,diag,block4,-0.0007935483870968874,left method lowers the metric
normalized_val_auc,diag_minus_block4,2026,diag,block4,-0.0001177419354849718,left method lowers the metric
normalized_val_auc,block4_minus_none,2024,block4,none,-0.007000000000000117,left method lowers the metric
normalized_val_auc,block4_minus_none,2025,block4,none,-0.008916129032257913,left method lowers the metric
normalized_val_auc,block4_minus_none,2026,block4,none,-0.008556451612903082,left method lowers the metric
