seed,arm,c_fc,c_proj,o_proj,qkv,final_val_loss,tail5_val_loss_mean,normalized_val_auc,best_val_loss,final_val_step,validation_points,init_sha256,derived_script_sha256,k_cov_bytes,k_inv_bytes,k_state_bytes,activation_stat_bytes,precond_workspace_bytes,k_state_mib,optimizer_state_bytes,peak_memory_allocated_mib,timing_usable,source_summary,checkpoint_relative_path,checkpoint_sha256
2024,all_none,none,none,none,none,3.2784,3.28716,3.6332096774193543,3.2784,6200,63,dcd2b4aaa59b03d26ca117c77e518cd588fa907991f73a386629d058431e6176,ad217eb67ae3ec5ea0e337d1e2756c11838a86f2bc016ddc8d4f6a5e3511981b,0,0,0,0,0,0.0,648517636,37703,False,formal/seed2024/all_none/20260817T014803+0000_formal_seed2024/mainconf_r1_matched_diag_placement_all_none_seed2024_20260817T014803+0000/r1_summary.json,formal/seed2024/all_none/20260817T014803+0000_formal_seed2024/mainconf_r1_matched_diag_placement_all_none_seed2024_20260817T014803+0000PRIVATE_PATH_REDACTED,9a3a31759833420cab077596472378f9e184a85eeb0b26bbd7f5c6c28a3cc87f
2024,c_fc_diag,diag,none,none,none,3.2781,3.28668,3.6310088709677433,3.2781,6200,63,dcd2b4aaa59b03d26ca117c77e518cd588fa907991f73a386629d058431e6176,ad217eb67ae3ec5ea0e337d1e2756c11838a86f2bc016ddc8d4f6a5e3511981b,36864,36864,73728,36912,0,0.0703125,648591364,37704,False,formal/seed2024/c_fc_diag/20260817T050200+0000_formal_seed2024/mainconf_r1_matched_diag_placement_c_fc_diag_seed2024_20260817T050200+0000/r1_summary.json,formal/seed2024/c_fc_diag/20260817T050200+0000_formal_seed2024/mainconf_r1_matched_diag_placement_c_fc_diag_seed2024_20260817T050200+0000PRIVATE_PATH_REDACTED,628374520a6aec0f5d59546de02427d8a90c28802e8f7d6b36bde53cdb55c414
2024,c_proj_diag,none,diag,none,none,3.2735,3.2822,3.624404032258064,3.2735,6200,63,dcd2b4aaa59b03d26ca117c77e518cd588fa907991f73a386629d058431e6176,ad217eb67ae3ec5ea0e337d1e2756c11838a86f2bc016ddc8d4f6a5e3511981b,147456,147456,294912,147504,0,0.28125,648812548,37704,False,formal/seed2024/c_proj_diag/20260817T081542+0000_formal_seed2024/mainconf_r1_matched_diag_placement_c_proj_diag_seed2024_20260817T081542+0000/r1_summary.json,formal/seed2024/c_proj_diag/20260817T081542+0000_formal_seed2024/mainconf_r1_matched_diag_placement_c_proj_diag_seed2024_20260817T081542+0000PRIVATE_PATH_REDACTED,93520962c912157fa54f9cc7a53a928e36a58b042de2df7dcbf6f9787a98aae6
2024,c_fc_c_proj_diag,diag,diag,none,none,3.2729,3.2813399999999997,3.6222024193548386,3.2729,6200,63,dcd2b4aaa59b03d26ca117c77e518cd588fa907991f73a386629d058431e6176,ad217eb67ae3ec5ea0e337d1e2756c11838a86f2bc016ddc8d4f6a5e3511981b,184320,184320,368640,184416,0,0.3515625,648886276,37704,False,formal/seed2024/c_fc_c_proj_diag/20260817T112847+0000_formal_seed2024/mainconf_r1_matched_diag_placement_c_fc_c_proj_diag_seed2024_20260817T112847+0000/r1_summary.json,formal/seed2024/c_fc_c_proj_diag/20260817T112847+0000_formal_seed2024/mainconf_r1_matched_diag_placement_c_fc_c_proj_diag_seed2024_20260817T112847+0000PRIVATE_PATH_REDACTED,39f8f5758a311a31e6cde2edd63e8c0ff61137d12a4d2184acb2cd61786ee764
2024,o_proj_diag,none,none,diag,none,3.2774,3.28616,3.6306758064516123,3.2774,6200,63,dcd2b4aaa59b03d26ca117c77e518cd588fa907991f73a386629d058431e6176,ad217eb67ae3ec5ea0e337d1e2756c11838a86f2bc016ddc8d4f6a5e3511981b,36864,36864,73728,36912,0,0.0703125,648591364,37703,False,formal/seed2024/o_proj_diag/20260817T144145+0000_formal_seed2024/mainconf_r1_matched_diag_placement_o_proj_diag_seed2024_20260817T144145+0000/r1_summary.json,formal/seed2024/o_proj_diag/20260817T144145+0000_formal_seed2024/mainconf_r1_matched_diag_placement_o_proj_diag_seed2024_20260817T144145+0000PRIVATE_PATH_REDACTED,f6dea8ad4c765f99e2d07efa2dd1685ad6a734a10ecc28781699191ccd5dfc03
2025,all_none,none,none,none,none,3.2772,3.28596,3.6321540322580637,3.2772,6200,63,0abcd1466c19b502419173203779819e00d30996f4b235cb131d20641da3696a,ad217eb67ae3ec5ea0e337d1e2756c11838a86f2bc016ddc8d4f6a5e3511981b,0,0,0,0,0,0.0,648517636,37703,False,formal/seed2025/all_none/20260817T175443+0000_formal_seed2025/mainconf_r1_matched_diag_placement_all_none_seed2025_20260817T175443+0000/r1_summary.json,formal/seed2025/all_none/20260817T175443+0000_formal_seed2025/mainconf_r1_matched_diag_placement_all_none_seed2025_20260817T175443+0000PRIVATE_PATH_REDACTED,77470a50b1027c2c5c29efa8a63eb476ef92a6a04d7b25d2e3ec39442ed3a328
2025,c_fc_diag,diag,none,none,none,3.2763,3.28484,3.6291080645161284,3.2763,6200,63,0abcd1466c19b502419173203779819e00d30996f4b235cb131d20641da3696a,ad217eb67ae3ec5ea0e337d1e2756c11838a86f2bc016ddc8d4f6a5e3511981b,36864,36864,73728,36912,0,0.0703125,648591364,37704,False,formal/seed2025/c_fc_diag/20260817T210826+0000_formal_seed2025/mainconf_r1_matched_diag_placement_c_fc_diag_seed2025_20260817T210826+0000/r1_summary.json,formal/seed2025/c_fc_diag/20260817T210826+0000_formal_seed2025/mainconf_r1_matched_diag_placement_c_fc_diag_seed2025_20260817T210826+0000PRIVATE_PATH_REDACTED,8f8334a1d2f9ba0429f5d2d5f926fb840517c2640b7bac57ac1c6eea09d700ae
2025,c_proj_diag,none,diag,none,none,3.2728,3.28154,3.623549193548387,3.2728,6200,63,0abcd1466c19b502419173203779819e00d30996f4b235cb131d20641da3696a,ad217eb67ae3ec5ea0e337d1e2756c11838a86f2bc016ddc8d4f6a5e3511981b,147456,147456,294912,147504,0,0.28125,648812548,37704,False,formal/seed2025/c_proj_diag/20260818T002154+0000_formal_seed2025/mainconf_r1_matched_diag_placement_c_proj_diag_seed2025_20260818T002154+0000/r1_summary.json,formal/seed2025/c_proj_diag/20260818T002154+0000_formal_seed2025/mainconf_r1_matched_diag_placement_c_proj_diag_seed2025_20260818T002154+0000PRIVATE_PATH_REDACTED,7e8d7a9ff6bb139e3b7067d1f7bb61dcd192d0969ad71fb2b7f56ed643fd7e54
2025,c_fc_c_proj_diag,diag,diag,none,none,3.2716,3.28002,3.6208169354838713,3.2716,6200,63,0abcd1466c19b502419173203779819e00d30996f4b235cb131d20641da3696a,ad217eb67ae3ec5ea0e337d1e2756c11838a86f2bc016ddc8d4f6a5e3511981b,184320,184320,368640,184416,0,0.3515625,648886276,37704,False,formal/seed2025/c_fc_c_proj_diag/20260818T033552+0000_formal_seed2025/mainconf_r1_matched_diag_placement_c_fc_c_proj_diag_seed2025_20260818T033552+0000/r1_summary.json,formal/seed2025/c_fc_c_proj_diag/20260818T033552+0000_formal_seed2025/mainconf_r1_matched_diag_placement_c_fc_c_proj_diag_seed2025_20260818T033552+0000PRIVATE_PATH_REDACTED,6f5fbfb17b2118c76295bfffd99f838680210f81ac1b1e8c8f20f2d9a7e19494
2025,o_proj_diag,none,none,diag,none,3.2761,3.28482,3.62968064516129,3.2761,6200,63,0abcd1466c19b502419173203779819e00d30996f4b235cb131d20641da3696a,ad217eb67ae3ec5ea0e337d1e2756c11838a86f2bc016ddc8d4f6a5e3511981b,36864,36864,73728,36912,0,0.0703125,648591364,37703,False,formal/seed2025/o_proj_diag/20260818T064948+0000_formal_seed2025/mainconf_r1_matched_diag_placement_o_proj_diag_seed2025_20260818T064948+0000/r1_summary.json,formal/seed2025/o_proj_diag/20260818T064948+0000_formal_seed2025/mainconf_r1_matched_diag_placement_o_proj_diag_seed2025_20260818T064948+0000PRIVATE_PATH_REDACTED,1114a589d9344d2bae4bbcc499fccdb6fc37f6a8549495dfec90f188733042f7
