contrast,seed,method_a,method_b,method_a_final_val_loss,method_b_final_val_loss,delta_a_minus_b,lower_is_better
c_fc_diag_minus_all_none,2024,c_fc_diag,all_none,3.2781,3.2784,-0.000300000000000189,True
c_fc_diag_minus_all_none,2025,c_fc_diag,all_none,3.2763,3.2772,-0.0009000000000001229,True
c_fc_diag_minus_all_none,2026,c_fc_diag,all_none,3.276,3.2772,-0.001200000000000312,True
c_proj_diag_minus_all_none,2024,c_proj_diag,all_none,3.2735,3.2784,-0.0049000000000001265,True
c_proj_diag_minus_all_none,2025,c_proj_diag,all_none,3.2728,3.2772,-0.0043999999999999595,True
c_proj_diag_minus_all_none,2026,c_proj_diag,all_none,3.2727,3.2772,-0.0045000000000001705,True
o_proj_diag_minus_all_none,2024,o_proj_diag,all_none,3.2774,3.2784,-0.0009999999999998899,True
o_proj_diag_minus_all_none,2025,o_proj_diag,all_none,3.2761,3.2772,-0.001100000000000101,True
o_proj_diag_minus_all_none,2026,o_proj_diag,all_none,3.2768,3.2772,-0.00039999999999995595,True
c_fc_c_proj_diag_minus_all_none,2024,c_fc_c_proj_diag,all_none,3.2729,3.2784,-0.00550000000000006,True
c_fc_c_proj_diag_minus_all_none,2025,c_fc_c_proj_diag,all_none,3.2716,3.2772,-0.005600000000000271,True
c_fc_c_proj_diag_minus_all_none,2026,c_fc_c_proj_diag,all_none,3.2714,3.2772,-0.005800000000000249,True
c_fc_diag_minus_c_proj_diag,2024,c_fc_diag,c_proj_diag,3.2781,3.2735,0.0045999999999999375,True
c_fc_diag_minus_c_proj_diag,2025,c_fc_diag,c_proj_diag,3.2763,3.2728,0.0034999999999998366,True
c_fc_diag_minus_c_proj_diag,2026,c_fc_diag,c_proj_diag,3.276,3.2727,0.0032999999999998586,True
c_fc_diag_minus_o_proj_diag,2024,c_fc_diag,o_proj_diag,3.2781,3.2774,0.0006999999999997009,True
c_fc_diag_minus_o_proj_diag,2025,c_fc_diag,o_proj_diag,3.2763,3.2761,0.00019999999999997797,True
c_fc_diag_minus_o_proj_diag,2026,c_fc_diag,o_proj_diag,3.276,3.2768,-0.000800000000000356,True
c_proj_diag_minus_o_proj_diag,2024,c_proj_diag,o_proj_diag,3.2735,3.2774,-0.0039000000000002366,True
c_proj_diag_minus_o_proj_diag,2025,c_proj_diag,o_proj_diag,3.2728,3.2761,-0.0032999999999998586,True
c_proj_diag_minus_o_proj_diag,2026,c_proj_diag,o_proj_diag,3.2727,3.2768,-0.004100000000000215,True
