family,family_label,priority,contrast,left_role,left_method,right_role,right_method,seed,final_delta_left_minus_right,tail5_delta_left_minus_right,auc_delta_left_minus_right
r1,GPT-R1,primary,selective_diag_vs_muon,selective_diag,diag,muon,muon,2024,-0.016100000000000225,-0.016440000000000232,-0.017673387096774906
r1,GPT-R1,primary,selective_diag_vs_muon,selective_diag,diag,muon,muon,2025,-0.016999999999999904,-0.017439999999999678,-0.020524193548386638
r1,GPT-R1,primary,selective_diag_vs_muon,selective_diag,diag,muon,muon,2026,-0.01499999999999968,-0.015439999999999898,-0.016482258064515865
r1,GPT-R1,primary,selective_none_vs_muon,selective_none,none,muon,muon,2024,-0.010400000000000187,-0.010779999999999568,-0.00915806451612955
r1,GPT-R1,primary,selective_none_vs_muon,selective_none,none,muon,muon,2025,-0.01100000000000012,-0.011219999999999786,-0.010814516129031837
r1,GPT-R1,primary,selective_none_vs_muon,selective_none,none,muon,muon,2026,-0.009999999999999787,-0.010239999999999583,-0.007808064516127811
r1,GPT-R1,primary,selective_diag_vs_original_newton_muon,selective_diag,diag,original_newton_muon,block4,2024,-0.0017000000000000348,-0.0017399999999998528,-0.0015153225806452397
r1,GPT-R1,primary,selective_diag_vs_original_newton_muon,selective_diag,diag,original_newton_muon,block4,2025,-0.0009999999999998899,-0.001060000000000283,-0.0007935483870968874
r1,GPT-R1,primary,selective_diag_vs_original_newton_muon,selective_diag,diag,original_newton_muon,block4,2026,-0.0005999999999999339,-0.0007399999999999629,-0.0001177419354849718
r1,GPT-R1,primary,selective_none_vs_original_newton_muon,selective_none,none,original_newton_muon,block4,2024,0.0040000000000000036,0.003920000000000812,0.007000000000000117
r1,GPT-R1,primary,selective_none_vs_original_newton_muon,selective_none,none,original_newton_muon,block4,2025,0.004999999999999893,0.005159999999999609,0.008916129032257913
r1,GPT-R1,primary,selective_none_vs_original_newton_muon,selective_none,none,original_newton_muon,block4,2026,0.0043999999999999595,0.004460000000000353,0.008556451612903082
r1,GPT-R1,baseline,original_newton_muon_vs_muon,original_newton_muon,block4,muon,muon,2024,-0.01440000000000019,-0.01470000000000038,-0.016158064516129667
r1,GPT-R1,baseline,original_newton_muon_vs_muon,original_newton_muon,block4,muon,muon,2025,-0.016000000000000014,-0.016379999999999395,-0.01973064516128975
r1,GPT-R1,baseline,original_newton_muon_vs_muon,original_newton_muon,block4,muon,muon,2026,-0.014399999999999746,-0.014699999999999935,-0.016364516129030893
llama124,LLaMA-124M,primary,selective_diag_vs_muon,selective_diag,down_diag,muon,muon,2024,-0.0014400480000000826,-0.0014460087999998983,-0.0033048546000000734
llama124,LLaMA-124M,primary,selective_diag_vs_muon,selective_diag,down_diag,muon,muon,2025,-0.000698804999999858,-0.0007027150000000759,-0.002244847510000092
llama124,LLaMA-124M,primary,selective_diag_vs_muon,selective_diag,down_diag,muon,muon,2026,0.00018262799999968493,0.0001520153999998719,-0.0005961964000000819
llama124,LLaMA-124M,primary,selective_none_vs_muon,selective_none,down_none,muon,muon,2024,-0.0011298650000002297,-0.0010972495999999055,-0.0032290163100001656
llama124,LLaMA-124M,primary,selective_none_vs_muon,selective_none,down_none,muon,muon,2025,0.0004882809999999793,0.0004603859999998683,-0.001205817459999814
llama124,LLaMA-124M,primary,selective_none_vs_muon,selective_none,down_none,muon,muon,2026,-0.001174688999999951,-0.0011620045999998219,-0.0023548045699999243
llama124,LLaMA-124M,primary,selective_diag_vs_original_newton_muon,selective_diag,down_diag,original_newton_muon,newton_full,2024,-0.0003438000000000052,-0.00040841160000004706,-0.001732403380000136
llama124,LLaMA-124M,primary,selective_diag_vs_original_newton_muon,selective_diag,down_diag,original_newton_muon,newton_full,2025,-0.00022387500000009553,-0.0001629828000000444,-0.00035920641000020126
llama124,LLaMA-124M,primary,selective_diag_vs_original_newton_muon,selective_diag,down_diag,original_newton_muon,newton_full,2026,0.0007853509999997677,0.0007154942000000553,-0.000780840050000009
llama124,LLaMA-124M,primary,selective_none_vs_original_newton_muon,selective_none,down_none,original_newton_muon,newton_full,2024,-3.361700000015233e-05,-5.965240000005423e-05,-0.0016565650900002282
llama124,LLaMA-124M,primary,selective_none_vs_original_newton_muon,selective_none,down_none,original_newton_muon,newton_full,2025,0.0009632109999997418,0.0010001181999998998,0.0006798236400000768
llama124,LLaMA-124M,primary,selective_none_vs_original_newton_muon,selective_none,down_none,original_newton_muon,newton_full,2026,-0.0005719659999998683,-0.0005985257999996385,-0.0025394482199998514
llama124,LLaMA-124M,baseline,original_newton_muon_vs_muon,original_newton_muon,newton_full,muon,muon,2024,-0.0010962480000000774,-0.0010375971999998512,-0.0015724512199999374
llama124,LLaMA-124M,baseline,original_newton_muon_vs_muon,original_newton_muon,newton_full,muon,muon,2025,-0.0004749299999997625,-0.0005397322000000315,-0.0018856410999998907
llama124,LLaMA-124M,baseline,original_newton_muon_vs_muon,original_newton_muon,newton_full,muon,muon,2026,-0.0006027230000000827,-0.0005634788000001834,0.0001846436499999271
llama1b,LLaMA-1B,primary,selective_diag_vs_muon,selective_diag,down_diag,muon,muon,2024,0.00530981999999991,0.005382442599999759,-0.002089883064518183
llama1b,LLaMA-1B,primary,selective_diag_vs_muon,selective_diag,down_diag,muon,muon,2025,0.004875182999999783,0.004919052199999996,-0.002143759959677638
llama1b,LLaMA-1B,primary,selective_diag_vs_muon,selective_diag,down_diag,muon,muon,2026,0.006682872999999923,0.006618404400000166,0.0012221490403230284
llama1b,LLaMA-1B,primary,selective_none_vs_muon,selective_none,down_none,muon,muon,2024,0.004503011000000168,0.004556226600000546,-0.0008129901209694701
llama1b,LLaMA-1B,primary,selective_none_vs_muon,selective_none,down_none,muon,muon,2025,0.003650187999999943,0.0037090775999999437,-0.0010559482903231832
llama1b,LLaMA-1B,primary,selective_none_vs_muon,selective_none,down_none,muon,muon,2026,0.005259514000000021,0.005298566800000071,0.0034370999193549245
llama1b,LLaMA-1B,primary,selective_diag_vs_original_newton_muon,selective_diag,down_diag,original_newton_muon,newton_full,2024,-0.0006089209999999845,-0.0005137442000004988,-0.0035335210080655877
llama1b,LLaMA-1B,primary,selective_diag_vs_original_newton_muon,selective_diag,down_diag,original_newton_muon,newton_full,2025,-0.0010216230000001936,-0.0009562966000000728,-0.0015414357338703333
llama1b,LLaMA-1B,primary,selective_diag_vs_original_newton_muon,selective_diag,down_diag,original_newton_muon,newton_full,2026,-0.0012619490000003175,-0.0012549876000003124,-0.0031621897983877822
llama1b,LLaMA-1B,primary,selective_none_vs_original_newton_muon,selective_none,down_none,original_newton_muon,newton_full,2024,-0.0014157299999997264,-0.0013399601999997124,-0.0022566280645168746
llama1b,LLaMA-1B,primary,selective_none_vs_original_newton_muon,selective_none,down_none,original_newton_muon,newton_full,2025,-0.0022466180000000335,-0.002166271200000125,-0.00045362406451587844
llama1b,LLaMA-1B,primary,selective_none_vs_original_newton_muon,selective_none,down_none,original_newton_muon,newton_full,2026,-0.0026853080000002194,-0.002574825200000408,-0.0009472389193558861
llama1b,LLaMA-1B,baseline,original_newton_muon_vs_muon,original_newton_muon,newton_full,muon,muon,2024,0.005918740999999894,0.005896186800000258,0.0014436379435474045
llama1b,LLaMA-1B,baseline,original_newton_muon_vs_muon,original_newton_muon,newton_full,muon,muon,2025,0.005896805999999977,0.005875348800000069,-0.0006023242258073047
llama1b,LLaMA-1B,baseline,original_newton_muon_vs_muon,original_newton_muon,newton_full,muon,muon,2026,0.00794482200000024,0.007873392000000479,0.004384338838710811
