family,family_label,role,method,seeds,final_loss_mean,final_loss_sd,tail5_loss_mean,auc_mean,k_state_mib_mean,optimizer_state_mib_mean,peak_memory_mib_mean
r1,GPT-R1,selective_diag,diag,3,3.2611,0.001113552872566081,3.2693,3.6151591397849465,162.28125,780.7558631896973,38304.0
r1,GPT-R1,selective_none,none,3,3.2666666666666666,0.0006658328118480661,3.2749933333333336,3.6241255376344093,162.0,780.4746131896973,38304.0
r1,GPT-R1,original_newton_muon,block4,3,3.2622,0.0011357816691601056,3.27048,3.6159680107526886,378.0,996.4746131896972,39168.0
r1,GPT-R1,muon,muon,3,3.2771333333333335,0.0002516611478424483,3.2857399999999997,3.6333857526881723,0.0,618.4746131896973,37703.0
llama124,LLaMA-124M,selective_diag,down_diag,3,3.266925891,0.0006424947976264555,3.2744597115333334,3.6114430407966664,162.1875,780.808692932,35683.3623047
llama124,LLaMA-124M,selective_none,down_none,3,3.2669725416666666,0.0018987354487083213,3.2745256582666666,3.6112284608533334,162.0,780.621192932,35683.0751953
llama124,LLaMA-124M,original_newton_muon,newton_full,3,3.2668533323333335,0.0011490886411279749,3.2744116782666666,3.6124005240766666,546.0,1164.62119293,36280.0869141
llama124,LLaMA-124M,muon,muon,3,3.267577966,0.0011915006302552912,3.2751252809999998,3.6134916736333333,0.0,618.621192932,35422.4326172
llama1b,LLaMA-1B,selective_diag,down_diag,3,2.975747506,0.0006216862144916829,2.9838636558,3.3696402766559137,1728.755859375,,
llama1b,LLaMA-1B,selective_none,down_none,3,2.974595785,0.0008482832913827249,2.9827449797333334,3.3711668284865586,1728.0,,
llama1b,LLaMA-1B,original_newton_muon,newton_full,3,2.976711670333333,0.0005170627373678378,2.9847719986000003,3.372385992169355,5888.25,,
llama1b,LLaMA-1B,muon,muon,3,2.9701248806666665,0.0009539505736516852,2.9782236894,3.370644107983871,0.0,,
