checkpoint_cell,data_replica,contrast,left,right,left_auc,right_auc,auc_delta
early_muon,0,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.9946857610194986,0.9964824207869718,-0.0017966597674732299
early_muon,1,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.9987090749945143,1.0009789470869848,-0.0022698720924704263
early_muon,2,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.9950645292871071,0.9969237460845137,-0.0018592167974066376
early_newton_full,0,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.9993673716685463,1.0016531673471252,-0.0022857956785788947
early_newton_full,1,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,1.003628973194302,1.0065242925576503,-0.002895319363348303
early_newton_full,2,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,1.0006452430210475,1.0028489021270957,-0.002203659106048139
late_muon,0,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,1.022272704284271,1.0238040009328204,-0.0015312966485494517
late_muon,1,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,1.0216858047215633,1.0234584108623104,-0.001772606140747035
late_muon,2,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,1.0216529938354075,1.0230825083617188,-0.0014295145263112374
late_newton_full,0,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,1.0250295900421431,1.026463694413528,-0.0014341043713848034
late_newton_full,1,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,1.0250330024543262,1.02704074650166,-0.002007744047333837
late_newton_full,2,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,1.024462619806698,1.0257994037050806,-0.001336783898382654
early_muon,0,frozen_down_refresh_vs_production,frozen_down_refresh,production_newton_muon,0.9936322403899928,0.9964824207869718,-0.0028501803969790407
early_muon,1,frozen_down_refresh_vs_production,frozen_down_refresh,production_newton_muon,0.997630199629197,1.0009789470869848,-0.003348747457787793
early_muon,2,frozen_down_refresh_vs_production,frozen_down_refresh,production_newton_muon,0.9940516079699069,0.9969237460845137,-0.002872138114606848
early_newton_full,0,frozen_down_refresh_vs_production,frozen_down_refresh,production_newton_muon,0.9981792675973274,1.0016531673471252,-0.0034738997497977264
early_newton_full,1,frozen_down_refresh_vs_production,frozen_down_refresh,production_newton_muon,1.0022445472414987,1.0065242925576503,-0.004279745316151606
early_newton_full,2,frozen_down_refresh_vs_production,frozen_down_refresh,production_newton_muon,0.999352401222315,1.0028489021270957,-0.0034965009047807083
late_muon,0,frozen_down_refresh_vs_production,frozen_down_refresh,production_newton_muon,1.0214674040657967,1.0238040009328204,-0.002336596867023699
late_muon,1,frozen_down_refresh_vs_production,frozen_down_refresh,production_newton_muon,1.0208421487565313,1.0234584108623104,-0.0026162621057790325
late_muon,2,frozen_down_refresh_vs_production,frozen_down_refresh,production_newton_muon,1.0207840530944694,1.0230825083617188,-0.0022984552672493663
late_newton_full,0,frozen_down_refresh_vs_production,frozen_down_refresh,production_newton_muon,1.0240639554980169,1.026463694413528,-0.0023997389155110405
late_newton_full,1,frozen_down_refresh_vs_production,frozen_down_refresh,production_newton_muon,1.023885709730301,1.02704074650166,-0.0031550367713590877
late_newton_full,2,frozen_down_refresh_vs_production,frozen_down_refresh,production_newton_muon,1.023450802571894,1.0257994037050806,-0.0023486011331865786
early_muon,0,delayed_down_refresh_vs_frozen_down_refresh,delayed_down_refresh,frozen_down_refresh,0.9946857610194986,0.9936322403899928,0.0010535206295058108
early_muon,1,delayed_down_refresh_vs_frozen_down_refresh,delayed_down_refresh,frozen_down_refresh,0.9987090749945143,0.997630199629197,0.0010788753653173666
early_muon,2,delayed_down_refresh_vs_frozen_down_refresh,delayed_down_refresh,frozen_down_refresh,0.9950645292871071,0.9940516079699069,0.0010129213172002105
early_newton_full,0,delayed_down_refresh_vs_frozen_down_refresh,delayed_down_refresh,frozen_down_refresh,0.9993673716685463,0.9981792675973274,0.0011881040712188318
early_newton_full,1,delayed_down_refresh_vs_frozen_down_refresh,delayed_down_refresh,frozen_down_refresh,1.003628973194302,1.0022445472414987,0.0013844259528033032
early_newton_full,2,delayed_down_refresh_vs_frozen_down_refresh,delayed_down_refresh,frozen_down_refresh,1.0006452430210475,0.999352401222315,0.001292841798732569
late_muon,0,delayed_down_refresh_vs_frozen_down_refresh,delayed_down_refresh,frozen_down_refresh,1.022272704284271,1.0214674040657967,0.0008053002184742475
late_muon,1,delayed_down_refresh_vs_frozen_down_refresh,delayed_down_refresh,frozen_down_refresh,1.0216858047215633,1.0208421487565313,0.0008436559650319975
late_muon,2,delayed_down_refresh_vs_frozen_down_refresh,delayed_down_refresh,frozen_down_refresh,1.0216529938354075,1.0207840530944694,0.0008689407409381289
late_newton_full,0,delayed_down_refresh_vs_frozen_down_refresh,delayed_down_refresh,frozen_down_refresh,1.0250295900421431,1.0240639554980169,0.0009656345441262371
late_newton_full,1,delayed_down_refresh_vs_frozen_down_refresh,delayed_down_refresh,frozen_down_refresh,1.0250330024543262,1.023885709730301,0.0011472927240252506
late_newton_full,2,delayed_down_refresh_vs_frozen_down_refresh,delayed_down_refresh,frozen_down_refresh,1.024462619806698,1.023450802571894,0.0010118172348039245
