checkpoint_cell,data_replica,manifest_passed,status_passed,checks_passed,branch_passed,refresh_passed,tier,cell,replica,worker_version,contract_sha256,causal_tree,timing_excluded,legacy_not_reused,passed,manifest,manifest_sha256
early_muon,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,PRIVATE_PATH_REDACTED,85158ed23360cea8f98b89984828f960dbb5a5dcd8a325270ed6292a75b561dc
early_muon,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,PRIVATE_PATH_REDACTED,e80b0983fde4f83af05a8ea397e8409c058f02b6e96387ad604f53ecac989598
early_muon,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,PRIVATE_PATH_REDACTED,0b41ced3854532b11ba420c445e5526f4782fdb660d8afc40deaeb0aadc6630e
early_newton_full,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,PRIVATE_PATH_REDACTED,d1c0922839f8963ba5013f556310ee803a1b051f019f1ce9ddfd4b7364cb249b
early_newton_full,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,PRIVATE_PATH_REDACTED,1cd6cf764e99c2e0c14932094ce23c892d8f38bcf62629a2b4f42aeb33044a11
early_newton_full,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,PRIVATE_PATH_REDACTED,5de86d77a69433b04a5473783d6968f829fc4f2c6fc16047f2d6ee8eb44060cf
late_muon,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,PRIVATE_PATH_REDACTED,c87dcce79eff94c785dd67e739d8f86a71c1da522eca9830f0b7800b5e372e6a
late_muon,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,PRIVATE_PATH_REDACTED,87e3c9e0dcb4a355226a9cdf050595d735e7c62cd811af2b97fb73ea7abb4f30
late_muon,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,PRIVATE_PATH_REDACTED,11417f42ac13a80a0ab03cd77102b5ea308762b9b4319b622ded18a431657347
late_newton_full,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,PRIVATE_PATH_REDACTED,f212be45d6deefbd49aea47b584a6adbfcd822caaa15ef82d1bbcffdc71f6092
late_newton_full,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,PRIVATE_PATH_REDACTED,d5a68434ec0683b8075419aad97d3c506504b976f10618323eb175a24b02eb2b
late_newton_full,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,PRIVATE_PATH_REDACTED,6d05230abbcc2278da786eb32b0c687d25f25df11c5dfe909afd11486837f9c5
