checkpoint_cell,data_replica,contrast,left,right,left_auc,right_auc,auc_delta
early_muon,0,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.9946857610194986,0.9964824207869718,-0.0017966597674732299
early_muon,1,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.9987090749945144,1.0009789470869848,-0.0022698720924703153
early_muon,2,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.9950645292871071,0.9969237460845137,-0.0018592167974066376
early_newton_full,0,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,0.9993673716685462,1.001653167347125,-0.0022857956785787836
early_newton_full,1,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,1.003628973194302,1.0065242925576503,-0.002895319363348303
early_newton_full,2,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,1.0006452430210475,1.0028489021270957,-0.002203659106048139
late_muon,0,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,1.022272704284271,1.0238040009328204,-0.0015312966485494517
late_muon,1,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,1.0216858047215633,1.0234584108623104,-0.001772606140747035
late_muon,2,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,1.0216529938354075,1.023082508361719,-0.0014295145263114595
late_newton_full,0,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,1.0250295900421433,1.0264636944135281,-0.0014341043713848034
late_newton_full,1,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,1.0250330024543262,1.02704074650166,-0.002007744047333837
late_newton_full,2,delayed_down_refresh_vs_production,delayed_down_refresh,production_newton_muon,1.0244626198066977,1.0257994037050806,-0.0013367838983828761
early_muon,0,frozen_down_refresh_vs_production,frozen_down_refresh,production_newton_muon,0.9936322403899926,0.9964824207869718,-0.0028501803969791517
early_muon,1,frozen_down_refresh_vs_production,frozen_down_refresh,production_newton_muon,0.997630199629197,1.0009789470869848,-0.003348747457787793
early_muon,2,frozen_down_refresh_vs_production,frozen_down_refresh,production_newton_muon,0.9940516079699068,0.9969237460845137,-0.002872138114606959
early_newton_full,0,frozen_down_refresh_vs_production,frozen_down_refresh,production_newton_muon,0.9981792675973274,1.001653167347125,-0.0034738997497975044
early_newton_full,1,frozen_down_refresh_vs_production,frozen_down_refresh,production_newton_muon,1.0022445472414987,1.0065242925576503,-0.004279745316151606
early_newton_full,2,frozen_down_refresh_vs_production,frozen_down_refresh,production_newton_muon,0.9993524012223148,1.0028489021270957,-0.0034965009047808193
late_muon,0,frozen_down_refresh_vs_production,frozen_down_refresh,production_newton_muon,1.0214674040657967,1.0238040009328204,-0.002336596867023699
late_muon,1,frozen_down_refresh_vs_production,frozen_down_refresh,production_newton_muon,1.0208421487565316,1.0234584108623104,-0.0026162621057788105
late_muon,2,frozen_down_refresh_vs_production,frozen_down_refresh,production_newton_muon,1.0207840530944694,1.023082508361719,-0.0022984552672495884
late_newton_full,0,frozen_down_refresh_vs_production,frozen_down_refresh,production_newton_muon,1.0240639554980169,1.0264636944135281,-0.0023997389155112625
late_newton_full,1,frozen_down_refresh_vs_production,frozen_down_refresh,production_newton_muon,1.023885709730301,1.02704074650166,-0.0031550367713590877
late_newton_full,2,frozen_down_refresh_vs_production,frozen_down_refresh,production_newton_muon,1.0234508025718938,1.0257994037050806,-0.0023486011331868006
early_muon,0,delayed_down_refresh_vs_frozen_down_refresh,delayed_down_refresh,frozen_down_refresh,0.9946857610194986,0.9936322403899926,0.0010535206295059218
early_muon,1,delayed_down_refresh_vs_frozen_down_refresh,delayed_down_refresh,frozen_down_refresh,0.9987090749945144,0.997630199629197,0.0010788753653174776
early_muon,2,delayed_down_refresh_vs_frozen_down_refresh,delayed_down_refresh,frozen_down_refresh,0.9950645292871071,0.9940516079699068,0.0010129213172003215
early_newton_full,0,delayed_down_refresh_vs_frozen_down_refresh,delayed_down_refresh,frozen_down_refresh,0.9993673716685462,0.9981792675973274,0.0011881040712187207
early_newton_full,1,delayed_down_refresh_vs_frozen_down_refresh,delayed_down_refresh,frozen_down_refresh,1.003628973194302,1.0022445472414987,0.0013844259528033032
early_newton_full,2,delayed_down_refresh_vs_frozen_down_refresh,delayed_down_refresh,frozen_down_refresh,1.0006452430210475,0.9993524012223148,0.0012928417987326801
late_muon,0,delayed_down_refresh_vs_frozen_down_refresh,delayed_down_refresh,frozen_down_refresh,1.022272704284271,1.0214674040657967,0.0008053002184742475
late_muon,1,delayed_down_refresh_vs_frozen_down_refresh,delayed_down_refresh,frozen_down_refresh,1.0216858047215633,1.0208421487565316,0.0008436559650317754
late_muon,2,delayed_down_refresh_vs_frozen_down_refresh,delayed_down_refresh,frozen_down_refresh,1.0216529938354075,1.0207840530944694,0.0008689407409381289
late_newton_full,0,delayed_down_refresh_vs_frozen_down_refresh,delayed_down_refresh,frozen_down_refresh,1.0250295900421433,1.0240639554980169,0.0009656345441264591
late_newton_full,1,delayed_down_refresh_vs_frozen_down_refresh,delayed_down_refresh,frozen_down_refresh,1.0250330024543262,1.023885709730301,0.0011472927240252506
late_newton_full,2,delayed_down_refresh_vs_frozen_down_refresh,delayed_down_refresh,frozen_down_refresh,1.0244626198066977,1.0234508025718938,0.0010118172348039245
