contrast,optimizer_step,checkpoint_cell,mean_normalized_loss_delta,mean_heldout_loss_delta
delayed_down_refresh_vs_frozen_down_refresh,0,early_muon,0.0,0.0
delayed_down_refresh_vs_frozen_down_refresh,0,early_newton_full,0.0,0.0
delayed_down_refresh_vs_frozen_down_refresh,0,late_muon,0.0,0.0
delayed_down_refresh_vs_frozen_down_refresh,0,late_newton_full,0.0,0.0
delayed_down_refresh_vs_frozen_down_refresh,16,early_muon,0.0,0.0
delayed_down_refresh_vs_frozen_down_refresh,16,early_newton_full,0.0,0.0
delayed_down_refresh_vs_frozen_down_refresh,16,late_muon,0.0,0.0
delayed_down_refresh_vs_frozen_down_refresh,16,late_newton_full,0.0,0.0
delayed_down_refresh_vs_frozen_down_refresh,32,early_muon,0.0,0.0
delayed_down_refresh_vs_frozen_down_refresh,32,early_newton_full,0.0,0.0
delayed_down_refresh_vs_frozen_down_refresh,32,late_muon,0.0,0.0
delayed_down_refresh_vs_frozen_down_refresh,32,late_newton_full,0.0,0.0
delayed_down_refresh_vs_frozen_down_refresh,48,early_muon,0.0,0.0
delayed_down_refresh_vs_frozen_down_refresh,48,early_newton_full,0.0,0.0
delayed_down_refresh_vs_frozen_down_refresh,48,late_muon,0.0,0.0
delayed_down_refresh_vs_frozen_down_refresh,48,late_newton_full,0.0,0.0
delayed_down_refresh_vs_frozen_down_refresh,64,early_muon,0.00019794535901055768,0.0007002353668211411
delayed_down_refresh_vs_frozen_down_refresh,64,early_newton_full,0.00024941296392044787,0.0008800029754638672
delayed_down_refresh_vs_frozen_down_refresh,64,late_muon,9.423422350492612e-05,0.00028332074483235675
delayed_down_refresh_vs_frozen_down_refresh,64,late_newton_full,0.00014647006118299424,0.0004421075185141454
delayed_down_refresh_vs_frozen_down_refresh,80,early_muon,0.002507769066385427,0.008863687515259086
delayed_down_refresh_vs_frozen_down_refresh,80,early_newton_full,0.0030623664972081097,0.010808070500691583
delayed_down_refresh_vs_frozen_down_refresh,80,late_muon,0.0017617400070673768,0.005287488301595052
delayed_down_refresh_vs_frozen_down_refresh,80,late_newton_full,0.002247185611178685,0.006768544514973811
delayed_down_refresh_vs_frozen_down_refresh,96,early_muon,0.0023553692020893044,0.00832613309224417
delayed_down_refresh_vs_frozen_down_refresh,96,early_newton_full,0.002850875833509292,0.01006023089090998
delayed_down_refresh_vs_frozen_down_refresh,96,late_muon,0.0018379489035205883,0.005516449610392253
delayed_down_refresh_vs_frozen_down_refresh,96,late_newton_full,0.0023851052428742747,0.007185379664103042
delayed_down_refresh_vs_frozen_down_refresh,112,early_muon,0.002371955197576381,0.008380969365438121
delayed_down_refresh_vs_frozen_down_refresh,112,early_newton_full,0.0029490819747835704,0.010410388310750177
delayed_down_refresh_vs_frozen_down_refresh,112,late_muon,0.0021240546730115404,0.006374041239420277
delayed_down_refresh_vs_frozen_down_refresh,112,late_newton_full,0.0024982953495708373,0.007528225580851089
delayed_down_refresh_vs_frozen_down_refresh,128,early_muon,0.001908948014002802,0.006744623184203953
delayed_down_refresh_vs_frozen_down_refresh,128,early_newton_full,0.0023918418491821747,0.008438984553019205
delayed_down_refresh_vs_frozen_down_refresh,128,late_muon,0.0017928279828263172,0.005380233128865708
delayed_down_refresh_vs_frozen_down_refresh,128,late_newton_full,0.0021111914861494294,0.006360371907551936
delayed_down_refresh_vs_production,0,early_muon,0.0,0.0
delayed_down_refresh_vs_production,0,early_newton_full,0.0,0.0
delayed_down_refresh_vs_production,0,late_muon,0.0,0.0
delayed_down_refresh_vs_production,0,late_newton_full,0.0,0.0
delayed_down_refresh_vs_production,16,early_muon,0.0,0.0
delayed_down_refresh_vs_production,16,early_newton_full,0.0,0.0
delayed_down_refresh_vs_production,16,late_muon,0.0,0.0
delayed_down_refresh_vs_production,16,late_newton_full,0.0,0.0
delayed_down_refresh_vs_production,32,early_muon,-0.0002616567062465232,-0.0009250640869139145
delayed_down_refresh_vs_production,32,early_newton_full,-0.0004865618280146533,-0.0017201900482177734
delayed_down_refresh_vs_production,32,late_muon,-0.00014076879703857811,-0.00042366981506347656
delayed_down_refresh_vs_production,32,late_newton_full,-0.00024126553129621975,-0.0007306734720865885
delayed_down_refresh_vs_production,48,early_muon,-0.0053160469816928195,-0.01879390080769842
delayed_down_refresh_vs_production,48,early_newton_full,-0.006880371185604102,-0.02429032325744629
delayed_down_refresh_vs_production,48,late_muon,-0.0034282650909193504,-0.01029499371846517
delayed_down_refresh_vs_production,48,late_newton_full,-0.004226161373932798,-0.012740691502888998
delayed_down_refresh_vs_production,64,early_muon,-0.005110577343306481,-0.018068631490071613
delayed_down_refresh_vs_production,64,early_newton_full,-0.0064768827715540045,-0.022872130076090496
delayed_down_refresh_vs_production,64,late_muon,-0.0038299379667247426,-0.011504491170247544
delayed_down_refresh_vs_production,64,late_newton_full,-0.004288248983947455,-0.01293007532755519
delayed_down_refresh_vs_production,80,early_muon,-0.0026841347537279736,-0.009493986765543472
delayed_down_refresh_vs_production,80,early_newton_full,-0.0033526109031614126,-0.011845191319783233
delayed_down_refresh_vs_production,80,late_muon,-0.0024509782235394204,-0.007365067799886067
delayed_down_refresh_vs_production,80,late_newton_full,-0.002175152556775769,-0.0065631866455078125
