contrast,optimizer_step,paired_units,origins,mean_normalized_loss_delta,sd_normalized_loss_delta,mean_heldout_loss_delta,sd_heldout_loss_delta,left_better_units,left_worse_units,left_better_origins,left_worse_origins
delayed_down_refresh_vs_frozen_down_refresh,0,12,4,0.0,0.0,0.0,0.0,0,0,0,0
delayed_down_refresh_vs_frozen_down_refresh,16,12,4,0.0,0.0,0.0,0.0,0,0,0,0
delayed_down_refresh_vs_frozen_down_refresh,32,12,4,0.0,0.0,0.0,0.0,0,0,0,0
delayed_down_refresh_vs_frozen_down_refresh,48,12,4,0.0,0.0,0.0,0.0,0,0,0,0
delayed_down_refresh_vs_frozen_down_refresh,64,12,4,0.00017201565190473148,6.984087342190104e-05,0.0005764166514078776,0.0002653700404594541,0,12,0,4
delayed_down_refresh_vs_frozen_down_refresh,80,12,4,0.0023947652954598997,0.0005075834621245904,0.007931947708129883,0.0022444438759363135,0,12,0,4
delayed_down_refresh_vs_frozen_down_refresh,96,12,4,0.0023573247954983647,0.00040270364329467217,0.007772048314412361,0.0018182146826266534,0,12,0,4
delayed_down_refresh_vs_frozen_down_refresh,112,12,4,0.0024858467987355823,0.00035534555503056574,0.008173406124114916,0.0016640833360420989,0,12,0,4
delayed_down_refresh_vs_frozen_down_refresh,128,12,4,0.0020512023330401807,0.00025991719021876015,0.006731053193410201,0.0012156627875243647,0,12,0,4
delayed_down_refresh_vs_production,0,12,4,0.0,0.0,0.0,0.0,0,0,0,0
delayed_down_refresh_vs_production,16,12,4,0.0,0.0,0.0,0.0,0,0,0,0
delayed_down_refresh_vs_production,32,12,4,-0.0002825632156489936,0.00015833616054089343,-0.0009498993555704383,0.0005838541259728875,12,0,4,0
delayed_down_refresh_vs_production,48,12,4,-0.004962711158037268,0.0014206079641315844,-0.016529977321624718,0.005920186296919034,12,0,4,0
delayed_down_refresh_vs_production,64,12,4,-0.004926411766383171,0.0011781666382687187,-0.01634383201599121,0.0050858238865563185,12,0,4,0
delayed_down_refresh_vs_production,80,12,4,-0.0026657191093011436,0.0006172015022400033,-0.008816858132680147,0.0026159887268902737,12,0,4,0
delayed_down_refresh_vs_production,96,12,4,-0.0016309211975733633,0.00038703782880045824,-0.005373557408650753,0.0015323913290699242,12,0,4,0
delayed_down_refresh_vs_production,112,12,4,-0.0006696068447021863,0.000299754685906392,-0.0022023320198060192,0.0010177651411020744,12,0,4,0
delayed_down_refresh_vs_production,128,12,4,-0.0001542300007542722,0.0002800196408539823,-0.0004737973213197281,0.0008781568793432814,7,5,3,1
frozen_down_refresh_vs_production,0,12,4,0.0,0.0,0.0,0.0,0,0,0,0
frozen_down_refresh_vs_production,16,12,4,0.0,0.0,0.0,0.0,0,0,0,0
frozen_down_refresh_vs_production,32,12,4,-0.0002825632156489936,0.00015833616054089343,-0.0009498993555704383,0.0005838541259728875,12,0,4,0
frozen_down_refresh_vs_production,48,12,4,-0.004962711158037268,0.0014206079641315844,-0.016529977321624718,0.005920186296919034,12,0,4,0
frozen_down_refresh_vs_production,64,12,4,-0.005098427418287903,0.0012369528210711372,-0.01692024866739909,0.005324678354163077,12,0,4,0
frozen_down_refresh_vs_production,80,12,4,-0.005060484404761044,0.0010441984777449912,-0.016748805840810028,0.00467399046386949,12,0,4,0
frozen_down_refresh_vs_production,96,12,4,-0.003988245993071728,0.0006455170601039245,-0.013145605723063114,0.0030096752591520113,12,0,4,0
frozen_down_refresh_vs_production,112,12,4,-0.0031554536434377687,0.0004631847029028742,-0.010375738143920935,0.002129665066321106,12,0,4,0
frozen_down_refresh_vs_production,128,12,4,-0.002205432333794453,0.0002573477926848203,-0.0072048505147299284,0.0010084230597600175,12,0,4,0
