dataset,architecture,mode,comparison_role,source_cohort,seeds,seed_list,mean_final_val_loss,sample_sd_final_val_loss,final_loss_rank,paired_delta_vs_block4_mean,paired_seeds_better_than_block4,paired_seeds_worse_than_block4,mean_peak_memory_mib,mean_k_state_mib,mean_cproj_k_state_mib,mean_non_cproj_k_state_mib,k_state_released_vs_dense_fraction,paper_timing_eligible,evidence_level,caveat
OWT,24L_GPT,diag,selective_diagonal_cproj,owt_combined_24l,3,"2024,2025,2026",5.4580979347229,0.041644780887971085,1,-0.05881786346435547,3,0,6204.53515625,864.75,0.75,864.0,0.8419682017543859,False,supportive,same-cohort three-seed structural comparison
OWT,24L_GPT,none,selective_remove_cproj,owt_combined_24l,3,"2024,2025,2026",5.4708248774210615,0.043226399768604845,2,-0.046090920766194664,3,0,6203.732421875,864.0,0.0,864.0,0.8421052631578947,False,supportive,same-cohort three-seed structural comparison
OWT,24L_GPT,block4,block4_structured_control,owt_combined_24l,3,"2024,2025,2026",5.516915798187256,0.03920072653677901,3,0.0,0,0,7355.78515625,2016.0,1152.0,864.0,0.631578947368421,False,supportive,same-cohort three-seed structural comparison
OWT,24L_GPT,dense_full,dense_mechanism_control,owt_combined_24l,3,"2024,2025,2026",5.5334008534749355,0.03924574709132391,4,0.016485055287679334,0,3,10811.837890625,5472.0,4608.0,864.0,0.0,False,supportive,same-cohort three-seed structural comparison
OWT,24L_GPT,muon,muon_baseline,owt_combined_24l,3,"2024,2025,2026",5.759148915608724,0.010284873078742401,5,0.2422331174214681,0,3,5147.57421875,0.0,0.0,0.0,1.0,False,supportive,same-cohort three-seed structural comparison
WikiText-103,24L_GPT,diag,selective_diagonal_cproj,wikitext_dual_alpha_24l,3,"2024,2025,2026",4.903069972991943,0.06330224228161774,1,-0.06049807866414388,3,0,6204.587890625,864.75,0.75,864.0,0.8419682017543859,False,supportive,same-cohort three-seed structural comparison
WikiText-103,24L_GPT,none,selective_remove_cproj,wikitext_dual_alpha_24l,3,"2024,2025,2026",4.92224136988322,0.05792711823922587,2,-0.041326681772867836,3,0,6203.6796875,864.0,0.0,864.0,0.8421052631578947,False,supportive,same-cohort three-seed structural comparison
WikiText-103,24L_GPT,block4,block4_structured_control,wikitext_dual_alpha_24l,3,"2024,2025,2026",4.963568051656087,0.06867741105118663,3,0.0,0,0,7355.837890625,2016.0,1152.0,864.0,0.631578947368421,False,supportive,same-cohort three-seed structural comparison
WikiText-103,24L_GPT,dense_full,dense_mechanism_control,wikitext_dual_alpha_24l,3,"2024,2025,2026",4.96441109975179,0.06928088065047504,4,0.000843048095703125,2,1,10811.837890625,5472.0,4608.0,864.0,0.0,False,supportive,same-cohort three-seed structural comparison
WikiText-103,24L_GPT,muon,muon_baseline,wikitext_matched_recipe_muon_reference,3,"2024,2025,2026",5.236570517222087,0.058232773559716684,5,,,,5147.57421875,0.0,0.0,0.0,1.0,False,supportive,matched-recipe historical reference; not the dual-alpha cohort
