family,family_label,priority,contrast,left_role,right_role,seeds,final_delta_mean,final_delta_ci95_low,final_delta_ci95_high,tail5_delta_mean,auc_delta_mean,negative_seeds_left_better,positive_seeds_left_worse,classification,negative_delta_means
r1,GPT-R1,primary,selective_diag_vs_muon,selective_diag,muon,3,-0.01603333333333327,-0.018521607830244178,-0.013545058836422366,-0.016439999999999937,-0.018226612903225803,3,0,selective_or_left_materially_better,left algorithm is better
r1,GPT-R1,primary,selective_none_vs_muon,selective_none,muon,3,-0.010466666666666699,-0.011716988562589249,-0.009216344770744149,-0.010746666666666313,-0.009260215053763066,3,0,selective_or_left_materially_better,left algorithm is better
r1,GPT-R1,primary,selective_diag_vs_original_newton_muon,selective_diag,original_newton_muon,3,-0.0010999999999999528,-0.0024831093424366735,0.0002831093424367681,-0.0011800000000000328,-0.0008088709677423663,3,0,within_practical_margin,left algorithm is better
r1,GPT-R1,primary,selective_none_vs_original_newton_muon,selective_none,original_newton_muon,3,0.004466666666666619,0.00321634477074458,0.005716988562588657,0.004513333333333591,0.00815752688172037,0,3,selective_or_left_materially_worse,left algorithm is better
r1,GPT-R1,baseline,original_newton_muon_vs_muon,original_newton_muon,muon,3,-0.014933333333333318,-0.01722808145595273,-0.012638585210713905,-0.015259999999999904,-0.017417741935483438,3,0,selective_or_left_materially_better,left algorithm is better
llama124,LLaMA-124M,primary,selective_diag_vs_muon,selective_diag,muon,3,-0.0006520750000000852,-0.002670056009747853,0.0013659060097476828,-0.0006655694666667008,-0.0020486328366667492,2,1,within_practical_margin,left algorithm is better
llama124,LLaMA-124M,primary,selective_none_vs_muon,selective_none,muon,3,-0.0006054243333334005,-0.0029590000424717065,0.0017481513758049053,-0.0005996227333332863,-0.002263212779999968,2,1,within_practical_margin,left algorithm is better
llama124,LLaMA-124M,primary,selective_diag_vs_original_newton_muon,selective_diag,original_newton_muon,3,7.255866666655564e-05,-0.0014681078364831754,0.0016132251698162867,4.8033266666654605e-05,-0.0009574832800001154,2,1,within_practical_margin,left algorithm is better
llama124,LLaMA-124M,primary,selective_none_vs_original_newton_muon,selective_none,original_newton_muon,3,0.0001192093333332404,-0.0018157235008581282,0.002054142167524609,0.00011398000000006903,-0.0011720632233333343,2,1,within_practical_margin,left algorithm is better
llama124,LLaMA-124M,baseline,original_newton_muon_vs_muon,original_newton_muon,muon,3,-0.0007246336666666409,-0.0015397021991645746,9.043486583129275e-05,-0.0007136027333333553,-0.0010911495566666336,3,0,within_practical_margin,left algorithm is better
llama1b,LLaMA-1B,primary,selective_diag_vs_muon,selective_diag,muon,3,0.005622625333333205,0.0032786716965315095,0.0079665789701349,0.005639966399999974,-0.0010038313279575977,0,3,selective_or_left_materially_worse,left algorithm is better
llama1b,LLaMA-1B,primary,selective_none_vs_muon,selective_none,muon,3,0.004470904333333377,0.0024708175931349888,0.006470991073531765,0.00452129033333352,0.0005227205026874238,0,3,selective_or_left_materially_worse,left algorithm is better
llama1b,LLaMA-1B,primary,selective_diag_vs_original_newton_muon,selective_diag,original_newton_muon,3,-0.0009641643333334985,-0.0017846352557578842,-0.0001436934109091127,-0.0009083428000002947,-0.0027457155134412345,3,0,within_practical_margin,left algorithm is better
llama1b,LLaMA-1B,primary,selective_none_vs_original_newton_muon,selective_none,original_newton_muon,3,-0.0021158853333333263,-0.003717673331737794,-0.0005140973349288588,-0.0020270188666667486,-0.0012191636827962131,3,0,selective_or_left_materially_better,left algorithm is better
llama1b,LLaMA-1B,baseline,original_newton_muon_vs_muon,original_newton_muon,muon,3,0.006586789666666704,0.003665091872194556,0.009508487461138852,0.0065483092000002685,0.0017418841854836369,0,3,selective_or_left_materially_worse,left algorithm is better
