checkpoint_stage,priority,contrast,metric,optimizer_step,clusters,paired_units,mean_delta,bootstrap_ci95_low,bootstrap_ci95_high,origin_means_left_better,origin_means_left_worse,classification,bootstrap_samples,bootstrap_seed_base,negative_delta_means
early,primary,selective_diag_vs_muon,normalized_heldout_loss,0,2,6,0.0,0.0,0.0,0,0,uncertain,5000,20260729,left algorithm is better
early,primary,selective_diag_vs_muon,normalized_heldout_loss,112,2,6,0.00312331946730147,0.000655370448191935,0.005255740024493638,0,2,left_worse,5000,20260729,left algorithm is better
early,primary,selective_diag_vs_muon,normalized_heldout_loss,128,2,6,0.0018895367726411056,-3.7372422985756014e-05,0.0038314277707439115,0,2,uncertain,5000,20260729,left algorithm is better
early,primary,selective_diag_vs_muon,normalized_heldout_loss,16,2,6,-0.009015550504118194,-0.014048278349854948,-0.004745794213004473,2,0,left_better,5000,20260729,left algorithm is better
early,primary,selective_diag_vs_muon,normalized_heldout_loss,32,2,6,-0.007373623752371124,-0.01131007701338943,-0.0037140867953772325,2,0,left_better,5000,20260729,left algorithm is better
early,primary,selective_diag_vs_muon,normalized_heldout_loss,48,2,6,0.0015085451991996661,-0.0021613522201108237,0.00477117272400851,1,1,uncertain,5000,20260729,left algorithm is better
early,primary,selective_diag_vs_muon,normalized_heldout_loss,64,2,6,0.0028237573253663273,-0.0007762126223782954,0.00600955371733443,0,2,uncertain,5000,20260729,left algorithm is better
early,primary,selective_diag_vs_muon,normalized_heldout_loss,80,2,6,0.004587465692486266,0.0019531023976197364,0.007138392979645765,0,2,left_worse,5000,20260729,left algorithm is better
early,primary,selective_diag_vs_muon,normalized_heldout_loss,96,2,6,0.0034697854374204917,0.0010209863326520556,0.005784109362991711,0,2,left_worse,5000,20260729,left algorithm is better
early,primary,selective_diag_vs_muon,normalized_loss_auc,AUC_0_128,2,6,8.558406450661268e-06,-0.0031249142147287134,0.0028382253492908647,1,1,uncertain,5000,20260729,left algorithm is better
early,primary,selective_none_vs_muon,normalized_heldout_loss,0,2,6,0.0,0.0,0.0,0,0,uncertain,5000,20260729,left algorithm is better
early,primary,selective_none_vs_muon,normalized_heldout_loss,112,2,6,0.002588154972125667,0.0005253701441356728,0.004342969132692313,0,2,left_worse,5000,20260729,left algorithm is better
early,primary,selective_none_vs_muon,normalized_heldout_loss,128,2,6,0.0017984099973782734,0.0003290809496627004,0.0032739172985103426,0,2,left_worse,5000,20260729,left algorithm is better
early,primary,selective_none_vs_muon,normalized_heldout_loss,16,2,6,-0.008178168061882022,-0.012755549148850798,-0.004126716801969983,2,0,left_better,5000,20260729,left algorithm is better
early,primary,selective_none_vs_muon,normalized_heldout_loss,32,2,6,-0.006937123502070468,-0.010538635343953264,-0.0035735905421069116,2,0,left_better,5000,20260729,left algorithm is better
early,primary,selective_none_vs_muon,normalized_heldout_loss,48,2,6,-0.0003991375548089704,-0.003653651217441878,0.0025953374615582114,1,1,uncertain,5000,20260729,left algorithm is better
early,primary,selective_none_vs_muon,normalized_heldout_loss,64,2,6,0.0012847418196326916,-0.0019255755528184704,0.004135793951251261,1,1,uncertain,5000,20260729,left algorithm is better
early,primary,selective_none_vs_muon,normalized_heldout_loss,80,2,6,0.003130706765724837,0.0008964842453981584,0.005353706021396676,0,2,left_worse,5000,20260729,left algorithm is better
early,primary,selective_none_vs_muon,normalized_heldout_loss,96,2,6,0.0026959815889178174,0.0005680170846532236,0.00455779714983634,0,2,left_worse,5000,20260729,left algorithm is better
