source,event_id,predictor,correlation_family,pooled_correlation,origin_centered_correlation,minimum_leave_one_origin_out,one_sided_exact_p,holm_adjusted_p,candidate_gate_passed,claim_eligible,interpretation
MDP-05,production_refresh_32,matched_g_preconditioned_relative_change_layer_median,pooled_spearman / centered_pearson,0.7832167832167832,0.3748782896991416,0.48333333333333334,0.1087962962962963,0.4351851851851852,False,True,confirmatory quantitative mediation test did not pass multiplicity-controlled gate
MDP-05,production_refresh_32,runtime_ns5_update_relative_change_layer_median,pooled_spearman / centered_pearson,0.7062937062937062,-0.20373404935394354,0.4666666666666667,0.6296296296296297,1.0,False,True,confirmatory quantitative mediation test did not pass multiplicity-controlled gate
MDP-05,delayed_refresh_64,matched_g_preconditioned_relative_change_layer_median,pooled_spearman / centered_pearson,0.7132867132867133,-0.13119847171214044,0.4666666666666667,0.5447530864197531,1.0,False,True,confirmatory quantitative mediation test did not pass multiplicity-controlled gate
MDP-05,delayed_refresh_64,runtime_ns5_update_relative_change_layer_median,pooled_spearman / centered_pearson,0.5664335664335665,-0.009472787944360137,0.23333333333333334,0.35030864197530864,1.0,False,True,confirmatory quantitative mediation test did not pass multiplicity-controlled gate
GEO-01B,delayed_refresh_64,norm_only,spearman,0.6363636363636364,0.34965034965034963,0.4666666666666667,,,False,False,discovery predictor did not satisfy origin-independent confirmation gate
GEO-01B,delayed_refresh_64,first_order,spearman,0.43356643356643354,0.06293706293706294,0.21666666666666667,,,False,False,discovery predictor did not satisfy origin-independent confirmation gate
GEO-01B,delayed_refresh_64,full_taylor,spearman,0.43356643356643354,0.06293706293706294,0.21666666666666667,,,False,False,discovery predictor did not satisfy origin-independent confirmation gate
GEO-01B,production_refresh_32,norm_only,spearman,0.6853146853146853,0.7202797202797203,0.5333333333333333,,,False,False,discovery predictor did not satisfy origin-independent confirmation gate
GEO-01B,production_refresh_32,first_order,spearman,0.8531468531468531,0.1258741258741259,0.6833333333333333,,,False,False,discovery predictor did not satisfy origin-independent confirmation gate
GEO-01B,production_refresh_32,full_taylor,spearman,0.8531468531468531,0.16783216783216784,0.6833333333333333,,,False,False,discovery predictor did not satisfy origin-independent confirmation gate
