case_id,route,input_dim,block_count,layer_count,stored_matrices,dtype_bytes,elements_per_module_matrix,analytic_state_bytes,analytic_state_mib,relative_to_full,measured_state_bytes,relative_error,measurement_required,measurement_passed,provenance_definition,provenance_passed
r1_124m_cproj_increment,full,3072,4,12,2,4,9437184,905969664,864,1,,,false,,route_total_k_state_bytes_minus_reference_total_k_state_bytes,true
r1_124m_cproj_increment,block,3072,4,12,2,4,2359296,226492416,216,0.25,226492416,0,true,true,route_total_k_state_bytes_minus_reference_total_k_state_bytes,true
r1_124m_cproj_increment,diag,3072,4,12,2,4,3072,294912,0.28125,0.000325520833333,294912,0,true,true,route_total_k_state_bytes_minus_reference_total_k_state_bytes,true
r1_124m_cproj_increment,none,3072,4,12,2,4,0,0,0,0,0,0,true,true,route_total_k_state_bytes_minus_reference_total_k_state_bytes,true
record28_275m_cproj_increment,full,3072,4,12,2,4,9437184,905969664,864,1,,,false,,route_total_k_state_bytes_minus_reference_total_k_state_bytes,true
record28_275m_cproj_increment,block,3072,4,12,2,4,2359296,226492416,216,0.25,226492416,0,true,true,route_total_k_state_bytes_minus_reference_total_k_state_bytes,true
record28_275m_cproj_increment,diag,3072,4,12,2,4,3072,294912,0.28125,0.000325520833333,294912,0,true,true,route_total_k_state_bytes_minus_reference_total_k_state_bytes,true
record28_275m_cproj_increment,none,3072,4,12,2,4,0,0,0,0,0,0,true,true,route_total_k_state_bytes_minus_reference_total_k_state_bytes,true
record17_455m_cproj_increment,full,4096,4,16,2,4,16777216,2147483648,2048,1,,,false,,route_total_k_state_bytes_minus_reference_total_k_state_bytes,true
record17_455m_cproj_increment,block,4096,4,16,2,4,4194304,536870912,512,0.25,536870912,0,true,true,route_total_k_state_bytes_minus_reference_total_k_state_bytes,true
record17_455m_cproj_increment,diag,4096,4,16,2,4,4096,524288,0.5,0.000244140625,524288,0,true,true,route_total_k_state_bytes_minus_reference_total_k_state_bytes,true
record17_455m_cproj_increment,none,4096,4,16,2,4,0,0,0,0,0,0,true,true,route_total_k_state_bytes_minus_reference_total_k_state_bytes,true
llama1b_downproj_increment,full,5504,4,18,2,4,30294016,4362338304,4160.25,1,4362338304,0,true,true,route_total_k_state_bytes_minus_reference_total_k_state_bytes,true
llama1b_downproj_increment,block,5504,4,18,2,4,7573504,1090584576,1040.0625,0.25,,,false,,route_total_k_state_bytes_minus_reference_total_k_state_bytes,true
llama1b_downproj_increment,diag,5504,4,18,2,4,5504,792576,0.755859375,0.000181686046512,792576,0,true,true,route_total_k_state_bytes_minus_reference_total_k_state_bytes,true
llama1b_downproj_increment,none,5504,4,18,2,4,0,0,0,0,0,0,true,true,route_total_k_state_bytes_minus_reference_total_k_state_bytes,true
